"iso_code3","country","a_agriculture","a_coastal_zone","a_cross_cutting_area","a_drm","a_education","a_energy","a_environment","a_health","A_Im_CapBul","A_Im_Finan","A_Im_TecTran","a_lulucf","a_social_development","a_tourism","a_transport","a_urban","a_water","m_agriculture","m_buildings","m_economy-wide","m_energy","m_industries","m_lulucf","M_PL7","m_transport","m_waste","migration_and_displacement","AG.LND.FRST.K2","AG.SRF.TOTL.K2","BM.TRF.PWKR.CD.DT","BX.KLT.DINV.CD.WD","CM.MKT.LCAP.GD.ZS","DT.DOD.DECT.CD","DT.ODA.ODAT.PC.ZS","DT.TDS.DECT.GN.ZS","EG.USE.ELEC.KH.PC","EG.USE.PCAP.KG.OE","EN.ATM.CO2E.PC","ER.GDP.FWTL.M3.KD","GC.REV.XGRT.GD.ZS","IC.REG.PROC","IT.CEL.SETS.P2","MS.MIL.XPND.GD.ZS","NE.EXP.GNFS.ZS","NE.GDI.TOTL.ZS","NE.IMP.GNFS.ZS","NV.AGR.TOTL.ZS","NV.IND.TOTL.ZS","NY.GDP.DEFL.KD.ZG","NY.GDP.MKTP.CD","NY.GDP.MKTP.KD.ZG","NY.GNP.ATLS.CD","NY.GNP.MKTP.PP.CD","NY.GNP.PCAP.CD","NY.GNP.PCAP.PP.CD","SE.ENR.PRSC.FM.ZS","SE.PRM.CMPT.ZS","SE.SEC.ENRR","SH.DYN.AIDS.ZS","SH.DYN.MORT","SH.IMM.MEAS","SH.STA.BRTC.ZS","SH.STA.MALN.ZS","SI.DST.FRST.20","SI.POV.NAHC","SM.POP.NETM","SP.ADO.TFRT","SP.DYN.CONU.ZS","SP.DYN.LE00.IN","SP.DYN.TFRT.IN","SP.POP.GROW","SP.POP.TOTL","TG.VAL.TOTL.GD.ZS","TT.PRI.MRCH.XD.WD","TX.VAL.TECH.MF.ZS"
"AFG","Afghanistan",2,0,10,0,0,2,6,0,2,2,2,6,2,0,0,0,10,22,0,0,38,2,18,2,10,22,2,12084.4,652860,228991809.215134,169146608,NA,2596917266.2,124.20175767323,0.281553405244514,NA,NA,0.262555710891417,NA,10.1311181683697,4,57.27106807,0.994575822723645,NA,NA,NA,20.6343227166798,22.1240424906926,2.44756300761826,19907111418.9938,1.45131465457983,20583397305.2794,72481076024.3345,600,2110,0.6423299908638,NA,51.6699485778809,0.1,70.4,63,50.5,NA,NA,NA,NA,81.693,NA,63.377,4.976,3.07708359546317,34413603,41.6635031845278,152.2335065,NA
"AGO","Angola",14,10,0,10,0,16,0,8,2,2,2,2,0,0,0,2,6,2,0,0,14,2,22,2,0,0,2,693826.9,1246700,1252909011.69,10028215162.6394,NA,56269410212,13.62985240944,7.11986622303345,NA,NA,1.24024546214599,NA,18.77664517494,8,49.79322295,3.1054262930828,29.7545994933756,34.2024891287855,33.1339212916755,9.12253447070414,41.9330926455315,-3.51838638754951,116193649124.151,0.943571561325001,125915232844.516,194201091488.512,4520,6960,NA,NA,NA,1.8,88.2,51,NA,19,NA,NA,NA,157.2756,NA,59.398,5.774,3.43885068439195,27884381,46.3657010568937,137.4660466,15.6281100740096
"ALB","Albania",0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,7891.875,28750,153312400.478058,989578334.828609,NA,8447035238.4,116.346601389351,10.2412801162857,NA,NA,1.60264803417777,NA,24.7381584795417,5,117.6592183,1.16230386432234,27.267393304466,25.8190278602373,44.533646824669,19.7802245227192,21.7636624840832,0.563958924921181,11386846319.1589,2.21875223166761,12634903056.2053,33981492263.6927,4390,11800,0.982420027256012,98.8615875244141,97.3884811401367,0.1,9.6,97,NA,NA,7.7,NA,NA,20.0772,NA,78.025,1.677,-0.291205786840436,2880703,54.615648843317,92.65394254,1.63419038500233
"AND","Andorra",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,2,160,470,NA,NA,NA,NA,NA,NA,NA,NA,5.96978631218674,NA,NA,NA,91.44351438,NA,NA,NA,NA,NA,NA,0.660588959137868,2789870187.50693,1.43414039522716,NA,NA,NA,NA,NA,NA,NA,NA,3.5,96,100,NA,NA,NA,NA,NA,NA,NA,NA,-1.52905843773571,78011,49.6080429188987,NA,22.6448431582106
"ARE","United Arab Emirates",1,1,2,0,2,2,2,0,2,2,6,0,0,0,0,0,6,0,2,2,14,2,0,2,10,2,2,3173,98647.9,NA,8550901846.5,54.4052718094219,NA,NA,NA,NA,NA,21.0263924904727,NA,3.53040660735708,6,193.7034838,NA,100.870480235332,25.6391794525887,74.3508273325776,0.740999246531651,43.8938141693106,-15.4785730266768,358135057862.492,5.10593698394698,397053277786.665,604104698714.526,42860,65220,NA,103.520202636719,NA,NA,7.8,99,99.9,NA,NA,NA,NA,10.6356,NA,77.285,1.541,0.527411540470438,9262900,157.452890360851,148.5987821,5.31102742246509
"ARG","Argentina",2,0,10,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,290970,2780400,685001365.914279,11758994011.286,9.43836863309546,177184603465.6,-0.437494568163978,3.07265955975854,NA,NA,4.6640107478523,NA,22.1490803040164,14,143.566834,0.850128583186764,10.7056520504538,17.0707048841583,11.7805740385254,5.1566859021408,23.153056135905,26.5799916024707,594749285413.212,2.73115982828944,542376272989.615,849527597209.51,12570,19700,1.02838003635406,102.973739624023,106.946472167969,0.4,11.5,89,99.6,NA,NA,NA,NA,63.096,NA,76.068,2.301,1.07800134449604,43131966,19.6703052646326,146.3443414,9.28226248775552
"ARM","Armenia",0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3295.2,29740,363788468.805367,184127986.314895,NA,8831021220.8,118.774129535964,14.0746925274391,NA,NA,1.64200409290141,NA,23.0924926716717,4,118.4217138,4.2392258025425,29.7253912120334,20.7305301265762,41.9566831307241,17.2231200318056,25.7086994351611,1.21390990471085,10553337672.9872,3.19999999896625,11738591730.3917,30350856297.5624,4010,10370,1.03798997402191,94.5906372070313,86.0058898925781,0.2,14.4,97,NA,NA,8.2,NA,NA,22.8308,57.1,74.467,1.738,0.450500902714805,2925553,44.7630896156366,118.5089449,5.65181402673705
"ATG","Antigua and Barbuda",0,0,0,2,0,2,0,2,2,2,2,0,0,0,0,2,2,0,2,0,6,0,2,2,2,2,2,84.5,440,52822644.38,114024660.121814,NA,NA,15.9245880932897,NA,NA,NA,5.83954641643332,NA,NA,9,188.1025159,NA,76.0362087740055,24.4384287364889,63.7504952799475,1.61232672128831,16.4579794794781,3.01750370241558,1336692592.59259,3.82529309880827,1202388805.2111,1658065094.13568,12850,17720,0.990040004253387,92.5554809570313,108.23023223877,NA,7.8,91,100,NA,NA,NA,NA,44.4692,NA,76.483,2.003,1.07883793719549,93566,38.5279310182402,55.89818757,NA
"AUS","Australia",0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,2,1330945,7741220,6037610106.7282,46892808567.8516,87.8219081826861,NA,NA,NA,NA,5483.81640154023,15.3397835782213,NA,24.5021392945099,3,107.6778349,1.9506009865907,19.984845509759,26.2706966202778,21.5095275701541,2.37264411384703,23.644205561858,-0.549659411148838,1351693984524.5,2.19264742646037,1440831947977.33,1079868167750.23,60500,45340,0.925260007381439,NA,157.167663574219,0.1,3.9,95,99.7,NA,NA,NA,NA,11.9498,NA,82.4,1.814,1.43921665259925,23815995,29.3102584265306,148.1965091,19.8179269594405
"AUT","Austria",0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,38811.9,83879,4750215267.75258,-7975773543.9206,25.1636877353047,NA,NA,NA,NA,3800.29942035468,7.08859223258845,NA,45.1229783155468,8,155.2154711,0.698138152053235,53.0890605587958,23.8055256927841,49.3382548303838,1.1297901935645,25.174913250307,2.30097866680524,381817565893.574,1.01450158590511,410097061082.222,426732539405.343,47450,49370,0.97282999753952,100.37378692627,100.320999145508,NA,3.7,96,98.5,NA,7.9,14.1,NA,7.7896,71,81.190243902439,1.49,1.12099250236958,8642699,80.8695114058912,88.49922641,15.0346729987852
