"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207452,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_water","Water","Water Management, Water Supply"
23207830,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_water","Water","Water Management, Water Supply"
23207833,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208211,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_urban","Urban","Buildings"
23208214,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208592,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208595,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208973,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208976,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209354,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209357,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation"
23209735,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation"
23209738,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23210116,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control, Health Services and Assessment"
23210119,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210497,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210500,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy, Energy: General, Power System Planning, Renewable Energy, Renewable Energy: Biofuels"
23210878,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy, Energy: General, Power System Planning, Renewable Energy, Renewable Energy: Biofuels"
23210881,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211259,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211262,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Relief and Recovery, Early Warning System"
23211640,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Relief and Recovery, Early Warning System"
23211643,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212021,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212024,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries, Coastal Management, Sea-level Rise Protection"
23212401,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Fisheries, Coastal Management, Sea-level Rise Protection"
23212404,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_agriculture","Agriculture","Crops, Fisheries and Aquaculture, Food Security, Land and Soil Management"
23212780,"CAIT","AGO","Angola","Adaptation","",NA,NA,"a_agriculture","Agriculture","Crops, Fisheries and Aquaculture, Food Security, Land and Soil Management"
23212783,"CAIT","AGO","Angola","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213161,"CAIT","AGO","Angola","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213164,"CAIT","AGO","Angola","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213542,"CAIT","AGO","Angola","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213545,"CAIT","AGO","Angola","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213923,"CAIT","AGO","Angola","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213926,"CAIT","AGO","Angola","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Afforestation, Land Degradation, LULUCF/Forestry: General, REDD+, Reforestation, Sustainable Forest Management"
23214304,"CAIT","AGO","Angola","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Afforestation, Land Degradation, LULUCF/Forestry: General, REDD+, Reforestation, Sustainable Forest Management"
