"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207453,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207646,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207834,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208027,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208215,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208408,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208596,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208789,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208977,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209170,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209358,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209551,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209739,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209932,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210120,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210313,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210501,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210694,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210882,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211075,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211263,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211456,"CAIT","ALB","Albania","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
