"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207465,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207658,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207846,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208039,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208227,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208420,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208608,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208801,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208989,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209182,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209370,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209563,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Land Management"
23209751,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23209944,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210132,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210325,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210513,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy"
23210706,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy"
23210894,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211087,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211275,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211468,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211656,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211849,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212037,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212229,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212417,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_agriculture","Agriculture","Irrigation, Land and Soil Management, Livestock"
23212608,"CAIT","BFA","Burkina Faso","Adaptation","",NA,NA,"a_agriculture","Agriculture","Irrigation, Land and Soil Management, Livestock"
23212796,"CAIT","BFA","Burkina Faso","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23212989,"CAIT","BFA","Burkina Faso","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213177,"CAIT","BFA","Burkina Faso","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213370,"CAIT","BFA","Burkina Faso","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
