"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207471,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207664,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207852,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208045,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208233,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208426,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208614,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208807,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208995,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209188,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209376,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, LULUCF/Forestry: General, Peatlands"
23209569,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, LULUCF/Forestry: General, Peatlands"
23209757,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change"
23209950,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change"
23210138,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210331,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210519,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210712,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210900,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211093,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211281,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211474,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211662,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23211855,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management"
23212043,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212235,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212423,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212614,"CAIT","BLR","Belarus","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212802,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23212995,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213183,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213376,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213564,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213757,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213945,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, Land Degradation, LULUCF/Forestry: General, Peatlands"
23214138,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, Land Degradation, LULUCF/Forestry: General, Peatlands"
23214326,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214519,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214707,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23214900,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_energy","Energy","No specified measure"
23215088,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215281,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215469,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215662,"CAIT","BLR","Belarus","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215850,"CAIT","BLR","Belarus","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>The Process of Planning and Fulfilment of Commitments</p> <p>""Long-term targets, on which the climate policy until 2020 is based, are specified in the Directive of the President of the Republic of Belarus No.3 of 14.06.2007 ""Economy and thrift are the main factors of the economic security of the state"", the Concept of Energy Security of the Republic of Belarus (adopted by the Decree of the President of the Republic of Belarus No.433 of 17.09.2007), the Strategy for the Development of Energy Potential of the Republic of Belarus (adopted by the Resolution of the Council of Ministers of the Republic of Belarus No.1180 of 09.09.2010), national and sector-specific modernization and development programmes for the period until 2020, which list is presented in the Sixth National Communication (2015), including the National Programme of Measures to Mitigate Climate Change for the 2013-2020 (adopted by the Resolution of the Council of Ministers of the Republic of Belarus No.510 of 21.06.2013). Thus, currently and until the end of 2020 there are various binding legislative provisions and other regulations in effect in the Republic of Belarus, specifying policies and measures with targets for the reduction of energy and carbon intensity of the national economy.</p> <p>For the period of 2021-2030. The National Sustainable Development Strategy until 2030 approved by the Presidium of the council of Ministers of the Republic of Belarus is a benchmark, which places due emphasis on the development principles founded on a low-carbon economy.</p> <p>In 2016-2019, the legislative basis for the new national climate policy will be elaborated along with the programmes for the development of major economic activities for the period of 2021-2030, including measures regulating and stimulating the reduction of greenhouse gas emissions.""</p>"
23216042,"CAIT","BLR","Belarus","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>The Process of Planning and Fulfilment of Commitments</p> <p>""Long-term targets, on which the climate policy until 2020 is based, are specified in the Directive of the President of the Republic of Belarus No.3 of 14.06.2007 ""Economy and thrift are the main factors of the economic security of the state"", the Concept of Energy Security of the Republic of Belarus (adopted by the Decree of the President of the Republic of Belarus No.433 of 17.09.2007), the Strategy for the Development of Energy Potential of the Republic of Belarus (adopted by the Resolution of the Council of Ministers of the Republic of Belarus No.1180 of 09.09.2010), national and sector-specific modernization and development programmes for the period until 2020, which list is presented in the Sixth National Communication (2015), including the National Programme of Measures to Mitigate Climate Change for the 2013-2020 (adopted by the Resolution of the Council of Ministers of the Republic of Belarus No.510 of 21.06.2013). Thus, currently and until the end of 2020 there are various binding legislative provisions and other regulations in effect in the Republic of Belarus, specifying policies and measures with targets for the reduction of energy and carbon intensity of the national economy.</p> <p>For the period of 2021-2030. The National Sustainable Development Strategy until 2030 approved by the Presidium of the council of Ministers of the Republic of Belarus is a benchmark, which places due emphasis on the development principles founded on a low-carbon economy.</p> <p>In 2016-2019, the legislative basis for the new national climate policy will be elaborated along with the programmes for the development of major economic activities for the period of 2021-2030, including measures regulating and stimulating the reduction of greenhouse gas emissions.""</p>"
23219261,"CAIT","BLR","Belarus","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","<p>Not included in the target</p> <p>""Approaches regarding the inclusion of the LULUCF sector into these commitments, which in the Republic of Belarus represents net removals of carbon from the atmosphere, will be determined after clarification of the methodological questions relating to the estimation of emissions and removals of greenhouse gases in this sector. No later than 2020, the Republic of Belarus will return to the question of including the potential of this sector in its commitments.""</p>"
23219437,"CAIT","BLR","Belarus","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","<p>Not included in the target</p> <p>""Approaches regarding the inclusion of the LULUCF sector into these commitments, which in the Republic of Belarus represents net removals of carbon from the atmosphere, will be determined after clarification of the methodological questions relating to the estimation of emissions and removals of greenhouse gases in this sector. No later than 2020, the Republic of Belarus will return to the question of including the potential of this sector in its commitments.""</p>"
