"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207488,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207680,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207869,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208061,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208250,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208442,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208631,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208823,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209012,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209204,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209393,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209585,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209774,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209966,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210155,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210347,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210536,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210728,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210917,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211109,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211298,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211490,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211679,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211871,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212060,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212251,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212440,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212630,"CAIT","COK","Cook Islands","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212819,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213011,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213200,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213392,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213581,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213773,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213962,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214154,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214343,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214535,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214724,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General, Renewable Energy, Renewable Energy: Solar: Utility Scale"
23214916,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Energy: General, Renewable Energy, Renewable Energy: Solar: Utility Scale"
23215105,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215297,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215486,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215678,"CAIT","COK","Cook Islands","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215867,"CAIT","COK","Cook Islands","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216058,"CAIT","COK","Cook Islands","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","Not Specified"
23216323,"CAIT","COK","Cook Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216469,"CAIT","COK","Cook Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216659,"CAIT","COK","Cook Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216805,"CAIT","COK","Cook Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216994,"CAIT","COK","Cook Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217140,"CAIT","COK","Cook Islands","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23219277,"CAIT","COK","Cook Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Not included in the target"
23219452,"CAIT","COK","Cook Islands","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Not included in the target"
23219708,"CAIT","COK","Cook Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Not Specified"
23219900,"CAIT","COK","Cook Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Not Specified"
23221248,"CAIT","COK","Cook Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221439,"CAIT","COK","Cook Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221712,"CAIT","COK","Cook Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","Not Specified"
23221903,"CAIT","COK","Cook Islands","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","Not Specified"
23222176,"CAIT","COK","Cook Islands","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","Electricity generation contributed 34% of Cook Islands' total emission in 2006."
23222367,"CAIT","COK","Cook Islands","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","Electricity generation contributed 34% of Cook Islands' total emission in 2006."
23222640,"CAIT","COK","Cook Islands","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Electricity"
23222832,"CAIT","COK","Cook Islands","Mitigation","Scope and Coverage",NA,NA,"coverage_sectors","Sectors covered","Electricity"
23223107,"CAIT","COK","Cook Islands","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","Not Specified; CO<sub>2</sub> implied from Figure 2 of the INDC"
23223298,"CAIT","COK","Cook Islands","Mitigation","Scope and Coverage",NA,NA,"coverage_ghg","Greenhouse gases covered","Not Specified; CO<sub>2</sub> implied from Figure 2 of the INDC"
23223567,"CAIT","COK","Cook Islands","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","Not Specified"
23223744,"CAIT","COK","Cook Islands","Mitigation","Scope and Coverage",NA,NA,"coverage_gas","GHG coverage","Not Specified"
23224016,"CAIT","COK","Cook Islands","Mitigation","GHG Target",NA,NA,"time_target_emissions","Target level of emissions","Not Specified"
23224193,"CAIT","COK","Cook Islands","Mitigation","GHG Target",NA,NA,"time_target_emissions","Target level of emissions","Not Specified"
23224449,"CAIT","COK","Cook Islands","Mitigation","GHG Target",NA,NA,"time_single_multi_year_target","Single or multi-year target","Single-year target"
23224612,"CAIT","COK","Cook Islands","Mitigation","GHG Target",NA,NA,"time_single_multi_year_target","Single or multi-year target","Single-year target"
23224874,"CAIT","COK","Cook Islands","Overview","NDC Enhancement",NA,NA,"ndce_source","Source Link","<a href=""https://prensa.presidencia.cl/comunicado.aspx?id=102021"">Chilean Presidency Communique</a>"
23225033,"CAIT","COK","Cook Islands","Overview","NDC Enhancement",NA,NA,"ndce_date","Statement Date","9/23/2019"
23225192,"CAIT","COK","Cook Islands","Overview","NDC Enhancement",NA,NA,"ndce_statement","Statement","Per Climate Ambition Alliance statement from Chilean Presidency"
23225351,"CAIT","COK","Cook Islands","Overview","NDC Enhancement",NA,NA,"ndce_status_2020","NDC Status","Intends to Enhance Ambition or Action in 2020 NDC"
23225516,"CAIT","COK","Cook Islands","Overview","NDC Enhancement",NA,NA,"ndce_ghg","Share of Global GHG Emissions","0.00%"
23225710,"CAIT","COK","Cook Islands","Overview","Fairness and Ambition",NA,NA,"objective","Description of how it contributes towards achieving the objective of the Convention","<p>""The Cook Islands believes that by aspiring to its national vision it is striving to keep the overall global average temperature rise below 1.5 degrees Celsius.""</p>"
23225901,"CAIT","COK","Cook Islands","Overview","Fairness and Ambition",NA,NA,"objective","Description of how it contributes towards achieving the objective of the Convention","<p>""The Cook Islands believes that by aspiring to its national vision it is striving to keep the overall global average temperature rise below 1.5 degrees Celsius.""</p>"
23226166,"CAIT","COK","Cook Islands","Overview","Fairness and Ambition",NA,NA,"ambition","Description of ambition","Please refer to the Description of fairness for a combined description of fairness and ambition."
23226357,"CAIT","COK","Cook Islands","Overview","Fairness and Ambition",NA,NA,"ambition","Description of ambition","Please refer to the Description of fairness for a combined description of fairness and ambition."
