"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207491,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Quality, Water Sanitation, Water Supply"
23207683,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Quality, Water Sanitation, Water Supply"
23207872,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208064,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208253,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208445,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208634,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208826,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209015,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction"
23209207,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_social_development","Social Development","Poverty Reduction"
23209396,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209588,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209777,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209969,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210158,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210350,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210539,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210731,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210920,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211112,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211301,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211493,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211682,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211874,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212063,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212254,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212443,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212633,"CAIT","CPV","Cape Verde","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212822,"CAIT","CPV","Cape Verde","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213014,"CAIT","CPV","Cape Verde","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213203,"CAIT","CPV","Cape Verde","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213395,"CAIT","CPV","Cape Verde","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213584,"CAIT","CPV","Cape Verde","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Vehicle Fleet"
23213776,"CAIT","CPV","Cape Verde","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Vehicle Fleet"
23213965,"CAIT","CPV","Cape Verde","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General, Sustainable Land Management"
