"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207500,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207692,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207881,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208073,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208262,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208454,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208643,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208835,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23209024,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209216,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209405,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209597,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209786,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209978,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210167,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210359,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210548,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210740,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210929,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211121,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211310,"CAIT","DOM","Dominican Republic","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
