"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207517,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_water","Water","Water Quality"
23207709,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_water","Water","Water Quality"
23207898,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208090,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208279,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208471,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208660,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208852,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209041,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209233,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209422,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation"
23209614,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Reforestation"
23209803,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23209995,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210184,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210376,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210565,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210757,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210946,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211138,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211327,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211519,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211708,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211900,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212089,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves"
23212280,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves"
23212469,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroecology, Climate Smart Agriculture, Crops, Food Security, Irrigation"
23212659,"CAIT","GIN","Guinea","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroecology, Climate Smart Agriculture, Crops, Food Security, Irrigation"
23212848,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_agriculture","Agriculture","Climate Smart Agriculture"
23213040,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_agriculture","Agriculture","Climate Smart Agriculture"
23213229,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213421,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213610,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_transport","Transport","Public Transport"
23213802,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_transport","Transport","Public Transport"
23213991,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Reforestation, Sustainable Forest Management"
23214183,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Reforestation, Sustainable Forest Management"
23214372,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214564,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214753,"CAIT","GIN","Guinea","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Industries, Energy: General, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Hydro, Renewable Energy: Solar: Utility Scale"
