"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207530,"CAIT","IND","India","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse"
23207722,"CAIT","IND","India","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse"
23207911,"CAIT","IND","India","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208103,"CAIT","IND","India","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208292,"CAIT","IND","India","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208484,"CAIT","IND","India","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208673,"CAIT","IND","India","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208865,"CAIT","IND","India","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209054,"CAIT","IND","India","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209246,"CAIT","IND","India","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209435,"CAIT","IND","India","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209627,"CAIT","IND","India","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209816,"CAIT","IND","India","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Disease Surveillance and Control, Health Services and Assessment"
23210008,"CAIT","IND","India","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Disease Surveillance and Control, Health Services and Assessment"
23210197,"CAIT","IND","India","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Pollution Control , Watershed and River Basin Management"
23210389,"CAIT","IND","India","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Pollution Control , Watershed and River Basin Management"
23210578,"CAIT","IND","India","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy"
23210770,"CAIT","IND","India","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy"
23210959,"CAIT","IND","India","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211151,"CAIT","IND","India","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211340,"CAIT","IND","India","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211532,"CAIT","IND","India","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Early Warning System"
23211721,"CAIT","IND","India","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23211913,"CAIT","IND","India","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer"
23212102,"CAIT","IND","India","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves"
23212293,"CAIT","IND","India","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management, Mangroves"
23212482,"CAIT","IND","India","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agroforestry, Climate Smart Agriculture, Crops, Fisheries and Aquaculture, Food Security, Irrigation, Land and Soil Management, Livestock"
