"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207535,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207725,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207916,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208106,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208297,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208487,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208678,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208868,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209059,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209249,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209440,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209630,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209821,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210011,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210202,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210392,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210583,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210773,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210964,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211154,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211345,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211535,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211726,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211916,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212107,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212296,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212487,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212675,"CAIT","ISR","Israel","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212866,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213056,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213247,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213437,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213628,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Rail"
23213818,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Rail"
23214009,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214199,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214390,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214580,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214771,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Gas, Renewable Energy"
23214961,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_energy","Energy","Energy Efficiency, Gas, Renewable Energy"
23215152,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215342,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215533,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215723,"CAIT","ISR","Israel","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215914,"CAIT","ISR","Israel","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""An inter-ministerial committee, chaired by the Director General of the Ministry of Environmental Protection, examined the potential for reducing greenhouse gas emissions in 2030. The committee consisted of representatives from all relevant government ministries, public utility companies, industry and commerce, local government, environmental and non-governmental organizations, academia and other national and international experts from various disciplines. Specific working groups assessed and quantified the costs and benefits of over a hundred different abatement measures in each of the main sectors in the economy, including energy, transportation, buildings, industry and waste. At the same time, removal of obstacles to implementation was examined.</p> <p>Based on the comprehensive work and findings of the committee, a national emissions reduction target for Israel was formulated and is expected to yield significant benefits to the economy. Submitted jointly to the government by the Ministers of Environmental Protection, Finance and National Infrastructures, Energy and Water Resources the target was approved and includes sector specific targets:</p> <ul> <li>Energy efficiency - 17% reduction in electricity consumption relative to BAU scenario in 2030</li> <li>Renewable energy &ndash; 17% of the electricity generated in 2030 will be from renewable sources</li> <li>Public transport &ndash; 20% shift from private to public transportation.""</li> </ul> <p>Future development</p> <p>""The government decision for the national target stipulates that within 45 days of approval, the relevant ministries are to submit to the government an outline of economy wide measures to be taken. It is anticipated that the implementation plan will consist of, inter alia, the following:</p> <ul> <li>The establishment of mechanisms leveraging large scale private funding together with public funding of energy efficiency projects;</li> <li>A program of tenders for renewable energy. The 17% renewable energy target is substantially more ambitious than Israel's current 10% target for 2020;</li> <li>Removal of barriers for the uptake of renewable energy;</li> <li>Measures to increase the use of natural gas. The recent discovery</li> <li>of additional natural gas reserves off the coast of Israel has and will continue to contribute to a partial switch from coal to natural gas in Israel's fuel mix and which contributed to GHG emissions reduction between 2012 and 2015. The government is now working on the further development of gas fields, expected to have significant mitigation potential;</li> <li>Further development of public transport systems in major metropolitan areas such as the construction of the Tel Aviv metropolitan light rail; the extension of the intercity rail system and of the Jerusalem light rail.</li> </ul> <p>Initial steps have begun for the establishment of a national system for managing and monitoring greenhouse gas emissions. Quantitative and qualitative data collection and analysis will be carried out in order to track and record headway on implementation of the abatement measures. The inter-ministerial committee will perform a regular review process of the national strategy and recommend new policy instruments where necessary.""</p>"
