"global_category","indicator_name","value","count"
"Mitigation","Absolute emission reduction (MtCO2eq)","n/a",10
"Mitigation","Absolute emission reduction (MtCO2eq)","Not Specified",5
"Mitigation","Absolute emission reduction (MtCO2eq)","-6.3",2
"Mitigation","Absolute emission reduction (MtCO2eq)","0.091",2
"Mitigation","Absolute emission reduction (MtCO2eq)","0.094",2
"Mitigation","Absolute emission reduction (MtCO2eq)","11.359 - 12.435",2
"Mitigation","Absolute emission reduction (MtCO2eq)","12.099",2
"Mitigation","Absolute emission reduction (MtCO2eq)","1200",2
"Mitigation","Absolute emission reduction (MtCO2eq)","13.043",2
"Mitigation","Absolute emission reduction (MtCO2eq)","1300",2
"Mitigation","Absolute emission reduction (MtCO2eq)","28.31",2
"Mitigation","Absolute emission reduction (MtCO2eq)","3.667",2
"Mitigation","Absolute emission reduction (MtCO2eq)","398 and 614 MtCO2e by 2025 and 2030",2
"Mitigation","Absolute emission reduction (MtCO2eq)","40.3",2
"Mitigation","Absolute emission reduction (MtCO2eq)","42.4",2
"Mitigation","Absolute emission reduction (MtCO2eq)","45.267",2
"Mitigation","Absolute emission reduction (MtCO2eq)","7.58",2
"Mitigation","Absolute emission reduction (MtCO2eq)","71",2
"Mitigation","Absolute emission reduction (MtCO2eq)","9.374",2
"Mitigation","Absolute emission reduction (MtCO2eq)","0.037",1
"Mitigation","Absolute emission reduction (MtCO2eq)","179",1
"Mitigation","Absolute emission reduction (MtCO2eq)","369",1
"Mitigation","Absolute emission reduction (MtCO2eq)","95",1
"Mitigation","Absolute emission reduction (MtCO2eq)","An absolute maximum budget of net-emissions during 2021-2030 of 106.53 MtCO2e",1
"Mitigation","Absolute emission reduction (MtCO2eq)","An absolute maximum of net emissions by 2030 of 9.11 MtCO2e",1
"Mitigation","Absolute emission reduction (MtCO2eq)","An economy-wide unconditional cap net emissions of 359 MtCO2e in 2030",1
"Mitigation","Absolute emission reduction (MtCO2eq)","Carbon Neutrality in energy sector",1
"Mitigation","Absolute emission reduction (MtCO2eq)","Maximum of 169.44 MtCO2e in 2030",1
"Mitigation","Absolute emission reduction (MtCO2eq)","Not Specified. The base year target is also expressed as comparing to BAU ""absolute emission reduction in 2030 compared to BAU: 7,603 Gg CO2-eq""",1
