"global_category","indicator_name","value","count"
"Overview","Access to information","information access not mentioned",223
"Overview","Access to information","information access to implement the NDC's adaptation contribution",62
"Overview","Access to information","#N/A",28
"Overview","Access to information","information access mentioned",12
"Overview","Access to information","information access mentioned (context: adaptation)",12
"Overview","Access to information","information access to implement NDC, aim not clear",12
"Overview","Access to information","information access to implement the NDC's mitigation contribution",12
"Overview","Access to information","information access to implement the NDC's adaptation and mitigation contributions",8
"Overview","Access to information","information access mentioned (context: mitigation)",6
"Overview","Access to information","Information access not mentioned",2
"Overview","Access to information","information access mentioned (context: mitigation and adaptation)",1
"Overview","Access to information","Information access to implement the NDC's adaptation contribution",1
"Overview","Access to information","No Document Submitted",1
"Overview","Access to information","training not mentioned",1
