"global_category","indicator_name","value","count"
"Overview","Awareness raising","awareness raising not mentioned",164
"Overview","Awareness raising","awareness raising to implement the NDC's adaptation contribution",69
"Overview","Awareness raising","awareness raising to implement the NDC's adaptation and mitigation contributions",35
"Overview","Awareness raising","awareness raising to implement the NDC's mitigation contribution",32
"Overview","Awareness raising","#N/A",28
"Overview","Awareness raising","awareness raising to implement NDC, aim not clear",16
"Overview","Awareness raising","awareness raising mentioned",14
"Overview","Awareness raising","awareness raising mentioned (context adaptation)",6
"Overview","Awareness raising","awareness raising mentioned (context: adaptation)",6
"Overview","Awareness raising","awareness raising mentioned (context adaptation and mitigation)",3
"Overview","Awareness raising","awareness raising mentioned (context: both adaptation and mitigation)",2
"Overview","Awareness raising","Awareness raising not mentioned",1
"Overview","Awareness raising","Awareness raising to implement the NDC's adaptation contribution",1
"Overview","Awareness raising","awareness raising to implement the NDC’s mitigation contribution",1
"Overview","Awareness raising","education to implement the NDC's mitigation contribution",1
"Overview","Awareness raising","Education to implement the NDC's mitigation contribution",1
"Overview","Awareness raising","No Document Submitted",1
