"global_category","indicator_name","value","count","Not Specified","Not Applicable","Not Specified ","Not specified","<p>""The BAU scenario projection will be revised to include more accurate information with preparation of the National Communications and Biennial Update.""</P>","<p>""The projection will be revised to include more accurate information with the Third National Communication and Biennial Update Report.""</p>","The Peruvian State reserves the right to update the BaU scenario"," based on new information available before 2020.","""Changes of circumstance where underlying assumptions (e.g. fuel prices"," technological feasibility etc.) may have to be reflected to update the indicators.""","""The last year of the published INGEI or a recent study will be taken as a baseline to calculate inventories by specific sectors"," which follow the same methodology in a homogeneous way"," if there is a change in parameters as indicated in the methodology"," through the Ministry of the Environment. With its National Group of the INGEI"," recalculations will be carried out for previous years to have an effective consistency in the evaluated periods.""","""The national total GHG emissions in 2015 may be recalculated and updated due to continuous methodological improvements.""","""The national total GHG emissions in 2030 may be updated and recalculated due to continuous methodological improvements or data availability. Information on updates made will be included in the NIR and/or Biennial Transparency Reports.""","""The UAE maintains and periodically updates its GHG Emissions Inventory"," accounting for emission sources and sinks. It domestically tracks sectoral mitigation efforts and their impacts in accordance with defined monitoring and evaluation requirements.""","<p>""In accordance with progress in the implementation of national development plans"," and access to international financial resources as well as transfer of required technologies under the Convention"," the BAU scenario will be updated in the future years.""</p>","Circumstances under which the country could update the indicators and benchmarks: Significant changes in the variables considered for the trend projection of emissions"," mitigation scenarios. Extreme weather effects or unforeseen situations"," which prevent compliance with measures and actions within the lines of action. Methodology update (IPCC 2006).","Data given above are subject to changes and update and Lesotho has the right to make necessary changes relating to the baseline an mitigation scenario in light of any up-to-date data by 2020","Morocco reserves the right to revise said BAU scenario on the basis of new analysis by 2020.","Not Specified. ""The difference between these baseline emissions is primarily due to a variance in the methodology applied for base year emission (Revised 1996 IPCC GLs for INDC and 2006 IPCC GLs for NDC)"," as well as increasing the number of livestock and additional policy plans in the industrial processing sector"," e.g. coal gasification project. ""","Not Specified. Although this updated First NDC presents a base year emissions lower than the First NDC ""due to methodological improvements in inventory/GHG sources"," global warming potentials"," and country-specific parameters ('Tier2') for livestock and biomass.""","Not Specified. The following is mentioned"," ""with the data on emissions from the baseline scenario in each of the applicable sectors"," it is possible to integrate"," at the national level"," the 2014—2030 emission trajectory expected under a BAU scenario"," with the starting point being 2013 with data from the INEGyCEI.""","GlobalScore"
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified",127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Applicable",10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified ",9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not specified",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","<p>""The BAU scenario projection will be revised to include more accurate information with preparation of the National Communications and Biennial Update.""</P>",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","<p>""The projection will be revised to include more accurate information with the Third National Communication and Biennial Update Report.""</p>",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","The Peruvian State reserves the right to update the BaU scenario, based on new information available before 2020.",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","""Changes of circumstance where underlying assumptions (e.g. fuel prices, technological feasibility etc.) may have to be reflected to update the indicators.""",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","""The last year of the published INGEI or a recent study will be taken as a baseline to calculate inventories by specific sectors, which follow the same methodology in a homogeneous way, if there is a change in parameters as indicated in the methodology, through the Ministry of the Environment. With its National Group of the INGEI, recalculations will be carried out for previous years to have an effective consistency in the evaluated periods.""",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Mitigation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","""The national total GHG emissions in 2015 may be recalculated and updated due to continuous methodological improvements.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
