"global_category","indicator_name","value","count","Not Specified","Not Applicable","Dynamic baseline scenario","Static baseline scenario","<p>""A fixed BAU scenario is being used for the INDC""</p>","<p>""A fixed BAU scenario is being used for the INDC.""</p>","<p>Not Specified</p> <p>""BAU is subject to revision before 2020""</p>","<p>Static baseline scenario</p> <p>""Type of contribution: Emissions reductions versus business-as-usual baseline growth scenario (fixed)""</p>","Dynamic BAU","Not Specified; however"," the INDC states that ""The projection will be revised to include more accurate information with the Third National Communication","""","Not Specified ","""The national total GHG emissions in 2030 may be updated and recalculated due to continuous methodological improvements or data availability. Information on updates made will be included in the NIR and/or Biennial Transparency Reports.""","New Zealand's forestry and other land use approach builds on experience with accounting under the Kyoto Protocol to recognise and focus on additional action"," and will create incentives for the establishment of new forests"," recognise permanent"," long-term enhancements of carbon sinks resulting from new management"," and take responsibility for deforestation"," while accommodating the long-term cycles in net emissions and removals that arise from sustainable forest management.","Not Specified but the updated First NDC has updated and recalculated GHG emissions level for the BAU scenario. ""The GHG emissions level for the BAU scenario"," unconditional and conditional targets in 2030 may be updated and recalculated depending on methodological changes in the GHG inventory"," such as recalculating the GHG inventory with the 2006 IPCC Guidelines or changes in Global Warming Potential (GWP) in IPCC Assessment Reports"," or the adoption of the 2019 IPCC Refinement. Information on updates made will be included in the Biennial Transparency Reports (BTR).""","Not Specified. ""In the development of this NDC"," Mongolia re-calculated the baseline emissions up to 2030"," which are estimated to reach 74.3 Mt СО2-eq. in 2030 without LULUCF"," compared to 2015’s INDC baseline of 51.3 Mt СО2-eq.""","Not specified. <br>""*Morocco reserves the right to revise said BAU scenario on the basis of new analysis by 2020.""","GlobalScore"
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","Not Specified",143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","Not Applicable",10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","Dynamic baseline scenario",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","Static baseline scenario",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","<p>""A fixed BAU scenario is being used for the INDC""</p>",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","<p>""A fixed BAU scenario is being used for the INDC.""</p>",2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","<p>Not Specified</p> <p>""BAU is subject to revision before 2020""</p>",2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","<p>Static baseline scenario</p> <p>""Type of contribution: Emissions reductions versus business-as-usual baseline growth scenario (fixed)""</p>",2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","Dynamic BAU",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Baseline scenario targets: Static or dynamic baseline scenario","Not Specified; however, the INDC states that ""The projection will be revised to include more accurate information with the Third National Communication,""",2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
