"global_category","indicator_name","value","count"
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","""The capacity of experts and technical staff in several areas, especially at the local level, on climate change as well as on the evaluation of the efficiency of adaptation activities is still limited. The capacity for natural disaster forecasting and warning as well as scientific research and technology development for climate change adaptation needs to be continuously enhanced, as does the capacity for selecting and prioritizing resources to implement climate change adaptation activities in Viet Nam.""",21
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Human and institutional capacity building",18
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","National system of statistics collection/monitoring, reporting, to assure adequate management of electronic databases for periodic hydro-meteorological and climate information and other data needed to assess climate risks and impacts|Research and development needs to meet adaptation targets",3
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Training (generally)",3
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Accelerate efforts to integrate climate change education into the school curriculum at all levels, including primary, secondary and professional centres|Reinforce and enhance the quality of STEM (science, technology, engineering and mathematics) education at all levels to develop a new generation more capable of climate change adaptation leadership|In-service training is also needed for teachers and other professionals working in diverse sectors (government, private sector and civil society)",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Adaptation knowledge sharing, coordination and collaboration among ministries as well as with non-governmental organisations (NGOs), the private sector, faith-based organisations and development partners;|Focus on development of knowledge, skill levels to address capacity gaps with regards to climate change adaptation and disaster risk reduction throughout Solomon Islands society, particularly in the outer islands and among marginalized populations;|Capacity at the community level to undertake local level vulnerability mapping, adaptation planning and the implementation of priority adaptation interventions.",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Additional resources are required to build institutional and private sector capacity to meet other trade and supply conditions such as the Lacey Act, FSC certification and other procurement requirements.",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Better understanding of incentives for agriculture in savannah regions, such as ease of mechanization.",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Capacity building for disaster risk reduction..",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Capacity development programme at institutional and local level.",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Capacity with respect to MRV (readiness assessments, personnel and institutional capacity building and also sector level MRV system design).",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Climate science institutes with university",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Design of bankable projects and the understanding of the donors‘ rules and procedures|Evaluation of adaptation projects in terms of economic and financial analysis|Establishment of the measurement, notification and verification system (MNV)|Knowledge and understanding of the INDC implementation process strategic environmental and social assessments (SESA) and environmental and social impact statements (ESIA)|Mapping of soils|Land use planning|Development of a national forestry plan |Rational management of liquid and solid wastes",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Ecological engineering and spatial planning for water resources",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Education, training and research on climate change in particular with regard to the vulnerability and adaptation dimensions|Specialized staff in the field of climate change",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Elaborate and implement a strategy for climate change education, awareness raising, communication and public participation|Build national technical and institutional capacity to design and manage projects to access climate financing|Operationalize the NCCAMM implementation mechanisms namely the Knowledge Management Centre, the National Climate Change Network and the Financial Mechanism",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Encourage technology transfers between research institutes and agro-sylvo-pastoral actors;|Strengthen the aptitudes of actors (especially women and farmers) in new technical processes, in the interest of intensified, sustainable production methods (new crop systems and techniques).",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Generic (not tailored to any action item):  (a) national capacity to develop adaptation strategies; (b) policy makers capacity for climate change adaptation planning; (c) capacity of communities to reduce their vulnerability to adverse impacts of future",2
"Sectoral Information","Capacity Building Needs for Sectoral Implementation","Human Resource Capacity Building",2
