"global_category","indicator_name","value","count","N/A","Yes","Not Specified","Not specific to adaptation but the following is mentioned"," “Public consultation process of the NDC update has been carried out in line with the government procedures"," including involvement of the civil society"," in a gender-responsive manner"," and followed by a parliamentary debate.”<br>"" The implementation of the NDC will be supported on subnational level by involving local communities and encouraging all stakeholders to take action"," including NGOs"," taking into account the needs of youth"," vulnerable groups"," in a gender-responsive manner.”","Not Specified <br> Although the following action is mentioned as one of the ""twelve discrete steps to the preparation of the adaption action: Increasing stakeholder ownership through wide stakeholder consultations.""","Yes. <br>""Ten dialogues were held with afro-descendant"," peasant"," indigenous groups"," youth organizations and women.""","Yes.<br>""In addition"," the NDC was shared with the general public for their feedback.""","Yes.<br>""The commission consists of representatives from civil society and industries"," and it was tasked with reviewing the result of the technical analysis delivered by the joint working group and collecting public opinions through public hearings and parliamentary discussions.""","Yes.<br>""This product is a result of extensive consultations with stakeholders from the relevant government agencies"," civil society institutions and the private sector.""","Yes; The following text is part of the planning process:<br>""A Non-State Actors (NSA) consultation meeting which included academic experts"," youth"," the private sector and civil society organizations was also organized to ensure their participation in defining the 2020 NDC update.""","Yes<br>""Developed through a whole-of-government-and-society approach"," the Philippines’ NDC upholds the importance of meaningful participation of women"," children"," persons with diverse sexual orientation and gender identity"," differently abled"," indigenous peoples"," elderly"," local communities"," civil society"," faith-based organizations"," and the private sector"," and recognizes the indispensable value of inclusion and collaborative participation of local governments in implementing climate actions.""","Yes<br>""Paragraph 12 of Georgia’s updated NDC identifies the vulnerable groups of the country. For taking into consideration the particular interests"," needs"," capabilities"," roles and responsibilities of the key stakeholders"," especially the vulnerable groups"," the meetings with vulnerable groups and civic organizations working on climate change and gender issues have been conducted during the process of updating the document.""","Yes<br>“Civil society is recognised as an important voice for the community and plays an important role in policy implementation. The NGO Forum is one way in which civil society can bring a voice to the NDC formulation and implementation.”","Yes<br>“The NDC is strengthened by incorporating the results of a nationwide participatory process"," which considered all three orders of government"," specialists"," scholars"," productive sectors"," social organizations"," youth and the public.”<br>” During this NDC’s update"," government agencies and state governments were involved"," along with the private sector and social organizations.”","Yes<br>The following text describes general planning process","""Saint Lucia’s National Climate Change Committee (NCCC)"," established in 1998"," has the mandate to provide advice and support to national climate change-related programmes and processes and comprises public"," statutory"," academic and private sector bodies whose work is related to climate change. Saint Lucia is working to strengthen the role of the NCCC and anticipates that the Committee will play a strong role in coordinating and facilitating the implementation of climate change actions"," including that of the NDC.""<br> The following is identified as one of the best practices in preparation of NDC"," “The engagement of stakeholders from public sector"," private sector"," academia and civil society was key to ensuring the interest and buy-in to the NDC process and revised targets. Specific engagement was undertaken with the youth"," who account for a large percentage of the population.”","Yes<br>The updated NDC is “developed synergistically and in collaboration and consultation with industry stakeholders"," academic experts"," local NGO groups"," and technical consultants"," who have also served to provide additional inputs on available and future technologies for long term mitigation and adaptation actions in Fiji.""","GlobalScore"
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","N/A",177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Yes",105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Not Specified",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Not specific to adaptation but the following is mentioned, “Public consultation process of the NDC update has been carried out in line with the government procedures, including involvement of the civil society, in a gender-responsive manner, and followed by a parliamentary debate.”<br>"" The implementation of the NDC will be supported on subnational level by involving local communities and encouraging all stakeholders to take action, including NGOs, taking into account the needs of youth, vulnerable groups, in a gender-responsive manner.”",1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Not Specified <br> Although the following action is mentioned as one of the ""twelve discrete steps to the preparation of the adaption action: Increasing stakeholder ownership through wide stakeholder consultations.""",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Yes. <br>""Ten dialogues were held with afro-descendant, peasant, indigenous groups, youth organizations and women.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Yes.<br>""In addition, the NDC was shared with the general public for their feedback.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Yes.<br>""The commission consists of representatives from civil society and industries, and it was tasked with reviewing the result of the technical analysis delivered by the joint working group and collecting public opinions through public hearings and parliamentary discussions.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Yes.<br>""This product is a result of extensive consultations with stakeholders from the relevant government agencies, civil society institutions and the private sector.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
"Adaptation","Civil Society Engagement in NDC Planning (Yes/No)","Yes; The following text is part of the planning process:<br>""A Non-State Actors (NSA) consultation meeting which included academic experts, youth, the private sector and civil society organizations was also organized to ensure their participation in defining the 2020 NDC update.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7
