"global_category","indicator_name","value","count"
"Overview","Co-benefits of adaptation","No co-benefits of adaptation mentioned",310
"Overview","Co-benefits of adaptation","#N/A",28
"Overview","Co-benefits of adaptation","Mitigation co-benefit: no examples given",14
"Overview","Co-benefits of adaptation","Both mitigation and other co-benefits: economic diversification",2
"Overview","Co-benefits of adaptation","Both mitigation and other co-benefits: health; protection of water resources",2
"Overview","Co-benefits of adaptation","Both mitigation and other co-benefits: inclusive green growth",2
"Overview","Co-benefits of adaptation","Both mitigation and other co-benefits: job creation, air quality, human health, reduction public health costs",2
"Overview","Co-benefits of adaptation","Both mitigation and other co-benefits: low-carbon development",2
"Overview","Co-benefits of adaptation","Both mitigation and other co-benefits: no examples given",2
"Overview","Co-benefits of adaptation","Mitigation co-benefit: electricity provision through solar panels instead of imported fossil fuels",2
"Overview","Co-benefits of adaptation","Other co-benefits: e.g. poverty reduction; food security; increased soil fertility; livestock productivity; wildlife system resilience",2
"Overview","Co-benefits of adaptation","Other co-benefits: economic diversification",2
"Overview","Co-benefits of adaptation","Other co-benefits: low-carbon development",2
"Overview","Co-benefits of adaptation","Other co-benefits: no examples given",2
"Overview","Co-benefits of adaptation","Both mitigation and other co-benefits: safeguarding food, water and energy resources",1
"Overview","Co-benefits of adaptation","Mitigation co-benefit",1
"Overview","Co-benefits of adaptation","Mitigation co-benefit: conservation plans for protected areas",1
"Overview","Co-benefits of adaptation","Mitigation co-benefit: development of renewable energy sources to help reclamation of degraded lands",1
"Overview","Co-benefits of adaptation","No Document Submitted",1
"Overview","Co-benefits of adaptation","Other co-benefits mentioned",1
"Overview","Co-benefits of adaptation","Other co-benefits: diversify production; ecosystems management; sust. resource exploitation; integr. development planning",1
