"global_category","indicator_name","value","count"
"Overview","Co-benefits of mitigation","No co-benefits of mitigation mentioned",282
"Overview","Co-benefits of mitigation","#N/A",28
"Overview","Co-benefits of mitigation","Other co-benefits: no examples given",9
"Overview","Co-benefits of mitigation","Adaptation co-benefit: no examples given",7
"Overview","Co-benefits of mitigation","Other co-benefits: economic diversification",6
"Overview","Co-benefits of mitigation","Other co-benefits: socio-economic and environmental benefits",3
"Overview","Co-benefits of mitigation","Adaptation co-benefit: climate-resilient agronomic practices",2
"Overview","Co-benefits of mitigation","Both adaptation and other co-benefits: e.g. job creation; biodiversity preservation; increased rural household incomes",2
"Overview","Co-benefits of mitigation","Both adaptation and other co-benefits: e.g. recovery of degraded land; food security; job creation; reduction rural exodus",2
"Overview","Co-benefits of mitigation","Both adaptation and other co-benefits: health, well-being of population, inclusive green growth",2
"Overview","Co-benefits of mitigation","Both adaptation and other co-benefits: improvement air quality, human health, development",2
"Overview","Co-benefits of mitigation","Both adaptation and other co-benefits: socio-economic benefits",2
"Overview","Co-benefits of mitigation","Both adaptation and other co-benefits: synergising mitigation and adaptation",2
"Overview","Co-benefits of mitigation","Other co-benefits: cleaner environment; better sanitation (with fewer risks for health problems); irrigation water",2
"Overview","Co-benefits of mitigation","Other co-benefits: development; reduce soil erosion/reduce flood risk",2
"Overview","Co-benefits of mitigation","Other co-benefits: e.g. improved electricity security and access to rural communities; cost savings (GH¢74 million/yr subsidy on kerosene)",2
"Overview","Co-benefits of mitigation","Other co-benefits: economic benefits",2
"Overview","Co-benefits of mitigation","Other co-benefits: environmental protection, foreign exchange savings, human health benefits",2
"Overview","Co-benefits of mitigation","Other co-benefits: improved air quality",2
"Overview","Co-benefits of mitigation","Other co-benefits: improving universal energy access and security",2
"Overview","Co-benefits of mitigation","Other co-benefits: job creation, air quality, human health, reduction public health costs",2
"Overview","Co-benefits of mitigation","Other co-benefits: public health, positive socio-econmic and environmental impact)",2
"Overview","Co-benefits of mitigation","Other co-benefits: REDD+ has development benefits",2
"Overview","Co-benefits of mitigation","Other co-benefits: reduced energy generation costs",2
"Overview","Co-benefits of mitigation","Other co-benefits: social, health and environmental benefits",2
"Overview","Co-benefits of mitigation","Both adaptation and other co-benefits: coastline protection, reduced water and air pollution, employment creation, energy security, etc.",1
"Overview","Co-benefits of mitigation","Both adaptation and other co-benefits: reduce deforestation",1
"Overview","Co-benefits of mitigation","Both mitigation and other co-benefits: reduce deforestation",1
"Overview","Co-benefits of mitigation","No Document Submitted",1
"Overview","Co-benefits of mitigation","Other co-benefits",1
"Overview","Co-benefits of mitigation","Other co-benefits: environmental and socio-economic benefits of solar PV",1
"Overview","Co-benefits of mitigation","Other co-benefits: job creation (up to 6000 green jobs)",1
"Overview","Co-benefits of mitigation","Other co-benefits: job creation (up to 6000 green jobs)",1
