"global_category","indicator_name","value","count","No losses indicated","#N/A","economic losses: >3.5 bn/ 4.5% GDP loss (El Nino"," 1997-1998)","economic losses: 0.4-22.8 bn (€¦"," 1971-2000)","economic losses: 0.52% GDP loss (drought"," 2015)","economic losses: 1-2% of GDP (1982-2014)","economic losses: 1% GDP loss (extreme weather events"," annually)","economic losses: 1.13 bn (extreme weather"," 2011)","economic losses: 1.5 -2% GDP loss per year (ca. 270-360 mio in 2013)","economic losses: 1.74 bn (disasters"," 1980-2003)","economic losses: 14% GDP loss (hurricane"," 1998); 1.2% GDP loss (tropical storm"," 2007)","economic losses: 16.9 bn (€¦"," €¦)","economic losses: 2 bn /0.5% GDP loss (sea level rise","economic losses: 20% GDP loss (tropical cyclone"," ...)","economic losses: 20","6 bn (16 hurricanes"," 1998-2008)","economic losses: 29 Mio (floods"," 2005)","economic losses: 3. 5 bn (8 climate-related events"," 1982-2014)","economic losses: 335 mio (hurricanes"," 1995"," 2010); 1 mio (drought"," 2010)","economic losses: 356 mio (floods"," 2013)","economic losses: 392.3 mio/ 75.88% of GDP (hurricane","economic losses: 4.0- 6.75 mio (floods); 287.6 mio (climate related events)","economic losses: 4.33-5.44 bn GDP loss (climate change","economic losses: 470-940 mio/year (last 5 years)","economic losses: 48 mio/year (hydrometeorological events"," 1980-1999); 1.4 bn in 2000€“2012","economic losses: 600 mio/ 35% GDP loss (severe weather"," 2010-2014); 35 mio (hurricane","economic losses: 70 mio/year (droughts); 18 mio (floods"," since 2000)","economic losses: 753.2 mio/year (floods"," 1996-2005)","economic losses: ‚¬3.5 bn (droughts"," 2000"," 2003"," 2007"," 2012); ‚¬1.5 bn (floods"," 2014); ‚¬300 mio (forest fires"," 2000-2009)","economic losses: RM 915 mio/year (seasonal monsoon floods); RM 2.9 bn (floods"," 2014)","human impacts and economic loss: 1 bn costs and 649 deaths (floods","human impacts and economic loss: 1.5% GDP loss"," 500 people killed (natural disasters"," annual)","human impacts and economic loss: 3.2 mio people affected (La Nina"," 2010-2011). 6 bn (La Nina"," 2010-2011)","human impacts and economic loss: 3.8 bn /70% GDP loss"," 14.000 people killed and 500.000 people displaced (hurricane"," 1998)","human impacts and economic loss: 335 mio"," 176 people killed and 172 missing"," 230.000 people displaced (floods","human impacts and economic loss: 4 bn"," 138.000 people killed (Tropical Cyclone"," 2008)","Human impacts and economic loss: e.g. 18 bn"," 12 million people affected (5 floods"," 2010-2014); 1200 people killed (heat wave","human impacts and economic loss: e.g. 470 mio/year /4.2% GDP loss"," 7000 dead and 2.9 million affected (weather events"," 1980-2008)","human impacts and economic loss: e.g. J$128.54 bn (storms"," 2001-2012); J$ 9.7 bn /0.8% GDP loss"," 1 dead and 291 injured (hurricane","2012)","human impacts:higher mortality (hot summers)","economic losses: 2","8693 bn (El Nino"," 1998-1999)","Economic losses: 35.71 mio (floods"," total relief expenditure for the period of 2007-2011 was 12.75 mio","economic losses: 38.46 mio (floods","Human impacts and economic loss mentioned: US$ 301.75 million of purchasing power"," equivalent to an average annual loss per unit of GDP of 1.72%","human impacts and economic loss: 1.64 bn"," 700.000 people displaced (floods/cyclone","human impacts and economic loss: 142 mio"," 45 people killed (floods 1980-2009)","human impacts and economic loss: 60 mio infrastructure damage and 5000€“10 000 people affected (hurricane","human impacts and economic loss: 80 mio infrastructure damage and 5000€“10 000 people affected (hurricane"," 2015);","GlobalScore"
"Adaptation","Costs of recent climate-related hazards (currency US$)","No losses indicated",270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of recent climate-related hazards (currency US$)","#N/A",28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: >3.5 bn/ 4.5% GDP loss (El Nino, 1997-1998)",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 0.4-22.8 bn (€¦, 1971-2000)",2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 0.52% GDP loss (drought, 2015)",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 1-2% of GDP (1982-2014)",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 1% GDP loss (extreme weather events, annually)",2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 1.13 bn (extreme weather, 2011)",2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 1.5 -2% GDP loss per year (ca. 270-360 mio in 2013)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 1.74 bn (disasters, 1980-2003)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 14% GDP loss (hurricane, 1998); 1.2% GDP loss (tropical storm, 2007)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 16.9 bn (€¦, €¦)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 2 bn /0.5% GDP loss (sea level rise, €¦)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 20% GDP loss (tropical cyclone, ...)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 20,6 bn (16 hurricanes, 1998-2008)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 29 Mio (floods, 2005)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 3. 5 bn (8 climate-related events, 1982-2014)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 335 mio (hurricanes, 1995, 2010); 1 mio (drought, 2010)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 356 mio (floods, 2013)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 392.3 mio/ 75.88% of GDP (hurricane, 2015)",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 4.0- 6.75 mio (floods); 287.6 mio (climate related events)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 4.33-5.44 bn GDP loss (climate change, €¦)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 470-940 mio/year (last 5 years)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 48 mio/year (hydrometeorological events, 1980-1999); 1.4 bn in 2000€“2012",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 600 mio/ 35% GDP loss (severe weather, 2010-2014); 35 mio (hurricane, 2010)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 70 mio/year (droughts); 18 mio (floods, since 2000)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: 753.2 mio/year (floods, 1996-2005)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: ‚¬3.5 bn (droughts, 2000, 2003, 2007, 2012); ‚¬1.5 bn (floods, 2014); ‚¬300 mio (forest fires, 2000-2009)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Adaptation","Costs of recent climate-related hazards (currency US$)","economic losses: RM 915 mio/year (seasonal monsoon floods); RM 2.9 bn (floods, 2014)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of recent climate-related hazards (currency US$)","human impacts and economic loss: 1 bn costs and 649 deaths (floods, 2007)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","human impacts and economic loss: 1.5% GDP loss, 500 people killed (natural disasters, annual)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","human impacts and economic loss: 3.2 mio people affected (La Nina, 2010-2011). 6 bn (La Nina, 2010-2011)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","human impacts and economic loss: 3.8 bn /70% GDP loss, 14.000 people killed and 500.000 people displaced (hurricane, 1998)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","human impacts and economic loss: 335 mio, 176 people killed and 172 missing, 230.000 people displaced (floods, 2015)",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Costs of recent climate-related hazards (currency US$)","human impacts and economic loss: 4 bn, 138.000 people killed (Tropical Cyclone, 2008)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of recent climate-related hazards (currency US$)","Human impacts and economic loss: e.g. 18 bn, 12 million people affected (5 floods, 2010-2014); 1200 people killed (heat wave, 2015)",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Costs of recent climate-related hazards (currency US$)","human impacts and economic loss: e.g. 470 mio/year /4.2% GDP loss, 7000 dead and 2.9 million affected (weather events, 1980-2008)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
