"global_category","indicator_name","value","count"
"Overview","Date of signature","4/22/2016",175
"Overview","Date of signature","9/20/2016",4
"Overview","Date of signature","9/21/2016",2
"Overview","Date of signature","9/22/2016",2
"Overview","Date of signature","9/23/2016",2
"Overview","Date of signature","10/29/2016",1
"Overview","Date of signature","11/3/2016",1
"Overview","Date of signature","12/8/2016",1
"Overview","Date of signature","4/19/2017",1
"Overview","Date of signature","4/25/2016",1
"Overview","Date of signature","4/26/2016",1
"Overview","Date of signature","6/24/2016",1
"Overview","Date of signature","7/26/2016",1
"Overview","Date of signature","8/2/2016",1
"Overview","Date of signature","9/19/2016",1
