"global_category","indicator_name","value","count"
"Overview","Description of ambition","Please refer to the Description of fairness for a combined description of fairness and ambition.",272
"Overview","Description of ambition","Not Specified",43
"Overview","Description of ambition","""The EU’s enhanced NDC represents a significant progression beyond both its current undertaking of a 20% emissions reduction commitment by 2020 compared to 1990, and its NDC submitted at the time of ratifying the Paris Agreement. Both the initial NDC and this update require significantly higher emissions reductions than were projected as business as usual at the time of their adoption.""",28
"Overview","Description of ambition","<p>Please refer to the Description of fairness for a combined description of fairness and ambition.</p>",16
"Overview","Description of ambition","</p>Please refer to the Description of fairness for a combined description of fairness, ambition and how the INDC contributes towards achieving the objective of the Convention.</p> ",2
"Overview","Description of ambition","<p class=""Default"">&ldquo;El nivel propuesto es ambicioso. La Rep&uacute;blica de Honduras es un pa&iacute;s de ingresos bajos, que tiene que hacer frente a una serie de desaf&iacute;os al desarrollo, como son: la pobreza, educaci&oacute;n, salud, seguridad, que se superponen al desaf&iacute;o de la adaptaci&oacute;n y al desacoplamiento de las emisiones de la econom&iacute;a. </p> <p>El tama&ntilde;o y capacidad econ&oacute;mica del pa&iacute;s determinan el potencial de mitigaci&oacute;n y adaptaci&oacute;n en ausencia de financiamiento internacional. Sin embargo, la Rep&uacute;blica de Honduras aspira a reducir significativamente el sector con m&aacute;s emisiones, es decir, la producci&oacute;n de energ&iacute;a el&eacute;ctrica, al tiempo que se cubren las nuevas necesidades nacionales derivadas del aumento poblacional y econ&oacute;mico. Toda esta estrategia se alinea con una estrategia de desarrollo de bajas emisiones de carbono.&rdquo;</p> <p>The proposed level is ambitious. The Republic of Honduras is a low-income country, which has to face a series of development challenges, such as poverty, education, health, security, which add to the challenge of adaptation and the decoupling of emissions from economic growth.</p> <p>The size and economic strength of the country determine its mitigation and adaptation potential in the absence of international funding. However, the Republic of Honduras aims to significantly reduce emissions in its highest-emission sector, i.e. electricity production, while attending to its national needs resulting from population and economic growth. This strategy aligns with a strategy for low-carbon development.</p>",2
"Overview","Description of ambition","<p class=""Default"">&ldquo;Guinea Ecuatorial es un pa&iacute;s en v&iacute;a de desarrollo, cuya econom&iacute;a depende exclusivamente de industrias extractivas y tiene que hacer frente a una serie de desaf&iacute;os al desarrollo, como son: la pobreza, educaci&oacute;n, salud, infraestructuras viales, etc. Aunque, en t&eacute;rminos de emisiones, la Rep&uacute;blica de Guinea Ecuatorial, representa menos del 0,1% de las emisiones mundiales, sin embargo, la tendencia de las emisiones de algunos sectores econ&oacute;micos son importantes, en especial la energ&iacute;a, emisiones de CO<sub>2</sub> de la biomasa, procesos industriales extractivos y cambios de usos de la tierra.</p> <p>En el a&ntilde;o 2007, el Gobierno adopt&oacute; el Plan Nacional para el Desarrollo Econ&oacute;mico y Social (PNDES) al Horizonte 2020, el cual encaja perfectamente con los Objetivos del Milenio para el Desarrollo y las ambiciones para la reducci&oacute;n de las emisiones de CO<sub>2</sub>; puesto que se apuesta por la diversificaci&oacute;n de la econom&iacute;a, con un enfoque de la econom&iacute;a verde (<em>el turismo, silvicultura, negocios, etc</em>.).&rdquo;</p> <p>Equatorial Guinea is a developing country whose economy depends exclusively on extractive industries, has to face a series of development challenges, such as poverty, education, health, road infrastructure, etc. Even though, in terms of emissions, the Republic of Equatorial Guinea, represents less than 0.1% of global emissions, the trend in emissions in some economic sectors are important, especially in energy, CO<sub>2&nbsp;</sub>emissions from biomass, extractive industrial processes and land-use changes.</p> <p>In 2007, the Government adopted the National Plan for Economic and Social Development (PNDES) for 2020, which aligns perfectly with the Millennium Development Goals and ambitions to reduce CO<sub>2</sub>&nbsp;emissions; since it is committed to the diversification of the economy, with a focus on a green economy (tourism, forestry, business, etc.).</p>",2
"Overview","Description of ambition","<p class=""Default"">&ldquo;La C&ocirc;te d&rsquo;Ivoire s&rsquo;engage &agrave;:</p> <ul> <li>Porter &agrave; 42% la part des EnR dans le mix &eacute;lectrique (incluant la grande hydro&eacute;lectricit&eacute)</li> <li>Mettre en oeuvre la strat&eacute;gie de r&eacute;duction des &eacute;missions de GES issues de la d&eacute;forestation et de la d&eacute;gradation des for&ecirc;ts en plus de la gestion durable des for&ecirc;ts et des politiques ambitieuses de reboisement (REDD+)</li> <li>La baisse de 28% des &eacute;missions du sc&eacute;nario bas-carbone par rapport &agrave; un sc&eacute;nario de base repr&eacute;sente un effort significatif pour un pays dont le PIB/hab se situe au 148&egrave;me rang mondial (2014, en base PPA)&rdquo;</li> </ul> <p class=""Default"">&nbsp;</p> <p class=""Default"">Cote d&rsquo;Ivoire aims to:</p> <ul> <li>Increase the share of renewables in the electricity generation mix to 42% (including large-scale hydro).</li> <li>Implement the GHG emissions reduction strategy for deforestation and forest degradation in addition to the sustainable management of forests and ambitious policies for reforestation (REDD+).</li> <li>The 28% emissions reductions compared to a baseline scenario of the low-carbon scenario represents a significant effort from a country whose per capita GDP is the 148<sup>th</sup> in the world (2014, PPP).&nbsp;</li> </ul>",2
"Overview","Description of ambition","<p>""Bolivia considers that it must make fair and ambitious efforts to address the impacts of climate change, although it has not caused the phenomenon of global warming.""</p> <p>""Bolivia considers its nationally determined contributions as an ambitious and just effort, considering its national circumstances.""</p>",2
"Overview","Description of ambition","<p>""Considering the significance of energy issues in ensuring the sustainable development, DPR Korea continue to give national development priority on the work to keep energy production ahead of economic development. But there are no domestic oil and natural gas resources in DPR Korea. Thus domestic coal accounts now for a comparatively large share Intended Nationally Determined Contribution of Democratic People&rsquo;s Republic of Korea Page 6 of energy consumption in energy and industrial sector. This share has a tendency to increase with the activation of the national economy in the near future. </p><p>In order to make national contribution to mitigation of climate change fair and ambitious in this development context, DPR Korea attaches the mitigation priorities to the energy and industrial sector in where it is possible to pursue synergy with adaptation to climate change, and thus expects to decrease GHG emission per final energy use and GDP. </p><p>DPR Korea&rsquo;s GDP per capita is 462US$ in 2000. This implies that capability of DPR Korea for mitigation measures with only domestic resource is not sufficient to contribute to responding the climate change, an issue on a global scale. </p><p>Especially, international support has a great potential to encourage mitigation measures in DPR Korea, because this INDC expects that conditional contribution takes about 80% of the national GHG emissions mitigation target in 2030.&nbsp;""</p>",2
"Overview","Description of ambition","<p>""INDC is identified in the context of national interests, taking into account decrease in energy consumption for GDP. Growth of Uzbekistan's GDP over the period 1990-2010 was +191%, while greenhouse gas emission for the same period was increased by 10.2% only. Therefore, the GDP growth rates outrun considerably that of the greenhouse gas emission. Achievement of the adopted target index ensures curb of GHGs emissions growth along with development of the economy. ""</p>",2
"Overview","Description of ambition","<p>""Please refer to the Description of fairness for a combined description of fairness,ambition, and how Namibia's INDC contributes towards achieving the objective of the Convention.""</p>",2
