"global_category","indicator_name","value","count"
"Overview","Description of how it contributes towards achieving the objective of the Convention","Not Specified",172
"Overview","Description of how it contributes towards achieving the objective of the Convention","The EU and its Member States look forward to discussing with other Parties the fairness and ambition of INDCs in the context of the below 2&deg;C objective, their aggregate contribution to that objective and on ways to collectively increase ambition further.",58
"Overview","Description of how it contributes towards achieving the objective of the Convention","""The EU considers its enhanced NDC to be in line with the objective of the UNFCCC and long term goal of the UNFCCC Paris Agreement, as explained in 6a and 6b.""",28
"Overview","Description of how it contributes towards achieving the objective of the Convention","Not Specified ",18
"Overview","Description of how it contributes towards achieving the objective of the Convention","</p>Please refer to the Description of fairness for a combined description of fairness, ambition and how the INDC contributes towards achieving the objective of the Convention.</p>",2
"Overview","Description of how it contributes towards achieving the objective of the Convention","<p class=""Default"">&ldquo;Cuba considera que estas son acciones nacionales que contribuyen a la implementaci&oacute;n efectiva de la Convenci&oacute;n, y reafirma su voluntad para seguir cooperando en el desarrollo de capacidades en el enfrentamiento al cambio clim&aacute;tico, incluyendo:</p> <ul> <li>Asistencia t&eacute;cnica en la preparaci&oacute;n de las comunicaciones nacionales y los inventarios de gases de efecto invernadero.</li> <li>Desarrollo de la modelaci&oacute;n y las proyecciones clim&aacute;ticas.</li> <li>Realizaci&oacute;n e implementaci&oacute;n de Estudios de Peligro, Vulnerabilidad y Riesgo.</li> <li>Evaluaciones sobre vulnerabilidad costera e impactos de eventos extremos y del cambio clim&aacute;tico, como parte de la evaluaci&oacute;n de impacto ambiental de obras y proyectos de desarrollo.&rdquo;</li> </ul> <p>Cuba considers that these are national measures that contribute to the effective implementation of the Convention, and it reaffirms its willingness to continue to cooperate for capacity development in order to tackle climate change, including via:</p> <ul> <li>Technical assistance in the preparation of national communications and greenhouse gas inventories,</li> <li>The development of modeling and climate projections,</li> <li>Conducting and implementing Hazard, Vulnerability and Risk Studies,</li> <li>The assessments of coastal vulnerability and the impacts of extreme climate events, as part of the environmental impact assessment of development projects.</li> </ul>",2
"Overview","Description of how it contributes towards achieving the objective of the Convention","<p class=""Default"">&ldquo;Par ses actions d&rsquo;att&eacute;nuation &agrave; l&rsquo;horizon 2030, et consid&eacute;rant ses objectifs de d&eacute;veloppement socio-&eacute;conomique dans le cadre de ses circonstances nationales, l&rsquo;Alg&eacute;rie contribuera d&rsquo;une mani&egrave;re &eacute;quitable &agrave; l&rsquo;accomplissement de l&rsquo;objectif de l&rsquo;article 2 de la Convention.&rdquo;</p> <p>With its mitigation actions for 2030 and taking into account its objectives for socio-economic development within the context of its national circumstances, Algeria will contribute towards achieving the objective of the Convention in an equitable manner.&nbsp;</p>",2
"Overview","Description of how it contributes towards achieving the objective of the Convention","<p>""Albania will take into account the ultimate objective of the UNFCCC in its future development and committed to decouple greenhouse gas emissions from its economic growth and embarks on a low emission development pathway.""</p>",2
"Overview","Description of how it contributes towards achieving the objective of the Convention","<p>""At 1.8 tCO<sub>2</sub>e, Ethiopia&rsquo;s per capita GHG emissions are insignificant compared to total global emissions. If Ethiopia&rsquo;s contribution is fully implemented, it would reduce per capita emissions to 1.1 tCO<sub>2</sub>e by 2030. For a Least Developed Country, this reduction exceeds expectations for both fairness and ambition while contributing towards the achievement of the objective of the Convention.""</p><p>""Ethiopia intends to limit its net greenhouse gas (GHG) emissions in 2030 to 145 Mt CO<sub>2</sub>e or lower. This would constitute a 255 MtCO<sub>2</sub>e reduction from the projected &lsquo;business-as- usual&rsquo; (BAU) emissions in 2030 or a 64% reduction from the BAU scenario in 2030.""</p> <p>""The emissions reduction, which constitutes a reduction of 255 MtCO<sub>2</sub>e or 64% compared to &lsquo;business-as-usual&rsquo; (BAU) emissions in 2030, includes 90 Mt CO<sub>2</sub>e from agriculture; 130 Mt CO<sub>2</sub>e from forestry; 20 Mt CO<sub>2</sub>e from industry; 10 Mt CO<sub>2</sub>e from transport; and 5 Mt CO<sub>2</sub>e from buildings. This does not include the reduction of 19 Mt CO<sub>2</sub>e in neighbouring countries due to the export of electric power to them from Ethiopia.""</p>",2
"Overview","Description of how it contributes towards achieving the objective of the Convention","<p>""Australia's intended nationally determined contribution is an ambitious, fair and responsible contribution to global efforts toward meeting the objective of the UNFCCC with the goal of limiting global average temperature rise to below two degrees Celsius.""</p> ",2
