"global_category","indicator_name","value","count"
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","0.5 annually",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","EUR 297 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","EUR 53 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","EUR 8 Million|USD 26 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 0.61 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 1.18 Million (First Year)",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 1.36 Million|USD 31.7 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 1.7 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 1023 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 12.4 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 15.397 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 15.8 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 150 Million (to 2025)",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 16.520 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 17.850 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 17.884 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 170 Million (per annum)",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 1919 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 24.831 Million|USD 32.143 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 36.2 Million|USD 15 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 37.179 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 4.26 Million|USD 100 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 46.33 Million|USD 5.47 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 492 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 5 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 512 Million|USD 767 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 7 Million|USD 111 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 799 Million",2
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","$ 21,900 million",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","1.5",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","15.96",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","5.158",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","S$100 billion over 100 years.",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 0.973 Million(Un) + USD 7.773 Million(Con)|USD 0.9997 Million(Un) + USD 6.557 Million(Con)",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 1.6 Million (Un) + USD 1.8 Million(Con)|USD 0.318Million (Un) + USD 1.735 Million(Con)",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 11 Million",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 12.9 Million",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 13 Million (Un) + USD 4.3 Million (Con)",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 167 Million",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 19 Million",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 20 Million",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 231.4 Million",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 263 Million(Un) + USD 8.4 Million (Con)",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 36 Million",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 7 Million (Un) + USD 29 Million(Con)|Not Available",1
"Sectoral Information","Estimated Cost for Sectoral Unconditional Actions","USD 7.8 Million (Un) + USD 3.6 Million(Con)",1
