"global_category","indicator_name","value","count"
"Sectoral Information","Estimated costs for implementation (conditional)","$1000 million",12
"Sectoral Information","Estimated costs for implementation (conditional)","$300 million",4
"Sectoral Information","Estimated costs for implementation (conditional)","$0.63 billion",3
"Sectoral Information","Estimated costs for implementation (conditional)","$0.07 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$0.25 billion Solar Mini-grids | $0.27 billion Solar Nano-grids | $0.10 Pico-solar<br>$0.10 billion<br>$0.27 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$0.3million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$0.54 - $1 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$0.6 million<br>$4.4 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$0.6 million<br>$50 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$0.60 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$1 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$1,000,000+$100,000 (studies)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$1,600 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$1.2 billion<br> $0.6 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$1.2 million<br>$3.3 million<br>$9 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$1.20 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$1.201 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$1.3 billion (2011-30)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$10 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$100,000,000+$10,000,000 (studies)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$11.346 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$12,500,000+$1,250,000 (studies)",2
"Sectoral Information","Estimated costs for implementation (conditional)","$16.5 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$2 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$2,000 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$2,330 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$2.214 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$2.3 million",2
"Sectoral Information","Estimated costs for implementation (conditional)","$2.65 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$2.7 billion",2
"Sectoral Information","Estimated costs for implementation (conditional)","$2.7 million<br>$1 million",2
