"global_category","indicator_name","value","count"
"Mitigation","Estimated costs of unconditional part","n/a",371
"Mitigation","Estimated costs of unconditional part","Not Specified",13
"Mitigation","Estimated costs of unconditional part","$0.226 billion",2
"Mitigation","Estimated costs of unconditional part","$0.523302394 billion",2
"Mitigation","Estimated costs of unconditional part","$0.542 billion",2
"Mitigation","Estimated costs of unconditional part","$0.830 billion",2
"Mitigation","Estimated costs of unconditional part","$1.084919161 billion",2
"Mitigation","Estimated costs of unconditional part","$1.1 Billion",2
"Mitigation","Estimated costs of unconditional part","4% from national financial sources",2
"Mitigation","Estimated costs of unconditional part","70% of total costs",2
"Mitigation","Estimated costs of unconditional part","around 10% of the total mitigation investment needs: $1.75 billion",2
"Mitigation","Estimated costs of unconditional part","""The resource requirements estimates mitigation activities for the period 2020 to 2030 are estimated at USD 17, 725 Million. Subject to national circumstances, Kenya intends to bear 21% (3,725 Million USD) of the mitigation cost from domestic sources""",1
"Mitigation","Estimated costs of unconditional part","""To achieve the goal of reducing emissions by 9% by 2030 compared to the BAU scenario an initial investment of about USD 24.7 billion is required""",1
"Mitigation","Estimated costs of unconditional part","$0.393 billion",1
"Mitigation","Estimated costs of unconditional part","$1.2 billion",1
"Mitigation","Estimated costs of unconditional part","$1.8 billion",1
"Mitigation","Estimated costs of unconditional part","$17.5 billion",1
"Mitigation","Estimated costs of unconditional part","$2.13524 billion",1
"Mitigation","Estimated costs of unconditional part","$26 billion",1
"Mitigation","Estimated costs of unconditional part","$5.202 billion",1
"Mitigation","Estimated costs of unconditional part","0.27 billion US$",1
"Mitigation","Estimated costs of unconditional part","Not specified",1
