"global_category","indicator_name","value","count"
"Sectoral Information","Estimated total costs for implementation","$1000 million",8
"Sectoral Information","Estimated total costs for implementation","cost for each project is listed",8
"Sectoral Information","Estimated total costs for implementation","$0.35 billion",4
"Sectoral Information","Estimated total costs for implementation","$1 billion",4
"Sectoral Information","Estimated total costs for implementation","$30 million",4
"Sectoral Information","Estimated total costs for implementation","$300 million",4
"Sectoral Information","Estimated total costs for implementation","$40 million",4
"Sectoral Information","Estimated total costs for implementation","$5 billion",4
"Sectoral Information","Estimated total costs for implementation","$500 million",4
"Sectoral Information","Estimated total costs for implementation","$70 million",4
"Sectoral Information","Estimated total costs for implementation","$0.63 billion",3
"Sectoral Information","Estimated total costs for implementation","$10 million",3
"Sectoral Information","Estimated total costs for implementation","18",3
"Sectoral Information","Estimated total costs for implementation","200",3
"Sectoral Information","Estimated total costs for implementation","$ 1,479 million",2
"Sectoral Information","Estimated total costs for implementation","$0.006 billion",2
"Sectoral Information","Estimated total costs for implementation","$0.07 billion per year",2
"Sectoral Information","Estimated total costs for implementation","$0.07 million",2
"Sectoral Information","Estimated total costs for implementation","$0.1 billion",2
"Sectoral Information","Estimated total costs for implementation","$0.12 billion per year",2
"Sectoral Information","Estimated total costs for implementation","$0.25 billion<br>$0.10 billion<br>$0.27 billion",2
"Sectoral Information","Estimated total costs for implementation","$0.3million",2
"Sectoral Information","Estimated total costs for implementation","$0.45 billion",2
"Sectoral Information","Estimated total costs for implementation","$0.5 billion",2
"Sectoral Information","Estimated total costs for implementation","$0.54 - $1 billion",2
"Sectoral Information","Estimated total costs for implementation","$0.6 million<br>$4.4 million",2
"Sectoral Information","Estimated total costs for implementation","$0.6 million<br>$50 million",2
"Sectoral Information","Estimated total costs for implementation","$0.60 billion",2
"Sectoral Information","Estimated total costs for implementation","$0.93 billion",2
"Sectoral Information","Estimated total costs for implementation","$1 million",2
"Sectoral Information","Estimated total costs for implementation","$1,600 million",2
"Sectoral Information","Estimated total costs for implementation","$1.05 billion",2
"Sectoral Information","Estimated total costs for implementation","$1.106 billion",2
"Sectoral Information","Estimated total costs for implementation","$1.108333 million",2
"Sectoral Information","Estimated total costs for implementation","$1.2 billion<br> $0.6 billion",2
"Sectoral Information","Estimated total costs for implementation","$1.2 million<br>$3.3 million<br>$9 million",2
"Sectoral Information","Estimated total costs for implementation","$1.20 billion",2
"Sectoral Information","Estimated total costs for implementation","$1.23 billion",2
"Sectoral Information","Estimated total costs for implementation","$1.3 billion (2011-30)",2
"Sectoral Information","Estimated total costs for implementation","$1.5 billion",2
"Sectoral Information","Estimated total costs for implementation","$1.7 billion",2
"Sectoral Information","Estimated total costs for implementation","$100,000,000+$10,000,000 (studies)",2
"Sectoral Information","Estimated total costs for implementation","$11.346 billion",2
"Sectoral Information","Estimated total costs for implementation","$120 million",2
"Sectoral Information","Estimated total costs for implementation","$140 million",2
"Sectoral Information","Estimated total costs for implementation","$150 million",2
"Sectoral Information","Estimated total costs for implementation","$16.5 billion",2
"Sectoral Information","Estimated total costs for implementation","$160 million",2
"Sectoral Information","Estimated total costs for implementation","$167 million (initial cost $52 million, maintanence $115 million",2
"Sectoral Information","Estimated total costs for implementation","$2 billion",2
"Sectoral Information","Estimated total costs for implementation","$2,000 million",2
"Sectoral Information","Estimated total costs for implementation","$2,330 million",2
"Sectoral Information","Estimated total costs for implementation","$2.214 billion",2
"Sectoral Information","Estimated total costs for implementation","$2.3 million",2
"Sectoral Information","Estimated total costs for implementation","$2.65 billion",2
"Sectoral Information","Estimated total costs for implementation","$2.7 billion",2
"Sectoral Information","Estimated total costs for implementation","$2.7 million<br>$1 million",2
"Sectoral Information","Estimated total costs for implementation","$2.9 billion",2
"Sectoral Information","Estimated total costs for implementation","$200 million by 2020 | $500 million between 2020 and 2030",2
"Sectoral Information","Estimated total costs for implementation","$2040 billion FCFA",2
"Sectoral Information","Estimated total costs for implementation","$23.671 million",2
"Sectoral Information","Estimated total costs for implementation","$25 million",2
"Sectoral Information","Estimated total costs for implementation","$25,000,000+$2,500,000 (studies)",2
