"global_category","indicator_name","value","count"
"Sectoral Information","Existing sectoral policies","National Energy Policy",8
"Sectoral Information","Existing sectoral policies","Clean Air Act",6
"Sectoral Information","Existing sectoral policies","National Energy Policy (2013) ",6
"Sectoral Information","Existing sectoral policies","The Effort Sharing Regulation (ESR) regulates emissions from transport, agriculture, buildings and waste management and emissions from industry and petroleum not covered by the ETS.",6
"Sectoral Information","Existing sectoral policies","National Energy Policy (KEN) 2014 | Electricity Supply Business Plan (RUPTL) 2016-2025 | National Energy Plan (RUEN) 2016",5
"Sectoral Information","Existing sectoral policies","National Rural and Renewable Energy Programme",5
"Sectoral Information","Existing sectoral policies","Bangladesh Energy Efficiency and Conservation Master plan",4
"Sectoral Information","Existing sectoral policies","Climate Change Action Plan for Manufacturing Industry and Energy Sectors (2014-2018)",4
"Sectoral Information","Existing sectoral policies","Green Cooling Africa Initiative, National ODS phase-out programme, Management of ODS and product regulation, 2005",4
"Sectoral Information","Existing sectoral policies","Ia Politique nationale de l'energie et des strategies",4
"Sectoral Information","Existing sectoral policies","Kingdom of Bahrain Energy Efficiency Programme ((public, residential and commercial buildings and the industrial sector)",4
"Sectoral Information","Existing sectoral policies","la Politique Nationale de Protection de l'Environnement  | la Politique Nationale Forestière  | la Politique Nationale des Changements Climatiques, sa stratégie et son plan d'action  | Les Plans quinquennaux de reboisement | La Stratégie Nationale de la diversité biologique  | La Stratégie Nationale de gestion des aires protégées  | la Grande Muraille Verte  | le Mécanisme de Développement Propre.",4
"Sectoral Information","Existing sectoral policies","National Energy Strategy",4
"Sectoral Information","Existing sectoral policies","National Sustainable Energy Policy, National Sustainable Energy Framework",4
"Sectoral Information","Existing sectoral policies","Waste Management Roadmap",4
"Sectoral Information","Existing sectoral policies","National Forestry Policy",3
"Sectoral Information","Existing sectoral policies","RKTN (Rencana Kehutanan Tingkat Nasional 2011-2030/National Forestry Plan 2011-2030) | Industri Minyak Sawit Indonesia Menuju 100 Tahun NKRI/Indonesian Oil Palm Industry toward 100 year (GAPKI) | The Roadmap of Indonesia’s Forest Business Association (APHI) 2050 | Strategic Plan for Plantation/estate crops (including scenario for livestock) | Introduction Study on RPJMN 2015-2019 (BAPPENAS, 2013)",3
"Sectoral Information","Existing sectoral policies","the Forest Law | Forestry and Environmental Management Guidelines",3
"Sectoral Information","Existing sectoral policies","100 billion kWh efficient lighting annually; energy efficiency standards and labelling; Partial Risk Guarantee Fund; Venture Capital Fund for energy efficiency; SME clusters for energy efficiency",2
"Sectoral Information","Existing sectoral policies","2024 Energy Efficiency Plan",2
"Sectoral Information","Existing sectoral policies","“On Supporting the Use of Renewable Energy Sources“ law",2
"Sectoral Information","Existing sectoral policies","Action Plan of Industries Addressing Climate Change (2012-2020)",2
"Sectoral Information","Existing sectoral policies","Agricultural Policy",2
