"global_category","indicator_name","value","count"
"Sectoral Information","Funders for Sectoral Conditional Actions","""The National Strategy on Climate Change has identified financial resources that can be mobilized for climate change mitigation and adaptation in Viet Nam, including: (i) Central and local budgets, ODA; (ii) Domestic and international specialised funds related to climate change response support; (iii) Investment capital from the domestic business sector and FDI; and (iv) Investment by individuals and households. In addition to the central/local budgets and ODA, a range of national and international specialised funds can be mobilised for climate change adaptation, such as the Green Climate Fund (GCF), the Global Environment Facility (GEF), the Adaptation Fund (AF) and the Viet Nam Environment Protection Fund. The domestic business sector, FDI, individuals and communities are also vital financial sources for climate change adaptation, improving the efficiency of climate change adaptation measures.""",21
"Sectoral Information","Funders for Sectoral Conditional Actions","""Multilaterals Funds, in particular the Green Climate Fund""",17
"Sectoral Information","Funders for Sectoral Conditional Actions","Least Developed Countries Fund (LDCF), multilateral agencies and bilateral support",7
"Sectoral Information","Funders for Sectoral Conditional Actions","GEF",6
"Sectoral Information","Funders for Sectoral Conditional Actions","PPCR",6
"Sectoral Information","Funders for Sectoral Conditional Actions","World Bank",4
"Sectoral Information","Funders for Sectoral Conditional Actions","ADB and EU",2
"Sectoral Information","Funders for Sectoral Conditional Actions","Already ongoing effort",2
"Sectoral Information","Funders for Sectoral Conditional Actions","Already ongoing effort through several projects",2
"Sectoral Information","Funders for Sectoral Conditional Actions","Climate Change Trust Fund",2
"Sectoral Information","Funders for Sectoral Conditional Actions","Climate Funds",2
"Sectoral Information","Funders for Sectoral Conditional Actions","European Development Fund",2
"Sectoral Information","Funders for Sectoral Conditional Actions","GoJ and external funders",2
"Sectoral Information","Funders for Sectoral Conditional Actions","Prepared in collaboration with other regional governments and the UNEP",2
"Sectoral Information","Funders for Sectoral Conditional Actions","Regional Disaster Vulnerability Reduction (RDVRP) Project 2011-2018",2
"Sectoral Information","Funders for Sectoral Conditional Actions","Sub-Committee of the Pilot Program for Climate Resilience (PPCR)",2
"Sectoral Information","Funders for Sectoral Conditional Actions","TBC",2
"Sectoral Information","Funders for Sectoral Conditional Actions","UNDP, GEF",2
"Sectoral Information","Funders for Sectoral Conditional Actions","UNDP,GEF",1
