"global_category","indicator_name","value","count"
"Mitigation","GHG coverage","CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",126
"Mitigation","GHG coverage","CO2, CH4, N2O",124
"Mitigation","GHG coverage","Not Specified",40
"Mitigation","GHG coverage","CO2, CH4, N2O, HFCs, PFCs, SF6",36
"Mitigation","GHG coverage","CO2",30
"Mitigation","GHG coverage","CO2, CH4",11
"Mitigation","GHG coverage","CO2, CH4, N2O, HFCs",10
"Mitigation","GHG coverage","CO2, N2O, CH4",7
"Mitigation","GHG coverage","CO2, CH4, NOx",4
"Mitigation","GHG coverage","CO2, CH4, N2O, HFCs, PFCs",3
"Mitigation","GHG coverage","CO2, CH4, N2O, HFCs, PFCs, SF6 and NF3",3
"Mitigation","GHG coverage","All Greenhouse Gases",2
"Mitigation","GHG coverage","CO2 (all targeted sectors), CH4 (indigenous oil and gas sector)",2
"Mitigation","GHG coverage","CO2, CH4, N2O, (more GHG may be included in the future)",2
"Mitigation","GHG coverage","CO2, CH4, N2O, HCFCs, PFCs",2
"Mitigation","GHG coverage","CO2, CH4, N2O, HFC-22, HFC-410",2
"Mitigation","GHG coverage","CO2, CH4, N2O, HFC, CF4",2
"Mitigation","GHG coverage","CO2, CH4, N2O, HFC, SF6",2
"Mitigation","GHG coverage","CO2, CH4, N2O, HFCs, PFCs, SF6 and black carbon",2
"Mitigation","GHG coverage","CO2, CH4, N2O, NOX, CO",2
"Mitigation","GHG coverage","CO2, CH4, N2O, NOx, PFCs, HFCs, SF6, NF3",2
"Mitigation","GHG coverage","CO2, CH4, N2O, SF6",2
"Mitigation","GHG coverage","CO2, CH4, N2O, SF6, PFCs, HFCs",2
"Mitigation","GHG coverage","CO2, CH4, N2O, SO2, NOx, CO, NMVOCs",2
"Mitigation","GHG coverage","CO2, Short Lived Climate Forces (SLCF)",2
"Mitigation","GHG coverage","CO2,CH4, N2O, HFCs",2
"Mitigation","GHG coverage","CO2,CH4,N2O",2
"Mitigation","GHG coverage","""The gases covered are: carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) and sulfur hexafluoride (SF6), carbon monoxide (CO), nitrogen oxides (NOx), volatile hydrocarbons other than methane (NMVOC) and sulfur dioxide (SO2).""<br>""Additionally, black carbon is included.""<br>""All gases covered by the corresponding National Inventory of Greenhouse Gas Emissions""",1
"Mitigation","GHG coverage","Carbon dioxide (CO2); Methane (CH4); Nitrous oxide (N2O)",1
"Mitigation","GHG coverage","CO2 (including indirect CO2), CH4, N2O, HFCs, PFCs, SF6, NF3",1
"Mitigation","GHG coverage","CO2, CH4 and N2O",1
"Mitigation","GHG coverage","CO2, CH4,  N2O, HFCs, PFC, SF6",1
"Mitigation","GHG coverage","CO2, CH4, F-gases",1
"Mitigation","GHG coverage","CO2, CH4, N2O and HFCs",1
"Mitigation","GHG coverage","CO2, CH4, N2O, CO, SO2, NMVOC, NOx",1
"Mitigation","GHG coverage","CO2, CH4, N2O, HFC, PFC, SF6",1
"Mitigation","GHG coverage","CO2, CH4, N2O, HFC, PFC, SF6, NF3",1
"Mitigation","GHG coverage","CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, Black carbon",1
"Mitigation","GHG coverage","CO2, CH4, N2O, HFCs, SF6",1
"Mitigation","GHG coverage","CO2, CH4, N2O, PFCs",1
"Mitigation","GHG coverage","CO2, CH4, N2O, PFCs, HFCs",1
"Mitigation","GHG coverage","CO2, CH4, NO2",1
"Mitigation","GHG coverage","CO2, N2O, CH4, HFCs",1
"Mitigation","GHG coverage","CO2,N2O,CH4",1
"Mitigation","GHG coverage","CO2; CH4; N2O",1
"Mitigation","GHG coverage","CO2; CH4; N2O; PFCs; HFCs; SF6",1
"Mitigation","GHG coverage","No Document Submitted",1
