"global_category","indicator_name","value","count"
"Overview","GHG target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990",58
"Overview","GHG target","Not Applicable",32
"Overview","GHG target","At least 55% reduction in greenhouse gas emissions by 2030 compared to 1990.<br>The following information in this section is subject to revision in light of the enhanced target.<br>“The respective emissions reductions in force at time of this submission are as follows:<br>-Under Directive (EU) 2018/410 the EU Emissions Trading System: EU will reduce its emissions from the sectors covered by this legislation by 43% from 2005 levels by 2030; <br>-Under Regulation (EU) 2018/842, each EU Member State will reduce its emissions from sectors outside the EU ETS from 2005 levels by 2030 in accordance with the following percentage: Belgium 35%, Bulgaria 0%, Czech Republic 14%, Denmark 39%, Germany 38%, Estonia 13%, Ireland 30%, Greece 16%, Spain 26%, France 37%, Croatia 7%, Italy 33%, Cyprus 24%, Latvia 6%, Lithuania 9%, Luxembourg 40%, Hungary 7%, Malta 19%, Netherlands 36%, Austria 36%, Poland 7%, Portugal 17%, Romania 2%, Slovenia 15%, Slovakia 12%, Finland 39%, Sweden 40%.""",28
"Overview","GHG target","20% (unconditional) to 30% (conditional) reduction in GHG emissions by 2030 compared to the BAU scenario",4
"Overview","GHG target","40% reduction in GHG emissions by 2030 compared to 1990",4
"Overview","GHG target","15% reduction in GHG emissions by 2030 compared to the BAU scenario",3
"Overview","GHG target","20% (unconditional) up to 25% (conditional) reduction in GHG emissions by 2030 compared to the BAU scenario",3
"Overview","GHG target","26% reduction in GHG emissions by fiscal year (FY) 2030 compared to FY 2013, or 25.4% reduction compared to FY 2005, equivalent to approximately 1.042 billion t-CO2eq in 2030",3
"Overview","GHG target","5% (unconditional) to 15% (conditional) reduction in GHG emissions by 2030 compared to the BAU levels",3
"Overview","GHG target","10% (unconditional) to 20% (conditional) reduction in GHG emissions by 2030 relative to projected emissions",2
"Overview","GHG target","10% (unconditional) up to 24% (conditional) reduction in GHG emissions for the year 2030 compared to the BAU scenario",2
"Overview","GHG target","100% reduction (ie almost zero emissions) in GHG emissions from the electricity generation by 2025; 60% reduction in GHG emissions from the entire energy sector by 2025 compared to 2010",2
"Overview","GHG target","11.14% (unconditional) and 31.14% (conditional) reduction in GHG emissions by 2030 compared to the baseline scenario",2
"Overview","GHG target","11.2% (unconditional) to 22.6% (conditional) reduction in GHG emission by 2030 compared to the BAU scenario",2
"Overview","GHG target","11.49 - 13.75% (unconditional) and 29.00 - 30.89% (conditional) reduction in GHG emissions by 2030 compared to the BAU scenario; 12.67 - 15.69% (unconditional) and 35.06 - 36.75% (conditional) reduction in GHG emissions by 2050 compared to the BAU scenario.",2
"Overview","GHG target","12% (unconditional) to 27% (conditional) reduction by 2025, 30% (unconditional) to 45% (conditional) reduction by 2030, and more than 50% (conditional) reduction by 2050 in GHG emissions compared to the BAU projection",2
"Overview","GHG target","122.5 KtCO2e (or 21.4%) reduction in 2025 and 188 ktCO2e (or 29.0%) reduction in 2030 in GHG emissions compared to baseline projections",2
"Overview","GHG target","13% (unconditional) to 41% (conditional) reduction in carbon intensity by 2030 compared to 2010",2
"Overview","GHG target","13% reduction in GHG emissions by 2030 compared to 1994, excluding Land-Use Change and Forestry (LUCF)",2
