"global_category","indicator_name","value","count"
"Mitigation, Overview","GHG target type","Baseline scenario target",160
"Mitigation, Overview","GHG target type","Base year target",108
"Mitigation, Overview","GHG target type","Base year target (""Absolute reduction from base year emissions"")",58
"Mitigation, Overview","GHG target type","Not Applicable",40
"Overview","GHG target type","Not Applicable",39
"Overview","GHG target type","Base year target",18
"Mitigation, Overview","GHG target type","Fixed level target",15
"Mitigation, Overview","GHG target type","Intensity target",15
"Overview","GHG target type","Baseline scenario target",11
"Mitigation, Overview","GHG target type","Intensity target, Trajectory target",4
"Mitigation, Overview","GHG target type","Trajectory target",4
"Mitigation, Overview","GHG target type","Base year target (""Absolute economy-wide emission reduction target (excluding LULUCF)"")",3
"Mitigation, Overview","GHG target type","Baseline scenario target (""Emissions reduction relative to a baseline""), also implies a trajectory target and intensity target.",3
"Overview","GHG target type","Fixed level target",3
"Mitigation, Overview","GHG target type","Base year target (""Absolute emission reduction from base year emissions"")",2
"Mitigation, Overview","GHG target type","Base year target (""Absolute reduction from base-year emissions"")",2
"Mitigation, Overview","GHG target type","Baseline scenario target (""R&eacute;duction par rapport &agrave; un sc&eacute;nario de d&eacute;veloppement non ma&icirc;tris&eacute;"", Emissions reduction relative to a baseline)",2
"Mitigation, Overview","GHG target type","Baseline scenario target, also stated as a base year target.",2
"Mitigation, Overview","GHG target type","Baseline scenario target, also stated as a base year target.<br>""Absolute economy-wide emission reduction contribution (against BAU and base year)""",2
"Mitigation, Overview","GHG target type","Baseline scenario target<br>""R&eacute;duction absolue par rapport aux &eacute;missions non absorb&eacute;es du sc&eacute;nario Business as usual, d&eacute;finies sur la base du Premier rapport bisannuel de l&rsquo;Andorre &agrave; la Convention cadre de Nations unies sur les changements climatiques (2014).""<br />Absolute reduction from the unabsorbed emissions of the business-as-usual scenario, defined on the basis of the First Biennial Report of Andorra to the United Nations Framework Convention on Climate Change (2014).",2
"Overview","GHG target type","Intensity target",2
"Mitigation, Overview","GHG target type","Base year target also framed as emissions budget",1
"Mitigation, Overview","GHG target type","Fixed level target and trajectory target",1
"Mitigation, Overview","GHG target type","Multiple target types",1
"Mitigation, Overview","GHG target type","No Document Submitted",1
"Mitigation, Overview","GHG target type","Uruguay has outlined 8 intensity targets and 1 fixed level target.",1
