"global_category","indicator_name","value","count"
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","INDC implementation will be taken forward by existing governance arrangements under the BCCSAP, with coordination being managed by the climate change secretariat in the Ministry of Environment and Forests, reporting to the Advisory Committee and the National Environment Committee (chaired by the Prime Minister)",58
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","INDC Preparation Team",18
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Health, Wellness and Environment will be responsible for facilitating multilateral dialogue on climate change issues as well as overseeing implementation of the INDC",16
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","The implementation process is still under discussion to ensure that there is highest participation and ownership from the key actors.",10
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Health, Wellness and Environment",6
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Somalia Federal Government (SFG) Ministry of State for Environment",6
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Environment, Climate Change, Disaster Management and Meteorology (MECDM)",4
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Works, Municipalities Affairs and Urban Planning",4
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Water Secretariat (SENAGUA)",4
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Department of Climate Change, Environment and Development",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","GoJ and strategic partners, mainly RSCN, Royal Botanic Garden, and IUCN-ROWA",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","International Union for Conservation of Nature",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Electricity and Water",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Sustainable Development",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Transportation and Communications",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Works",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Planning Institute of Jamaica, a statutory body under the Ministry of Finance & Planning, and the Ministry of Water, Land, Environment & Climate Change",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","The National Water Resources Council",2
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Environment (MAE)",1
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Public Health (MSP)",1
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Transportation and Public Works (MTOP)",1
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","Ministry of Urban Development and Housing (MIDUVI) | Ministry of Agriculture and Livestock (MAG)",1
"Sectoral Information","Implementing Agency for Sectoral Conditonal Actions","The Climate Change Management Division in the Ministry of Population and Environment | REDD Implementation Centre under the Ministry of Forests and Soil Conservation<br>The National Planning Commission and relevant ministries",1
