"global_category","indicator_name","value","count","Not Specified","Not Specified ","Not Applicable","Not Specfied","Not specified ","Switzerland will realize its INDC mainly domestically and will partly use carbon credits from international mechanisms.","""Switzerland will realize its NDC mainly domestically and will partly use internationally transferred mitigation outcomes (ITMOs) from cooperation under Article 6.""<br>""The third CO2 Act foresees that at least three quarters (75 percent) of the reduction in greenhouse gas emissions must be achieved through measures implemented in Switzerland"," up from a previous 60 percent objective. This represents a 25 percent increase of the domestic share of emission reductions.""","<p><span style=""text-decoration: underline;"">In the case of collective delivery with the EU:</span> Not specified in the case of EU ETS. Not applicable for other international market mechanisms"," as they will not be used.&nbsp;</p> <p><span style=""text-decoration: underline;"">In the case of an individual commitment:</span> Not specified</p>","<p><span style=""text-decoration: underline;"">In the case of collective delivery with the EU:</span> Not specified in the case of EU ETS. Not Applicablefor other international market mechanisms","<p>In meeting its target New Zealand intends to use international market mechanisms"," cooperative approaches and carbon markets that enable trading and use of a wide variety of units/emission reductions/mitigation outcomes that meet reasonable standards and guidelines to:</p><ul><li>ensure the environmental integrity of emissions reductions generated or purchased</li><li>guard against double-claiming/double-counting"," and</li><li>ensure transparency in accounting and governance.</li></ul>","Not specified","Not Specified.","Not Specified. ""Any transfer of units from mitigation results obtained in the Brazilian territory within the framework of the UNFCCC"," the Kyoto Protocol or the Paris Agreement will be contingent on prior and formal consent by the Brazilian Federal Government.""","Not Specified.<br>""However"," due to lack of agreed rules at the time of this submission"," the level of participation for achievement of the NDC target is not determined.""","The EU Emission Trading System (ETS) regulates emissions from industrial plants"," power plants"," the petroleum industry and commercial aviation within the European Economic Area. About half of Norwegian greenhouse gas emissions are covered by the ETS. Norway has been a part of the ETS since 2008 on the same terms as EU Member States.","GlobalScore"
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified",301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified ",17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Applicable",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specfied",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not specified ",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Switzerland will realize its INDC mainly domestically and will partly use carbon credits from international mechanisms.",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","""Switzerland will realize its NDC mainly domestically and will partly use internationally transferred mitigation outcomes (ITMOs) from cooperation under Article 6.""<br>""The third CO2 Act foresees that at least three quarters (75 percent) of the reduction in greenhouse gas emissions must be achieved through measures implemented in Switzerland, up from a previous 60 percent objective. This represents a 25 percent increase of the domestic share of emission reductions.""",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","<p><span style=""text-decoration: underline;"">In the case of collective delivery with the EU:</span> Not specified in the case of EU ETS. Not applicable for other international market mechanisms, as they will not be used.&nbsp;</p> <p><span style=""text-decoration: underline;"">In the case of an individual commitment:</span> Not specified</p>",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","<p><span style=""text-decoration: underline;"">In the case of collective delivery with the EU:</span> Not specified in the case of EU ETS. Not Applicablefor other international market mechanisms, as they will not be used.&nbsp;</p> <p><span style=""text-decoration: underline;"">In the case of an individual commitment:</span> Not specified</p>",1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
"Mitigation","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","<p>In meeting its target New Zealand intends to use international market mechanisms, cooperative approaches and carbon markets that enable trading and use of a wide variety of units/emission reductions/mitigation outcomes that meet reasonable standards and guidelines to:</p><ul><li>ensure the environmental integrity of emissions reductions generated or purchased</li><li>guard against double-claiming/double-counting, and</li><li>ensure transparency in accounting and governance.</li></ul>",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
