"global_category","indicator_name","value","count","Yes","N/A","Not Specified","Not Specified <br> Although the following action is mentioned as one of the ""twelve discrete steps to the preparation of the adaption action: Increasing stakeholder ownership through wide stakeholder consultations.""","Not Specified but the following is mentioned"," ""Developed through a whole-of-government-and-society approach"," the Philippines’ NDC upholds the importance of meaningful participation of women"," children"," youth"," persons with diverse sexual orientation and gender identity"," differently abled"," indigenous peoples"," elderly"," local communities"," civil society"," faith-based organizations"," and the private sector"," and recognizes the indispensable value of inclusion and collaborative participation of local governments in implementing climate actions.""","Not Specified.<br>The following is mentioned: The updated NDC is “developed synergistically and in collaboration and consultation with industry stakeholders"," academic experts"," local NGO groups"," and technical consultants"," who have also served to provide additional inputs on available and future technologies for long term mitigation and adaptation actions in Fiji.""","Yes.<br>""As the Ministry mandated with the climate change portfolio"," the Ministry of Environment has updated the NDC in consultation with all relevant stakeholders including those in the public and private sector.""","Yes.<br>""In recognition of the importance of local governments’ role in adaptation efforts"," the Korean government made adaptation planning a legal obligation of municipal and local governments in 2012 and 2015"," respectively.""","Yes; ""An adaptation expert meeting comprising ministerial experts"," academia and technical consultants was conducted to assess the enhanced adaptation targets"," and their appropriateness considering Lebanon’s special circumstances.""","Yes<br> “The Intersecretarial Commission on Climate Change (CICC)"," composed of fifteen ministries"," as a space for coordinating the actions of national agencies and entities in relation to climate change; the Council on Climate Change (C3)"," composed of experts from the academic and social sectors who provides recommendations on mitigation and adaptation; the Federal Congress; state governments; and national associations of duly accredited municipal authorities. Several state level"," some states replicate the federal scheme and included an Inter-Ministerial Commission on Climate Change.”","Yes<br>""“Committees or technical working groups have been created in several line ministries to take on the coordination responsibilities for climate change actions within their respective sectors.”","Yes<br>The following text describes general planning process","""Saint Lucia’s National Climate Change Committee (NCCC)"," established in 1998"," has the mandate to provide advice and support to national climate change-related programmes and processes and comprises public"," statutory"," academic and private sector bodies whose work is related to climate change. Saint Lucia is working to strengthen the role of the NCCC and anticipates that the Committee will play a strong role in coordinating and facilitating the implementation of climate change actions"," including that of the NDC.""<br> The following is identified as one of the best practices in preparation of NDC"," “The engagement of stakeholders from public sector"," private sector"," academia and civil society was key to ensuring the interest and buy-in to the NDC process and revised targets. Specific engagement was undertaken with the youth"," who account for a large percentage of the population.”","GlobalScore"
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Yes",149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","N/A",136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Not Specified",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Not Specified <br> Although the following action is mentioned as one of the ""twelve discrete steps to the preparation of the adaption action: Increasing stakeholder ownership through wide stakeholder consultations.""",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Not Specified but the following is mentioned, ""Developed through a whole-of-government-and-society approach, the Philippines’ NDC upholds the importance of meaningful participation of women, children, youth, persons with diverse sexual orientation and gender identity, differently abled, indigenous peoples, elderly, local communities, civil society, faith-based organizations, and the private sector, and recognizes the indispensable value of inclusion and collaborative participation of local governments in implementing climate actions.""",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Not Specified.<br>The following is mentioned: The updated NDC is “developed synergistically and in collaboration and consultation with industry stakeholders, academic experts, local NGO groups, and technical consultants, who have also served to provide additional inputs on available and future technologies for long term mitigation and adaptation actions in Fiji.""",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Yes.<br>""As the Ministry mandated with the climate change portfolio, the Ministry of Environment has updated the NDC in consultation with all relevant stakeholders including those in the public and private sector.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Yes.<br>""In recognition of the importance of local governments’ role in adaptation efforts, the Korean government made adaptation planning a legal obligation of municipal and local governments in 2012 and 2015, respectively.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Yes; ""An adaptation expert meeting comprising ministerial experts, academia and technical consultants was conducted to assess the enhanced adaptation targets, and their appropriateness considering Lebanon’s special circumstances.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Multisectoral Commission Engagement in NDC Planning (Yes/No)","Yes<br> “The Intersecretarial Commission on Climate Change (CICC), composed of fifteen ministries, as a space for coordinating the actions of national agencies and entities in relation to climate change; the Council on Climate Change (C3), composed of experts from the academic and social sectors who provides recommendations on mitigation and adaptation; the Federal Congress; state governments; and national associations of duly accredited municipal authorities. Several state level, some states replicate the federal scheme and included an Inter-Ministerial Commission on Climate Change.”",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
