"global_category","indicator_name","value","count"
"Overview","NDC preparation: stakeholder consultation","Mentioned",156
"Overview","NDC preparation: stakeholder consultation","Not indicated",54
"Overview","NDC preparation: stakeholder consultation","#N/A",28
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector)",9
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector, NGOs)",8
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector, academia)",6
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, NGOs)",6
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, NGOs)",4
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector)",4
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, technical experts)",4
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Industry, academia, technical experts)",4
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Civil society)",3
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Civil society, private sector, academia)",3
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions)",3
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society)",3
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, civil society, private sector, NGOs)",3
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, academia)",3
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Civil society, communities)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Civil society, NGO)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Civil society, policy makers, academia, private sector, development partners)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Civil society, private sector, NGOs)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Civil society, public administration, private sector, experts)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Civil society, public and private sectors)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (e.g. private and public sectors, vulnerable groups, academia, experts, policy-makers)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, academia, economic actors)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, experts)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector, academia, NGOs)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector, academia, NGOs, fiduciary organizations)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, civil society, private sector, development organisations)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector, NGOs, academia, communities)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector, scientific community)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector, technical and financial partners)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, economic actors, academia, NGOs)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, economic actors, general public)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, experts, NGOs)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, international experts)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, academia, communities, NGOs )",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, academia, NGOs )",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, academia, NGOs, international partners)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, academia, scientific community, NGOs )",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, experts, NGOs)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, general public, NGOs)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, research, civil organizations, development partners)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, research institutions, key sectoral stakeholders)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Inter-ministerial/agencies working group)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (National and international experts)",2
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (civil society)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (civil society, private sector, academia)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions , international partners, private sector)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, civil society)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, civil society, economic actors, scientific community)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, economic actors, scientific community)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, civil society, private sector)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, civil society, private sector, technical bodies)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, civil society, private sector, technical bodies)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, experts)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, experts)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, private sector, NGOs)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, private sector, technical bodies, experts)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, private sector, technical bodies, experts)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, public stakeholders)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Government institutions, public stakeholders)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (government institutions, technical experts)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (NGOs, private sector, academia)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned with specific actors (Public and private sectors)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned, and specific actors indicated (ministries and concerned national authorities, sectoral representatives, provinces)",1
"Overview","NDC preparation: stakeholder consultation","Mentioned, and specific actors indicated: public sector, private sector, academia, civil society, international organizations",1
"Overview","NDC preparation: stakeholder consultation","No Document Submitted",1
