"global_category","indicator_name","value","count","global agreement addresses international assistance to access financial and technical resources","""in the event of a failure to conclude the negotiations and regulation of Article 6"," the entire architecture of the Paris Agreement would be seriously jeopardized"," to the detriment of the implementation of its objectives.""","""Out of the mechanisms in place"," potentially in the EU ETS for achieving the conditional target. In future mechanisms depending on the EU accession process and the market mechanism conditions.""<br>""The fulfilment of the foregoing defined and described targets will greatly depend on the development of the situation regarding the COVID-19 virus pandemic"," which can have a significant impact on the entire economy.""","a balanced and ambitious global agreement","A number of further mitigation actions in other sectors which it intends to achieve subject to the provision of additional international resources.","an ambitious multilateral agreement","Conditionality definition | Unconditional: Financing that has been acquired or is being acquired | Conditional: The mitigation projects that have been developed and/or are being developed"," but without any acquired financing","correction to the existing market mechanisms","Establishing strong incentives to harness the power of private sector through market mechanisms | Develop programmes based on the use of Emission Reduction Certificates (ERCs) generated by CDM projects and programs","External assistance to maintain renewable sources at 100% through to 2025 | Economy?wide emissions reduction conditional on external international assistance","If new mechanisms will be implemented under the global agreement"," the emissions intensity per GDP will be reduced by 30% compared to emissions intensity of GDP in 2010 (Article 6 of the Paris Agreement contains the elements to install a new international market mechanism)","Intends to generate compliance grade emission reductions units (market-based) from actions in the waste and energy sectors and REDD+.","international carbon price","Programmes similar to CDM and REDD+ for carbon market mechanisms","the full implementation of developed countries' commitments regarding international suppport | the fulfillment of the 2 degree C goal","""acting jointly with the European Union and its Member States and Norway to achieve this target"," within the framework of their climate cooperation agreement.""","""Adequate and enhanced access to technology development and transfer"," financial resources and capacity building support.""","""contingent upon technical and financial support from the global community""","""decisive multilateral intervention""","""In the event that Kenya's enhanced NDC Target is exceeded"," Kenya intends to use the both market and non-market provisions mechanisms provisions of Article 6 of the Paris Agreement"," based on domestic legislation developed.""","""Saint Lucia anticipates implementing the NDC through access to financial and technological multilateral and bilateral support.""","""The implementation of the mitigation commitments shall be undertaken through bilateral"," regional and multilateral cooperation. In addition"," the benefits of market and non-market mechanisms under Article 6 of the Paris Agreement shall continue to be explored"," consistent with national circumstances and sustainable development aspirations.""","a global agreement (Paris Agreement)","Accessing new sources of finance and increased support compared to what was received in previous years to be mobilized through new financial mechanisms such as the Green Climate Fund","n/a","national development"," peace"," security","Please visit Appendix 1 for specific condition for each mitigation action","GlobalScore"
"Mitigation","Other conditions","global agreement addresses international assistance to access financial and technical resources",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","""in the event of a failure to conclude the negotiations and regulation of Article 6, the entire architecture of the Paris Agreement would be seriously jeopardized, to the detriment of the implementation of its objectives.""",2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Other conditions","""Out of the mechanisms in place, potentially in the EU ETS for achieving the conditional target. In future mechanisms depending on the EU accession process and the market mechanism conditions.""<br>""The fulfilment of the foregoing defined and described targets will greatly depend on the development of the situation regarding the COVID-19 virus pandemic, which can have a significant impact on the entire economy.""",2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Other conditions","a balanced and ambitious global agreement",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","A number of further mitigation actions in other sectors which it intends to achieve subject to the provision of additional international resources.",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","an ambitious multilateral agreement",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","Conditionality definition | Unconditional: Financing that has been acquired or is being acquired | Conditional: The mitigation projects that have been developed and/or are being developed, but without any acquired financing",2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Other conditions","correction to the existing market mechanisms",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","Establishing strong incentives to harness the power of private sector through market mechanisms | Develop programmes based on the use of Emission Reduction Certificates (ERCs) generated by CDM projects and programs",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","External assistance to maintain renewable sources at 100% through to 2025 | Economy?wide emissions reduction conditional on external international assistance",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","If new mechanisms will be implemented under the global agreement, the emissions intensity per GDP will be reduced by 30% compared to emissions intensity of GDP in 2010 (Article 6 of the Paris Agreement contains the elements to install a new international market mechanism)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Other conditions","Intends to generate compliance grade emission reductions units (market-based) from actions in the waste and energy sectors and REDD+.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","international carbon price",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","Programmes similar to CDM and REDD+ for carbon market mechanisms",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","the full implementation of developed countries' commitments regarding international suppport | the fulfillment of the 2 degree C goal",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","""acting jointly with the European Union and its Member States and Norway to achieve this target, within the framework of their climate cooperation agreement.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Other conditions","""Adequate and enhanced access to technology development and transfer, financial resources and capacity building support.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Other conditions","""contingent upon technical and financial support from the global community""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","""decisive multilateral intervention""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","""In the event that Kenya's enhanced NDC Target is exceeded, Kenya intends to use the both market and non-market provisions mechanisms provisions of Article 6 of the Paris Agreement, based on domestic legislation developed.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Other conditions","""Saint Lucia anticipates implementing the NDC through access to financial and technological multilateral and bilateral support.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Other conditions","""The implementation of the mitigation commitments shall be undertaken through bilateral, regional and multilateral cooperation. In addition, the benefits of market and non-market mechanisms under Article 6 of the Paris Agreement shall continue to be explored, consistent with national circumstances and sustainable development aspirations.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4
"Mitigation","Other conditions","a global agreement (Paris Agreement)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Mitigation","Other conditions","Accessing new sources of finance and increased support compared to what was received in previous years to be mobilized through new financial mechanisms such as the Green Climate Fund",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Mitigation","Other conditions","n/a",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Mitigation","Other conditions","national development, peace, security",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3
"Mitigation","Other conditions","Please visit Appendix 1 for specific condition for each mitigation action",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
