"global_category","indicator_name","value","count"
"Overview","Potential financing sources identified in NDC","n/a",266
"Overview","Potential financing sources identified in NDC","Green Climate Fund",7
"Overview","Potential financing sources identified in NDC","Not Specified",7
"Overview","Potential financing sources identified in NDC","GCF",6
"Overview","Potential financing sources identified in NDC","Green Climate Fund (GCF)",4
"Overview","Potential financing sources identified in NDC","$33 billion from international support (both adaptation and mitigation)",2
"Overview","Potential financing sources identified in NDC","A cross-sectional National Finance Strategy for Climate Change",2
"Overview","Potential financing sources identified in NDC","Amongst other international financing mechanism, the Clean Development Mechanism, new market and non-market based mechanisms, and credited NAMAs",2
"Overview","Potential financing sources identified in NDC","Bilateral and multilateral financial institutions, UNFCCC financial mechanisms (GCF, adaptation funds, GEF) and the private sector",2
"Overview","Potential financing sources identified in NDC","Concessional lines of credit, donations, direct investment, integration into carbon markets",2
"Overview","Potential financing sources identified in NDC","Creen Climate Fund, multilater agencies and bilateral agrrangements with development partners",2
"Overview","Potential financing sources identified in NDC","Domestic sources: 1 National Budget $1.4 billion | 2 Corporate Social Responsibility - $1.7 billion | 3 Commercial facilities - $3.2 billion | International sources: 4 Green climate fund - $5.0 billion | 5 Other multilateral funds - $1.1 billion | 6 Bilateral agreements - $2.8 billion | 7 Private capital investment - $3.8 billion | 8 International carbon market - $3.6 billion",2
"Overview","Potential financing sources identified in NDC","Domestic: climate revolving civil fund | international: GCF, Adaptation Fund, Global Environmental Facility, bilateral and multilateral funds",2
"Overview","Potential financing sources identified in NDC","Financial mechanisms of the Convention, other non-Convention financial and investments sources, as well as international, national and other financial sources",2
"Overview","Potential financing sources identified in NDC","GCF, Adaptation Fund, bi- and multilateral development funds, REDD+ mechanism",2
"Overview","Potential financing sources identified in NDC","GCF, TEC, CTCN (p. 8)",2
"Overview","Potential financing sources identified in NDC","GEF",2
"Overview","Potential financing sources identified in NDC","GEF (LDCF/STAR)",2
"Overview","Potential financing sources identified in NDC","GEF, GCF, EU pre-accession funds, favourable loans from financial institutions",2
"Overview","Potential financing sources identified in NDC","Green Climate Fund (GCF) and other | National Climate Change Fund (NCCF)",2
"Overview","Potential financing sources identified in NDC","Green Climate Fund (GCF), Global Environment Facility (GEF), Adaptation Fund | National Climate Finance Institution: National Climate Change Trust Fund",2
"Overview","Potential financing sources identified in NDC","Green Climate Fund (GCF), World Bank, European Union, GEF, UNDP, UNEP, ADB, IDB, BOAD, ECOWAS, WAEMU | Contribution from the private sector (almost 50%)",2
"Overview","Potential financing sources identified in NDC","Green Climate Fund and others | government?s own resources and public development aid",2
"Overview","Potential financing sources identified in NDC","Green Climate Fund, Adaptation Fund, Climate Technology Centre and Network Global Environment Facility",2
"Overview","Potential financing sources identified in NDC","Green Climate Fund, the Global Environmental Facility, etc.",2
"Overview","Potential financing sources identified in NDC","Green Climate Fund, World Bank, IFC, AfDB",2
"Overview","Potential financing sources identified in NDC","Inclusion of international market instruments, such as the Clean Development Mechanism",2
"Overview","Potential financing sources identified in NDC","International and domestic private investors | Green Climate Fund (GCF) | International Development Finance institutions | International carbon markets | National budget | Private finance",2
"Overview","Potential financing sources identified in NDC","International climate mechanisms",2
"Overview","Potential financing sources identified in NDC","International financial support,  domestic budgetary support, innovative application of funds and new investment and financing mechanisms for low-carbon development.",2
"Overview","Potential financing sources identified in NDC","Mobilize funds from the private sector, bilateral and multilateral sources and all other sources, mechanisms and instruments",2
"Overview","Potential financing sources identified in NDC","National Budget and proposed National Climate Fund, financial mechanism of the Convention, bilateral and multilateral sources (incl. GCF and GEF), other non-Convention financial and investments sources, private finance sources.",2
"Overview","Potential financing sources identified in NDC","National Focal Point for Green Climate Fund (Domestic),  Green Climate Fund(GEF),  Adaptation Fund (AF) and Least Developed Countries Fund (LDCF)",2
"Overview","Potential financing sources identified in NDC","National Forestry Fund and an Environmental Protection Fund | GEF, French Development Agency (AFD), World Bank | private sector",2
"Overview","Potential financing sources identified in NDC","National fund: Climate Resilient Green Economy Facility (CRGE Facility), bilateral and multilateral development partners",2
"Overview","Potential financing sources identified in NDC","Sierra Leone Climate Fund (SLCF) | Domestic Climate Finance | International (Bilateral and Multilateral) Climate Finance | Private and Market Climate Finance",2
"Overview","Potential financing sources identified in NDC","Support from the UNFCCC, GEF, GCF and other international institutions to finance and implement LEDS economy-wide, Funding for R&D activities.",2
"Overview","Potential financing sources identified in NDC","""Armenia seeks to develop a debt-for-climate innovative financial swap mechanism, which aims at leveraging additional finance into climate action and suggests innovating not only the technical aspects of the debt-for-climate transaction, but the prioritization and value of commitments undertaken by countries across the world on a bilateral and multilateral level.""",1
