"global_category","indicator_name","value","count","N/A","Yes","Not Specified","Not Specified <br> Although the following action is mentioned as one of the ""twelve discrete steps to the preparation of the adaption action: Increasing stakeholder ownership through wide stakeholder consultations.""","Yes.<br>""As the Ministry mandated with the climate change portfolio"," the Ministry of Environment has updated the NDC in consultation with all relevant stakeholders including those in the public and private sector.""","Yes.<br>""This product is a result of extensive consultations with stakeholders from the relevant government agencies"," civil society institutions and the private sector.""","Yes.<br>""To collect broader inputs from the private sector in drawing up the target"," the Post-2020 Public-Private Joint Commission was formed.""","Yes; The following text is part of the planning process:<br> ""A Non-State Actors (NSA) consultation meeting which included academic experts"," youth"," the private sector and civil society organizations was also organized to ensure their participation in defining the 2020 NDC update.""","Yes<br>""The NDC recognizes the private sector as the country’s main engine of economic growth and transformation"," and promotes its full engagement in climate change adaptation and mitigation.""","Yes<br>“A private sector event included the participation of stakeholders from a range of different sectors"," and local communities and indigenous peoples were engaged in the process.”","Yes<br>“The NDC is strengthened by incorporating the results of a nationwide participatory process"," which considered all three orders of government"," specialists"," scholars"," productive sectors"," social organizations"," youth and the public.”<br>” During this NDC’s update"," government agencies and state governments were involved"," along with the private sector and social organizations.”","Yes<br>The following text describes general planning process","""Saint Lucia’s National Climate Change Committee (NCCC)"," established in 1998"," has the mandate to provide advice and support to national climate change-related programmes and processes and comprises public"," statutory"," academic and private sector bodies whose work is related to climate change. Saint Lucia is working to strengthen the role of the NCCC and anticipates that the Committee will play a strong role in coordinating and facilitating the implementation of climate change actions"," including that of the NDC.""<br> The following is identified as one of the best practices in preparation of NDC"," “The engagement of stakeholders from public sector"," private sector"," academia and civil society was key to ensuring the interest and buy-in to the NDC process and revised targets. Specific engagement was undertaken with the youth"," who account for a large percentage of the population.”","Yes<br>The updated NDC is “developed synergistically and in collaboration and consultation with industry stakeholders"," academic experts"," local NGO groups"," and technical consultants"," who have also served to provide additional inputs on available and future technologies for long term mitigation and adaptation actions in Fiji.""","GlobalScore"
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","N/A",178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Yes",102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Not Specified",7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Not Specified <br> Although the following action is mentioned as one of the ""twelve discrete steps to the preparation of the adaption action: Increasing stakeholder ownership through wide stakeholder consultations.""",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Yes.<br>""As the Ministry mandated with the climate change portfolio, the Ministry of Environment has updated the NDC in consultation with all relevant stakeholders including those in the public and private sector.""",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Yes.<br>""This product is a result of extensive consultations with stakeholders from the relevant government agencies, civil society institutions and the private sector.""",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Yes.<br>""To collect broader inputs from the private sector in drawing up the target, the Post-2020 Public-Private Joint Commission was formed.""",1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Yes; The following text is part of the planning process:<br> ""A Non-State Actors (NSA) consultation meeting which included academic experts, youth, the private sector and civil society organizations was also organized to ensure their participation in defining the 2020 NDC update.""",1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Yes<br>""The NDC recognizes the private sector as the country’s main engine of economic growth and transformation, and promotes its full engagement in climate change adaptation and mitigation.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Adaptation","Private Sector Engagement in NDC Planning (Yes/No)","Yes<br>“A private sector event included the participation of stakeholders from a range of different sectors, and local communities and indigenous peoples were engaged in the process.”",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
