"global_category","indicator_name","value","count"
"Sectoral Information","Sectoral Target","Assure the development of climate resilience by reducing at least by 50% the climate change vulnerability and facilitate climate change adaptation in six priority sectors, one of them being agriculture",3
"Sectoral Information","Sectoral Target","Assure the development of climate resilience by reducing at least by 50% the climate change vulnerability and facilitate climate change adaptation in six priority sectors, one of them being energy",3
"Sectoral Information","Sectoral Target","Assure the development of climate resilience by reducing at least by 50% the climate change vulnerability and facilitate climate change adaptation in six priority sectors, one of them being forestry",3
"Sectoral Information","Sectoral Target","Assure the development of climate resilience by reducing at least by 50% the climate change vulnerability and facilitate climate change adaptation in six priority sectors, one of them being health",3
"Sectoral Information","Sectoral Target","Assure the development of climate resilience by reducing at least by 50% the climate change vulnerability and facilitate climate change adaptation in six priority sectors, one of them being transport",3
"Sectoral Information","Sectoral Target","Assure the development of climate resilience by reducing at least by 50% the climate change vulnerability and facilitate climate change adaptation in six priority sectors, one of them being water resources",3
"Sectoral Information","Sectoral Target","(Conditional target) By 2025, increase seawater desalination capacity by 50% above 2015 levels, from approximately 5.4 million to over 8 million US gallons per day (GPD) to  counteract freshwater scarcity in Antigua and Barbuda.",2
"Sectoral Information","Sectoral Target","(Conditional target) By 2030, 100% of electricity demand in the water sector and other essential services (including health, food  storage and emergency services) will be met  through off-grid renewable sources to enhance resilience to drought and hurricanes.",2
"Sectoral Information","Sectoral Target","(Conditional target) By 2030, all buildings are improved and prepared for extreme climate events, including drought, flooding and hurricanes.|(Unconditional target) By 2020, update the Building Code to meet projected impacts of climate change.",2
"Sectoral Information","Sectoral Target","(Conditional target) By 2030, all waterways are protected to reduce the risks of flooding and  health impacts including vector-borne and water-borne diseases.",2
"Sectoral Information","Sectoral Target","(Conditonal target) By 2030, an affordable insurance scheme is available for farmers,  fishers, and residential and business  owners to cope with losses resulting from climate variability.",2
"Sectoral Information","Sectoral Target","1.   66 % of the population with access to drinking water by 2020|2. 100% of the population with access to drinking water by 2030",2
"Sectoral Information","Sectoral Target","100 trained specialists;|1 health monitoring centre;|11 hydro equipped stations 50 automatic stations;|1 rehabilitated radar;|1 radiosonde instrument;|1 satellite imagery instrument;|11 trained teams.",2
"Sectoral Information","Sectoral Target","100% of additional water production|Increase 5% of actual production|50% of water demand from tourism|Reduce 15% of the water losses|100% metering of government and public institutions",2
"Sectoral Information","Sectoral Target","100% of farmers use techniques and varieties adapted to the impacts of climate change by 2030. 100% of the farmers have a water management system adapted to the impacts of climate change by 2030",2
"Sectoral Information","Sectoral Target","100% of the households involved in agriculture production will be implementing agro forestry sustainable food production by 2030|Development and implementation of an intensive agroforestry programme with a target of covering 100% of arable land by 2030",2
"Sectoral Information","Sectoral Target","100% of the population has access to health care services by 2030",2
"Sectoral Information","Sectoral Target","1st phase capacity of 22,500 m3 daily, easily expandable to 45,000m3 in the 2nd phase fueled by renewable  energy",2
"Sectoral Information","Sectoral Target","20% reduction of non-revenue water losses; 70% of the main aquifer recharge areas identified in the national plan",2
"Sectoral Information","Sectoral Target","30 % of the territory will be state protected by 2030 and sustainable financial mechanism will be introduced |To create water reservoirs at rivers and at outlets of lakes, and to construct multipurpose systems of water use",2
"Sectoral Information","Sectoral Target","30000 ha stream banks;|900000 ha biodiversity conservation spaces;|Development plans for 450000 ha forests;|800000 ha ANR.",2
