"global_category","indicator_name","value","count"
"Sectoral Information","Sectoral plans on","Achieve higher efficiency and less carbon emissions from power generation through the use of (pico/micro-hydro), biomass, biogas, solar PV, wind power at different scales, natural gas power generation, etc.",6
"Sectoral Information","Sectoral plans on","Biogas",4
"Sectoral Information","Sectoral plans on","Construction of plants",4
"Sectoral Information","Sectoral plans on","Energy efficiency improvement",4
"Sectoral Information","Sectoral plans on","Extension of transport and logistics communication systems, ensuring efficient energy resources use (including optimization of transportation routes, improvement of motor roads quality, etc.)",4
"Sectoral Information","Sectoral plans on","Increased share of efficient vehicles",4
"Sectoral Information","Sectoral plans on","Promoting energy efficiency for buildings",4
"Sectoral Information","Sectoral plans on","To promote the use of higher efficiency technologies in end users (efficient lamps, efficient electric motors, building codes and efficient energy systems).",4
"Sectoral Information","Sectoral plans on","Widely introduce recycling technologies of agricultural residuals for the production of biogas and organic fertilizer",4
"Sectoral Information","Sectoral plans on","CCS",3
"Sectoral Information","Sectoral plans on","Cooking and lighting; Transition to electric and solar cook stoves",3
"Sectoral Information","Sectoral plans on","Domesiting shipping",3
"Sectoral Information","Sectoral plans on","Expansion of coconut oil production",3
"Sectoral Information","Sectoral plans on","Ground and roof mounted solar with associated energy storage",3
"Sectoral Information","Sectoral plans on","Improve efficiency and support fuel switching in the rail, aviation, marine, and off-road sectors",3
"Sectoral Information","Sectoral plans on","Introduction of solar-charged electric lagoon transport",3
"Sectoral Information","Sectoral plans on","MRV system",3
"Sectoral Information","Sectoral plans on","New engines and system upgrades, heat recovery from engines",3
"Sectoral Information","Sectoral plans on","Pre-sorting of waste and entrapment of methane",3
"Sectoral Information","Sectoral plans on","Prepayment meters, end user efficiency improvements",3
"Sectoral Information","Sectoral plans on","Reduce transmission and distribution losses",3
"Sectoral Information","Sectoral plans on","Reduction of kerosene for lighting in outer atolls",3
"Sectoral Information","Sectoral plans on","Vehicle inspections and maintenance; Introduction of electric vehicles",3
"Sectoral Information","Sectoral plans on","A waste-to-energy plant",2
"Sectoral Information","Sectoral plans on","Abatement of fluorinated-gases (HFC-22 and HFC-410) from stationery air-conditioners",2
