"global_category","indicator_name","value","count"
"Overview","Share of Global GHG Emissions","0.00%",28
"Overview","Share of Global GHG Emissions","0.02%",14
"Overview","Share of Global GHG Emissions","0.01%",11
"Overview","Share of Global GHG Emissions","0.08%",10
"Overview","Share of Global GHG Emissions","0.03%",9
"Overview","Share of Global GHG Emissions","0.04%",9
"Overview","Share of Global GHG Emissions","0.14%",8
"Overview","Share of Global GHG Emissions","0.05%",7
"Overview","Share of Global GHG Emissions","0.09%",7
"Overview","Share of Global GHG Emissions","0.13%",5
"Overview","Share of Global GHG Emissions","0.06%",4
"Overview","Share of Global GHG Emissions","0.07%",4
"Overview","Share of Global GHG Emissions","0.11%",4
"Overview","Share of Global GHG Emissions","0.18%",4
"Overview","Share of Global GHG Emissions","0.19%",4
"Overview","Share of Global GHG Emissions","0.10%",3
"Overview","Share of Global GHG Emissions","0.20%",2
"Overview","Share of Global GHG Emissions","0.21%",2
"Overview","Share of Global GHG Emissions","0.22%",2
"Overview","Share of Global GHG Emissions","0.24%",2
"Overview","Share of Global GHG Emissions","0.25%",2
"Overview","Share of Global GHG Emissions","0.26%",2
"Overview","Share of Global GHG Emissions","0.45%",2
"Overview","Share of Global GHG Emissions","0.47%",2
"Overview","Share of Global GHG Emissions","0.54%",2
"Overview","Share of Global GHG Emissions","0.55%",2
"Overview","Share of Global GHG Emissions","0.73%",2
"Overview","Share of Global GHG Emissions","0.74%",2
"Overview","Share of Global GHG Emissions","0.79%",2
"Overview","Share of Global GHG Emissions","0.90%",2
"Overview","Share of Global GHG Emissions","0.12%",1
"Overview","Share of Global GHG Emissions","0.15%",1
"Overview","Share of Global GHG Emissions","0.16%",1
"Overview","Share of Global GHG Emissions","0.17%",1
"Overview","Share of Global GHG Emissions","0.23%",1
"Overview","Share of Global GHG Emissions","0.27%",1
"Overview","Share of Global GHG Emissions","0.36%",1
"Overview","Share of Global GHG Emissions","0.37%",1
"Overview","Share of Global GHG Emissions","0.38%",1
"Overview","Share of Global GHG Emissions","0.42%",1
"Overview","Share of Global GHG Emissions","0.44%",1
"Overview","Share of Global GHG Emissions","0.48%",1
"Overview","Share of Global GHG Emissions","0.57%",1
"Overview","Share of Global GHG Emissions","0.64%",1
"Overview","Share of Global GHG Emissions","0.67%",1
"Overview","Share of Global GHG Emissions","0.81%",1
"Overview","Share of Global GHG Emissions","0.88%",1
"Overview","Share of Global GHG Emissions","0.97%",1
"Overview","Share of Global GHG Emissions","1.06%",1
"Overview","Share of Global GHG Emissions","1.27%",1
"Overview","Share of Global GHG Emissions","1.30%",1
"Overview","Share of Global GHG Emissions","1.38%",1
"Overview","Share of Global GHG Emissions","1.39%",1
"Overview","Share of Global GHG Emissions","1.42%",1
"Overview","Share of Global GHG Emissions","1.56%",1
"Overview","Share of Global GHG Emissions","1.59%",1
"Overview","Share of Global GHG Emissions","1.69%",1
"Overview","Share of Global GHG Emissions","11.84%",1
"Overview","Share of Global GHG Emissions","2.36%",1
"Overview","Share of Global GHG Emissions","2.90%",1
"Overview","Share of Global GHG Emissions","23.92%",1
"Overview","Share of Global GHG Emissions","3.48%",1
"Overview","Share of Global GHG Emissions","4.07%",1
"Overview","Share of Global GHG Emissions","6.81%",1
"Overview","Share of Global GHG Emissions","6.84%",1
