"global_category","indicator_name","value","count"
"Adaptation","Social Development","No specified measure",313
"Adaptation","Social Development","Poverty Reduction",30
"Adaptation","Social Development","Gender",12
"Adaptation","Social Development","Safety Net",8
"Adaptation","Social Development","Gender, Poverty Reduction",4
"Adaptation","Social Development","Gender, Poverty Reduction, Safety Net",2
"Adaptation","Social Development","Poverty Reduction, Road Sector",2
"Adaptation","Social Development","Poverty Reduction, Transportation Fuels",2
"Adaptation","Social Development","Poverty Reduction, Water Management",2
"Adaptation","Social Development","Social development",2
"Adaptation","Social Development","No Document Submitted",1
"Adaptation","Social Development","Poverty reduction",1
"Adaptation","Social Development","Social Development: General",1
"Adaptation","Social Development","Subsidies",1
