"global_category","indicator_name","value","count"
"Overview","Source Link","<a href=""https://prensa.presidencia.cl/comunicado.aspx?id=102021"">Chilean Presidency Communique</a>",32
"Overview","Source Link","<a href=""https://s3-sa-east-1.amazonaws.com/cop25.cl/documents/eng/1312+Annex+Alliance+ENGLISH.pdf"">Chilean Presidency Communique Following COP25</a>",24
"Overview","Source Link","<a href=""https://gallery.mailchimp.com/c560500817895c89e5581777d/files/601c9f4f-4f3c-4ad7-986b-be40041b292d/1112_PR_Climate_Ambition_Alliance.pdf"">Chilean Presidency Communique COP25</a>",6
"Overview","Source Link","<a href=""http://webtv.un.org"">UN Climate Action Summit</a>",1
"Overview","Source Link","<a href=""http://www.dirco.gov.za/docs/speeches/2019/cram0923.htm"">SouthAfrica Statement</a>",1
"Overview","Source Link","<a href=""https://twitter.com/WRIClimate/status/1142510122612252672"">Twitter Video</a> and <a href=""https://prensa.presidencia.cl/comunicado.aspx?id=102021"">Chilean Presidency Communique</a>",1
"Overview","Source Link","<a href=""https://twitter.com/WRIClimate/status/1142754311878926338"">Twitter Video</a> and <a href=""https://prensa.presidencia.cl/comunicado.aspx?id=102021"">Chilean Presidency Communique</a>",1
"Overview","Source Link","<a href=""https://twitter.com/WRIClimate/status/1142755789490274306"">Twitter Video</a>",1
"Overview","Source Link","<a href=""https://twitter.com/WRIClimate/status/1142756775529259008"">Twitter Video</a>",1
"Overview","Source Link","<a href=""https://twitter.com/WRIClimate/status/1142757440443879424"">Twitter Video</a>",1
"Overview","Source Link","<a href=""https://twitter.com/WRIClimate/status/1143477746909286402"">Twitter Video</a> and <a href=""https://prensa.presidencia.cl/comunicado.aspx?id=102021"">Chilean Presidency Communique</a>",1
"Overview","Source Link","<a href=""https://twitter.com/WRIClimate/status/1143485255493529605"">Twitter Video</a>",1
"Overview","Source Link","<a href=""https://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1817098.shtml"">Statement</a>",1
"Overview","Source Link","<a href=""https://www.youtube.com/watch?v=-eU7xXyuxY4"">Remarks for the Climate Ambition Summit 2020</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Andorra%20First/20200514-%20Actualitzaci%C3%B3%20NDC.pdf"">NDC Registry</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Argentina%20Second/Argentina_Segunda%20Contribuci%C3%B3n%20Nacional.pdf"">Argentina Second NDC</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Armenia%20First/NDC%20of%20Republic%20of%20Armenia%20%202021-2030.pdf"">Armenia Updated First NDC</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australia%20NDC%20recommunication%20FINAL.PDF"">Australia First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Austria%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Austria)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bangladesh%20First/Updated_NDC_of_Bangladesh.pdf"">Bangladesh First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belgium%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Belgium)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bosnia-Herzegovina%20First/NDC%20BiH_November%202020%20FINAL%20DRAFT%2005%20Nov%20ENG%20LR.pdf"">Bosnia and Herzegovina First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/Brazil%20First%20NDC%20(Updated%20submission).pdf"">NDC Registry</a>; <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/Explanatory%20Letter_Brazil.pdf"">Addendum</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brunei%20Darussalam%20First/Brunei%20Darussalam's%20NDC%202020.pdf"">Brunei Darussalam First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bulgaria%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Bulgaria)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo%20Verde_NDC%20Update%202021.pdf"">Cabo Verde Updated First NDC</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cambodia%20First/20201231_NDC_Update_Cambodia.pdf"">Cambodia First NDC (Updated submission)</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Chile%20First/Chile%27s_NDC_2020_english.pdf"">NDC Registry</a>",1
"Overview","Source Link","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/NDC%20actualizada%20de%20Colombia.pdf"">Colombia First NDC (Updated submission)</a>",1
