"global_category","indicator_name","value","count"
"Overview","Statement","The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.",28
"Overview","Statement","Per Climate Ambition Alliance statement from Chilean Presidency",27
"Overview","Statement","Per Climate Ambition Alliance statement from Chilean Presidency Following COP25",24
"Overview","Statement","Per Climate Ambition Alliance statement from Chilean Presidency at COP25",6
"Overview","Statement","Per direct correspondence with country representatives and Climate Ambition Alliance statement from Chilean Presidency",2
"Overview","Statement","Per direct correspondence with country representatives and Climate Ambition Alliance statement from Chilean Presidency.",2
"Overview","Statement","""At present we are reviewing and updating our NDC to be submitted in 2020 with more ambition.""",1
"Overview","Statement","""Chad has a realistic and specific plan designed to enhance our ambition in adaptation and mitigation of NDC.""",1
"Overview","Statement","""Nigeria has a very ambitious NDC. We want to scale up our commitment beyond what we have done presently.""",1
"Overview","Statement","""Regarding our NDCs, we are going to strengthen our NDC and increase ambition."" Also Per Climate Ambition Alliance statement from Chilean Presidency.",1
"Overview","Statement","""We're working towards more ambitious NDCs to be submitted for 2020.""",1
"Overview","Statement","""We are looking at enhancing our NDC through adding more sectors to our current NDC."" Also Per Climate Ambition Alliance statement from Chilean Presidency.",1
"Overview","Statement","""We are ready to step up our NDC into 2020."" Also Per Climate Ambition Alliance statement from Chilean Presidency.",1
"Overview","Statement","""We outlined our ambitious, new climate action plan, which will ensure we exceed our 2030 climate goals. We will raise our emission reduction ambitions.""",1
"Overview","Statement","""We will be enhancing our current mitigation NDC by the end of 2020.""",1
"Overview","Statement","""We will enhance the ambition of our NDC.""",1
"Overview","Statement","“China will scale up its Intended Nationally Determined Contributions by adopting more vigorous policies and measures. We aim to have CO2 emissions peak before 2030 and achieve carbon neutrality before 2060.”",1
"Overview","Statement","Andorra commits to an overall 2030 emission reduction target unchanged from its 2015 NDC, while committing to carbon neutrality by 2050 and noting specific sectoral targets.",1
"Overview","Statement","Argentina commits to an economy wide unconditional cap net emissions of 359 MtCO2e in 2030.",1
"Overview","Statement","Armenia commits to reduce GHG emissions by 40% by 2030, compared to 1990 level.",1
"Overview","Statement","Australia commits to reduce GHG emissions by 26-28% below 2005 levels by 2030, implemented as an emissions budget during 2021-2030 (indicative value 4832-4764 MtCO2e).",1
"Overview","Statement","Bangladesh commits to reduce GHG emissions by 5% (or 12 MtCO2e, unconditional) and 15% (or 36 MtCO2e, conditional) below BAU by 2030 in power, transport and industry sectors.",1
"Overview","Statement","Bosnia and Herzegovina commits to reduce emissions by 12.8% (unconditional) and 17.5% (conditional) by 2030; 50% (unconditional) and 55% (conditional) by 2050, compared to 2014 levels.",1
"Overview","Statement","Brazil commits to reduce emissions from 2005 levels by 37% in 2025, and by 43% in 2030.",1
"Overview","Statement","Brunei Darussalam commits to reduce GHG emissions by 20% relative to Business-As-Usual levels (29.5 MtCO2e) by 2030.",1
"Overview","Statement","Cambodia commits to reduce GHG emissions by 41.7% (64.6 MtCO2e, of which 59.1% from FOLU) compared to BAU in 2030.",1
"Overview","Statement","Cape Verde commits to reduce GHG emissions by 18% (unconditional) and 24% (conditional) by 2030 compared to BAU.",1
"Overview","Statement","Chile commits to peak emissions in 2025 and to limit emissions at 95 MtCO2e by 2030.",1
"Overview","Statement","Colombia commits to maximum of 169.44 MtCO2e in 2030 (equivalent to 51% reduction compared to BAU) and reduce black carbon emissions by 40% compared to 2014 in 2030.",1
"Overview","Statement","Costa Rica commits to a 2030 cap of 9.11 MtCO2e net-emissions and a maximum net-emissions budget of 106.53 MtCO2e from 2021 to 2030.",1
"Overview","Statement","Cuba commits to generate 24% of electricity from renewable sources and increase forest coverage to 33% by 2030, along with additional measures in the energy, transportation, and agriculture sectors.",1
"Overview","Statement","Dominican Republic commits to reduce emissions by 27% (7% unconditional to domestic finances and 20% conditional to external finances) by 2030 compared to BAU.",1
"Overview","Statement","Ethiopia commits to reduce emissions by 220.59 MtCO2eq (51.1 MtCO2eq unconditional part and 169.3MtCO2 conditional part) in 2030 compared to BAU.",1
"Overview","Statement","Fiji commits to reduce energy CO2 emissions by 30% compared to BAU by 2030, and to achieve net zero GHG emissions by 2050.",1
"Overview","Statement","Georgia commits to reduce GHG emissions by 35% (unconditional) and 50%-57% (conditional) by 2030, compared to 1990 level.",1
"Overview","Statement","Grenada commits to reducing its GHG emissions by 40% of the 2010 emissions levels by 2030.",1
"Overview","Statement","Honduras commits to reduce emissions by 16% (excluding LULUCF) by 2030, compared to the BAU scenario, along with sectoral non-GHG targets.",1
"Overview","Statement","Iceland commits to reduce emissions by at least 55% by 2030 compared to 1990, acting jointly with the EU and its Member States.",1
"Overview","Statement","In view of its climate neutrality target by 2050, Switzerland commits to reduce greenhouse gas emissions by at least 50% by 2030 compared to 1990 levels, corresponding to an average reduction of at least 35 percent over the period 2021-2030.",1
"Overview","Statement","Jamaica commits to reduce emissions by 25.4% (unconditional) and 28.5% (conditional) compared to business-as-usual in 2030.",1
"Overview","Statement","Japan communicated an NDC unchanged from its 2015 version.",1
"Overview","Statement","Kenya commits to reduce emissions by 32% by 2030 compared to BAU of 143 MtCO2e.",1
"Overview","Statement","Lao PDR commits to reduce emissions by 60% (unconditional) by 2030 compared with the baseline scenario along with sectoral non-GHG targets.",1
"Overview","Statement","Lebanon commits to reduce GHG emissiosn by 20% (unconditional) and 31% (conditional) compared to BAU.",1
"Overview","Statement","Maldives commits to reduce emissions by 26% (conditional) by 2030 compared to BAU and strive to achieve net zero by 2030.",1
"Overview","Statement","Mexico commits to reduce 22% of GHG and 51% of black carbon emissions (unconditional) and up to 36% of GHG and 70% of black carbon emissions (conditional) by 2030 compared to BAU.",1
"Overview","Statement","Moldova commits to reduce emissions by 70% (unconditional) and up to 88% (conditional) in 2030 compared to 1990.",1
"Overview","Statement","Monaco commits to reduce emissions by 55% by 2030 compared to 1990 levels.",1
"Overview","Statement","Mongolia commits to reduce emissions by 22.7% (unconditional) and 27.2% (conditional) compared to BAU by 2030.",1
"Overview","Statement","Nepal commits targets and measures in energy, industry, agriculture, forestry and land use, and waste sectors.",1
"Overview","Statement","New Zealand commits to an overall emission reduction target unchanged from its 2015 NDC while noting a specific target to reduce biogenic methane emissions 10% below 2017 levels by 2030.",1
"Overview","Statement","Nicaragua commits to sectoral targets in energy, industrial processes and product use, and forestry sectors, estimated at 69 MtCO2e in 2030 or 10% reduction compared to BAU (77 MtCO2e).",1
"Overview","Statement","Norway commits to cut GHG emissions by at least 50% and towards 55% by 2030 compared to 1990 levels.",1
"Overview","Statement","Panama commits to reduce energy sector emissions by at least 11.5% by 2030 and at least 24% by 2050 compared to baseline, representing up to 10 MtCO2e during 2022-2030 and 60 MtCO2e during 2022-2030.",1
"Overview","Statement","Papua New Guinea commits a carbon neutrality target within the energy industries sub-sector by 2030, and a 10,000 Gg CO2 eq reduction target in annual emission from deforestation and forest degradation compared to 2015 level by 2030.",1
"Overview","Statement","Per direct correspondence with country representatives and Per Climate Ambition Alliance statement from Chilean Presidency",1
"Overview","Statement","Peru commits to limit its GHG emissions to a maximum level of 208.8 MtCO2e (unconditional) and 179.0 MtCO2e (conditional) in 2030.",1
"Overview","Statement","Philippines commits to reduce cumulative GHG emissions by 2.71% (unconditional) and 75% (conditional) comparing to BAU for the period 2020 to 2030 (3,340.3 MtCO2e).",1
"Overview","Statement","Republic of Korea commits to reduce GHG emissions by 24.4% by 2030 compared to 2017 levels (709.1MtCO2e).",1
"Overview","Statement","RMI commits to a GHG reduction of at least 45% below 2010 levels by 2030.",1
"Overview","Statement","Rwanda commits to reduce emissions by 16% (unconditional) and 38% (conditional) in 2030 compared to BAU.",1
"Overview","Statement","Saint Lucia commits to a 7% GHG emissions reduction in the energy sector (equivalent to 37 GgCO2 eq) by 2030, relative to 2010.",1
"Overview","Statement","Senegal commits to reduce GHG emissions by 5% and 7% (unconditional) and 23.7% and 29.5% (conditional) compared to BAU levels in 2025 and 2030 respectively.",1
"Overview","Statement","Singapore commits to peak emissions at 65 MtCO2e around 2030.",1
"Overview","Statement","Suriname commits to stronger adaptation actions.",1
"Overview","Statement","Thailand commits to reduce emissions by 20% (unconditional) and up to 25% (conditional) compared by BAU by 2030.",1
"Overview","Statement","The DPRK government plans to reduce GHG emissions by 16.4% (unconditional) and 52% (conditional) by 2030 compared to BAU.",1
"Overview","Statement","The Republic of North Macedonia commits to reduce emissions by 51% compared to 1990 levels, or 82% if expressed in net emissions.",1
"Overview","Statement","The Russian Federation commits to reduce greenhouse gas emissions to 70 percent relative to the 1990 level by 2030.",1
"Overview","Statement","The UAE commits to reduce GHG emissions by 23.5% for 2030 compared to BAU.",1
