"global_category","indicator_name","value","count"
"Overview","Statement Date","9/23/2019",37
"Overview","Statement Date","12/17/2020",28
"Overview","Statement Date","1/13/2020",24
"Overview","Statement Date","12/11/2019",6
"Overview","Statement Date","12/30/2020",6
"Overview","Statement Date","12/29/2020",5
"Overview","Statement Date","12/27/2020",4
"Overview","Statement Date","12/28/2020",4
"Overview","Statement Date","12/8/2020",3
"Overview","Statement Date","6/23/2019",3
"Overview","Statement Date","3/31/2020",2
"Overview","Statement Date","5/20/2020",2
"Overview","Statement Date","5/5/2021",2
"Overview","Statement Date","1/27/2021",1
"Overview","Statement Date","10/13/2020",1
"Overview","Statement Date","10/26/2020",1
"Overview","Statement Date","11/25/2020",1
"Overview","Statement Date","11/30/2020",1
"Overview","Statement Date","12/12/2020",1
"Overview","Statement Date","12/13/2020",1
"Overview","Statement Date","12/16/2020",1
"Overview","Statement Date","12/18/2020",1
"Overview","Statement Date","12/23/2020",1
"Overview","Statement Date","12/31/2020",1
"Overview","Statement Date","12/9/2019",1
"Overview","Statement Date","12/9/2020",1
"Overview","Statement Date","2/18/2021",1
"Overview","Statement Date","2/7/2020",1
"Overview","Statement Date","3/15/2021",1
"Overview","Statement Date","3/22/2021",1
"Overview","Statement Date","3/4/2020",1
"Overview","Statement Date","4/14/2021",1
"Overview","Statement Date","4/15/2021",1
"Overview","Statement Date","4/19/2021",1
"Overview","Statement Date","4/21/2021",1
"Overview","Statement Date","4/22/2020",1
"Overview","Statement Date","4/5/2021",1
"Overview","Statement Date","4/9/2020",1
"Overview","Statement Date","5/12/2021",1
"Overview","Statement Date","5/19/2021",1
"Overview","Statement Date","6/25/2019",1
"Overview","Statement Date","7/1/2020",1
"Overview","Statement Date","9/10/2020",1
"Overview","Statement Date","9/17/2020",1
"Overview","Statement Date","9/19/2019",1
"Overview","Statement Date","9/22/2020",1
