"global_category","indicator_name","value","count"
"Overview","Target year (adaptation)","2030",185
"Overview","Target year (adaptation)","N/A",72
"Overview","Target year (adaptation)","2025",18
"Overview","Target year (adaptation)","2020",10
"Overview","Target year (adaptation)","Not Specified",7
"Overview","Target year (adaptation)","2035",5
"Overview","Target year (adaptation)","2023",2
"Overview","Target year (adaptation)","2025|2030",2
"Overview","Target year (adaptation)","2030|2050",2
"Overview","Target year (adaptation)","2040",2
"Overview","Target year (adaptation)","2050",2
"Overview","Target year (adaptation)","2022 and 2030",1
"Overview","Target year (adaptation)","2030|2035|Not Specified",1
"Overview","Target year (adaptation)","2037",1
