"global_category","indicator_name","value","count"
"Overview","Target year (mitigation)","2030",194
"Overview","Target year (mitigation)","1 January 2021- 31 December 2030",58
"Overview","Target year (mitigation)","Not Applicable",29
"Overview","Target year (mitigation)","2025 and 2030",14
"Overview","Target year (mitigation)","2025",12
"Overview","Target year (mitigation)","2035",4
"Overview","Target year (mitigation)","2021-2030",3
"Overview","Target year (mitigation)","2021-2030 ",3
"Overview","Target year (mitigation)","2030 and 2050",3
"Overview","Target year (mitigation)","2050",3
"Overview","Target year (mitigation)","Jan 1 2021 - Dec 31 2030",3
"Overview","Target year (mitigation)","Target year: Japan&rsquo;s FY 2030<br />Period for implementation: from April 1, 2021 to March 31, 2031 (FY 2021 to FY 2030)",3
"Overview","Target year (mitigation)","Time period: 2021 to 2030",3
"Overview","Target year (mitigation)","<p>""2010-2025 (p&eacute;riode du Plan Strat&eacute;gique Gabon Emergent)""<br /> ""Ces analyses seront prolong&eacute;es sur 2030, voire 2050 dans le cadre des &eacute;tudes compl&eacute;mentaires qui seront men&eacute;es avant la COP21.""</p> <p>2010-2025 (period of the Strategic Plan for an Emerging Gabon). The commitment could be extended to 2030 and even 2050 based on additional studies that will be carried out by COP21.</p>",2
"Overview","Target year (mitigation)","<p>""Beginning in 2016...""</p>",2
"Overview","Target year (mitigation)","<p>""The time frame to implement the iNDC is from 2020-2030, mid-term review in 2025.""</p>",2
"Overview","Target year (mitigation)","<p>2030 <p> <p>""Time of implementation of emission reduction programmes is up to 2030 subject to review in 2025.""</p>",2
"Overview","Target year (mitigation)","<p>2030</p> <p>Determination and justification of the target year: ""Burkina has chosen 2030 as the target year, given that this date coincides with the second Millennium Development Goals meeting. In addition, the government of Burkina Faso has adhered to the &ldquo;Sustainable Energy for All (SE4ALL)&rdquo; initiative of the United Nations Secretary General, which aims to achieve three major objectives between now and 2030:</p> <ul> <li>Assure universal access to modern energy services.</li> <li>Double the rate of improvement of energy efficiency.</li> <li>Double the share of renewable energy in the world energy mix.""</li> </ul>",2
"Overview","Target year (mitigation)","<p>2030</p><p>""Based on the outcome of the climate negotiations in Paris in the COP 21, Colombia will consider communicating an indicative target for 2025, consistent with its 2030 target.""</p>",2
"Overview","Target year (mitigation)","<p>Target year: 2030</p> <p>Period of commitment: 2020-2030. However, efforts to set up the institutional mechanism, prepare the programmes and mobilize the resources will be beginning in 2016.</p>",2
"Overview","Target year (mitigation)","2015-2050",2
"Overview","Target year (mitigation)","2020-2030",2
"Overview","Target year (mitigation)","2020 for unconditional GHG target, 2030 for conditional GHG target<br>2020 for the non-GHG target",2
"Overview","Target year (mitigation)","2021",2
"Overview","Target year (mitigation)","2021 to 2030",2
"Overview","Target year (mitigation)","2025 and 2035",2
"Overview","Target year (mitigation)","2025<br>Period for defining actions: Start year: 2020; End year: 2025",2
"Overview","Target year (mitigation)","2030 (with an interim target in 2025)",2
"Overview","Target year (mitigation)","2030, with intermediate target in 2025",2
"Overview","Target year (mitigation)","2030<br>Commitment period: 2016-2030",2
"Overview","Target year (mitigation)","Beginning 2021 to end 2030",2
"Overview","Target year (mitigation)","Contribution year/s: 2020, 2030<br />Implementation period: 2015 &ndash; 2030.",2
"Overview","Target year (mitigation)","Du 1er janvier 2016 au 31 d&eacute;cembre 2030.<br />From 1 January 2016 to 31 December 2030.",2
"Overview","Target year (mitigation)","Grenada&rsquo;s target is for 2025. Indicative target is 2030",2
"Overview","Target year (mitigation)","Implementation Period: 2020-2030",2
"Overview","Target year (mitigation)","Liechtenstein's INDCs encompass a reduction target within a time frame from 2021 until 2030.",2
"Overview","Target year (mitigation)","Not Specified",2
"Overview","Target year (mitigation)","Ongoing (""for all time"")",2
"Overview","Target year (mitigation)","Period for defining contribution (outcomes): 2020, 2025",2
"Overview","Target year (mitigation)","Period:&nbsp;1 January 2021 &ndash; 31 December 2030",2
"Overview","Target year (mitigation)","Taking into account the National Sustainable Development Strategy until 2030, the year 2030 is taken as the target year for these commitments.<br />Therefore, the validity period of all commitments and targets of this document covers the period from 1 January 2021 to 31 December 2030.",2
"Overview","Target year (mitigation)","Target year: 2025<br>Timeframe: Start year: 2020; End year: 2025",2
"Overview","Target year (mitigation)","Target year: 2030<br />Period for defining actions: Start year: 2020; End year: 2030",2
"Overview","Target year (mitigation)","Target year: 2030<br />Time frame for implementation: 10 years &ndash; 2021 to 2030",2
"Overview","Target year (mitigation)","Target year: 2030<br>Period: From 01/01/2021 to 31/12/2030",2
"Overview","Target year (mitigation)","Target year: 2030<br>Target period: 2021-2030",2
"Overview","Target year (mitigation)","Target year: 2030<br>Timeframe or time period: 2020 to 2030",2
"Overview","Target year (mitigation)","Target year: 2030<br>Timeframe: 2020-2030",2
"Overview","Target year (mitigation)","The implementation period is 2010-2030, with a review every five years.",2
"Overview","Target year (mitigation)","The period for implementation covers January 1st, 2021 to December 31st, 2030",2
"Overview","Target year (mitigation)","The time-frames within the PPD trajectory range that are communicated in South Africa&rsquo;s INDC are 2025 and 2030, in which emissions will be in a range between 398 and 614 Mt CO<sub>2</sub>-eq.",2
"Overview","Target year (mitigation)","The timeframe for implementation of the INDC is up to 2030. ",2
"Overview","Target year (mitigation)","The U.S. target is for a single year: 2025.",2
"Overview","Target year (mitigation)","Time frame and /or period for implementation:<br />Start year: 2020; Mid-term year: 2025; End year: 2030",2
"Overview","Target year (mitigation)","Time frame of the commitmentis until end of 2030. The quantified commitment by 2030 is relevant to the GHGs reduction targets while the other packages of mitigation actions (and tied KPI-based targets) are anticipated to be achieved by 2025 based on timeframe adopted by Jordan 2025-a National Vision and Strategy (launched in 2015).",2
"Overview","Target year (mitigation)","Time frame:&nbsp;January 1, 2020 - December 31, 2030, and 2050",2
"Overview","Target year (mitigation)","Timeframe and/or period for implementation: 2005 - 2030 (with an interim target in 2025)",2
"Overview","Target year (mitigation)","Timeframe and/or period for implementation: Start year: 2020; End year/target year: 2025<br>RMI also communicated a indicative target for 2030.",2
"Overview","Target year (mitigation)","Timeframe: 2021-2030",2
"Overview","Target year (mitigation)","Until 2030",2
"Overview","Target year (mitigation)","Up to 2030",2
"Overview","Target year (mitigation)","""Lebanon has already begun implementing the actions and activities needed to meet this commitment. It will continue to do so until 2030.""",1
"Overview","Target year (mitigation)","1 January 2020 &mdash; 31 December 2030",1
"Overview","Target year (mitigation)","11323",1
"Overview","Target year (mitigation)","2025 (indicative) | 2030 | 2050",1
"Overview","Target year (mitigation)","2030<br>The timeframe for implementing the INDC is from 2010-2030",1
"Overview","Target year (mitigation)","2030<br>The timeframe for implementing the INDC is from 2020-2030",1
"Overview","Target year (mitigation)","2040",1
"Overview","Target year (mitigation)","2050 for the renewable energy target; Not specified for other targets.",1
"Overview","Target year (mitigation)","No Document Submitted",1
"Overview","Target year (mitigation)","No GHG target",1
"Overview","Target year (mitigation)","Period for Implementation or Contribution: 2021-2030",1
"Overview","Target year (mitigation)","Target year: 2030<br>Time frame: 1st, January 2021 to 31st, December 2030;",1
"Overview","Target year (mitigation)","The reference year for the target is 2030 and the target is expressed relative to business-as-usual emissions in this year. Business-as-usual emissions have been calculated based on policies in place in 2005.",1
