"global_category","indicator_name","value","count","N/A","Yes","Not Specified","Not Specified <br> Although the following action is mentioned as one of the ""twelve discrete steps to the preparation of the adaption action: Increasing stakeholder ownership through wide stakeholder consultations.""","Yes. <br>""This subsection identifies PNG’s priority actions in the face of climate challenges while interlinking them with the country’s key policy and strategy documents"," verified through robust stakeholder engagement and national validation workshops.""<br>""During 2019 and 2020"," PNG conducted regional and sector consultations to review and re-affirm its national and sub-national priorities on climate change.""","Yes.<br>""In 2009"," the Republic of Korea launched the Korea Adaptation Center for Climate Change"," a think tank that provides systematic support for the country’s adaptation policy and conducts comprehensive research activities on adaptation.""","Yes.<br>""The Mitigation Working Group"," Adaptation and Resilience Working Group"," and Support Framework Working Group respectively consist of members from the private and public sectors"," non-government organisations and academia institutions to execute climate action in each respective area.""","Yes.<br>""The Technical Committee on Climate Change comprising representatives from relevant Ministries and a broad range of other stakeholders.""","Yes.<br>""The UAE has conducted a systematic and participatory climate risk assessment as a basis for planning adaptation measures in four priority sectors.""","Yes; ""An adaptation expert meeting comprising ministerial experts"," academia and technical consultants was conducted to assess the enhanced adaptation targets"," and their appropriateness considering Lebanon’s special circumstances.""","Yes<br>""A Climate Change Technical Working Group (CCTWG) was established to facilitate and provide technical support to the National Council for Sustainable Development (NCSD) in addressing climate change in the Kingdom of Cambodia. The TWG is key to governance and to ensure decision making and implementation by key line ministries."" “The Department of Climate Change (DCC) is under the GSSD and has led technical efforts for climate change adaptation and mitigation response and reporting.”","Yes<br>”National Institute of Ecology and Climate Change (INECC) is responsible for conducting studies and research projects and providing technical and scientific support for climate policy decision- making.”","Yes<br>The following text describes general planning process"," ""In August 2019"," Saint Lucia submitted a request for support to the NDC Partnership’s Climate Action Enhancement Package (CAEP). Through the CAEP"," Saint Lucia has received technical assistance from Climate Analytics (CA)"," the Organization of Eastern Caribbean States (OECS) Commission"," the Global Green Growth Institute (GGGI) and the World Resources Institute (WRI).""","Yes<br>The updated NDC is “developed synergistically and in collaboration and consultation with industry stakeholders"," academic experts"," local NGO groups"," and technical consultants"," who have also served to provide additional inputs on available and future technologies for long term mitigation and adaptation actions in Fiji.""","GlobalScore"
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","N/A",189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Yes",95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Not Specified",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Not Specified <br> Although the following action is mentioned as one of the ""twelve discrete steps to the preparation of the adaption action: Increasing stakeholder ownership through wide stakeholder consultations.""",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Yes. <br>""This subsection identifies PNG’s priority actions in the face of climate challenges while interlinking them with the country’s key policy and strategy documents, verified through robust stakeholder engagement and national validation workshops.""<br>""During 2019 and 2020, PNG conducted regional and sector consultations to review and re-affirm its national and sub-national priorities on climate change.""",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Yes.<br>""In 2009, the Republic of Korea launched the Korea Adaptation Center for Climate Change, a think tank that provides systematic support for the country’s adaptation policy and conducts comprehensive research activities on adaptation.""",1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Yes.<br>""The Mitigation Working Group, Adaptation and Resilience Working Group, and Support Framework Working Group respectively consist of members from the private and public sectors, non-government organisations and academia institutions to execute climate action in each respective area.""",1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Yes.<br>""The Technical Committee on Climate Change comprising representatives from relevant Ministries and a broad range of other stakeholders.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Yes.<br>""The UAE has conducted a systematic and participatory climate risk assessment as a basis for planning adaptation measures in four priority sectors.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Technical Group Engagement in NDC Planning (Yes/No)","Yes; ""An adaptation expert meeting comprising ministerial experts, academia and technical consultants was conducted to assess the enhanced adaptation targets, and their appropriateness considering Lebanon’s special circumstances.""",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
