"global_category","indicator_name","value","count"
"Overview","Technologies needed to implement NDC","n/a",304
"Overview","Technologies needed to implement NDC","Clean technologies",4
"Overview","Technologies needed to implement NDC","Renewable energy technologies",3
"Overview","Technologies needed to implement NDC","CCS",2
"Overview","Technologies needed to implement NDC","Climate monitoring, forecasting and dissemination techniques and technologies",2
"Overview","Technologies needed to implement NDC","Energy-efficient stove technology | renewable energies technologies (thermal solar, photovoltaic, micro-hydraulic, wind)",2
"Overview","Technologies needed to implement NDC","Energy efficient lighting, variable speed drives and efficient moters, energy efficient appliances, solar water heaters, electric and hybrid electric vehicles, solar PV, wind power, CCS, advanced bio-energy",2
"Overview","Technologies needed to implement NDC","Energy efficientcy technologies in industrial process, electric power industry and architecture, afforestation and reforrestation technologies, sustainable agriculture, waste management, water pollution prevention and water purification",2
"Overview","Technologies needed to implement NDC","Energy saving technologies| GIS for the development of the system for inventory of greenhouse gas sinksand emissions in the Land Use Change and Forestry",2
"Overview","Technologies needed to implement NDC","Energy storage and renewable energy generation",2
"Overview","Technologies needed to implement NDC","Hydropower Electricity Generation Systems | Photovoltaic Electricity Generation Systems",2
"Overview","Technologies needed to implement NDC","Information and intellectual property rights for mitigation technologies",2
"Overview","Technologies needed to implement NDC","Innovative technologies, strengthening intellectual property right | collaboration with ""Climate Technology Center and Network"" (CTCN) for similar national mechanism",2
"Overview","Technologies needed to implement NDC","New techniques, equipment, knowledge and skills for mitigation",2
"Overview","Technologies needed to implement NDC","Not Specified",2
"Overview","Technologies needed to implement NDC","Particle and gas sensors, Waste recycling, Treatment of industrial effluents, Waste reclamation, Climatological and meteorological observation system",2
"Overview","Technologies needed to implement NDC","Partnerships with enterprises for R&D of low emission solutions",2
"Overview","Technologies needed to implement NDC","R&D",2
"Overview","Technologies needed to implement NDC","Renewable energy technologies | Water technologies for water savings, recycling, harvesting, irrigation and sustainable management for agricultural purposes",2
"Overview","Technologies needed to implement NDC","Second Phase of the Technology Needs Assessment Project (TNA) by 2017",2
"Overview","Technologies needed to implement NDC","Technologies on organic agriculture, agro_forestry, rainfall harvesting, recycling of agricultural waste, biogas, efficient cookstoves, water conservation and renewable energy",2
"Overview","Technologies needed to implement NDC","Technology needs have been identified in sectoral climate change action plans | Technology Needs Assessment for mitigation and adaptation has been conducted",2
"Overview","Technologies needed to implement NDC","""A Technology Needs Assessment (TNA) must be conducted (if not yet carried out), which will clearly set out the specific needs of the identified sectors . The need for innovation is crucial to ensure more efficient and cleaner technologies. The availability and transfer of technology that is environmentally sound and which support low carbon and climateresilient development are paramount. As a SIDS these opportunities are not often readily accessible, hence the need for external support.""",1
