"global_category","indicator_name","value","count"
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","""There is a strong need for technology in Viet Nam, especially advanced technology in climate change and hydro-meteorological monitoring and forecasting, early warning of natural disasters and hazards, and technology for structural and non-structural climate change adaptation measures.""",21
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Renewable energy technologies",3
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","""Application of Integrated Water Resources Management (IWRM) and Ecosystem- Based Adaptation (Eba) practices.""",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","1. Irrigation Techniques and Technologies (Surface Irrigation Systems, Sprinkler irrigation systems, Drip Irrigation)|2. Rain water harvesting and Water Treatment technologies",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","A Technology Needs Assessment (TNA) for Vanuatu is needed as a matter of priority to look at implementing a country driven process for identifying and analyzing the priority technology needs for mitigating and adapting to climate change.| There is an apparent need of technologies to enable improved decision-making and environmental management.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Access to and diffusion of appropriate clean technologies|Promotion of renewable energies and energy efficiency",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Access to and training for renewable energy technologies",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Access to information systems in order to monitor hydrometeorological events in real time and thus consolidate and enhance early warning systems.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Advanced conversion of wood|Land and forestry monitoring system",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Aquaculture",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Availability of methods and tools to assess climate impacts, vulnerability and adaptation in specific sectors and regions.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Better access to tools (e.g. timing of crop cycles in the rainy season).",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Building of climate information systems",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Climate data|Natural resource management statistical data",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Climate monitoring, forecasting and dissemination techniques and technologies",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Climate policy technologies and methods",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Climate science technology",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Climate technologies adapted to national development priorities; |Country needs a technology needs assessment in the priority sectors identified in the draft TCN, with mainly the support of the National Designated Entity (SNE) to the Centre and Network of Technological Resources (CRTC) to the UNFCCC and other strategic partners of the country;|Training and support to the appropriation of climate technologies in the sectors to benefit, and transfer of appropriate technologies.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Climatological and meteorological observation system;|Research.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Coastal Protection Technologies (Groynes, Sea walls, Offshore breakwaters and revetments)",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Combination of various coastal zone protection technologies are recommended by the second “Technology Needs Assessment“ report of Georgia to prevent the significant damage caused by the Black Sea level rise. |Prioritized Technology: technologies for the protection of coastal infrastructure.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Conservation ecology methods and tools",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Contributing cluster: New innovation, high technology, energy efficient appliances and disincentive for inefficient appliance.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Coordinate activities and with the National Risk Observatory (ONR) for the prediction of weather events and climate change impacts.|",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Create a dynamic network of observation and monitoring of the coastline at the national level to identify areas at risk of coastal erosion and examination of one or several indicators reflecting the relationship climate/ coastal erosion.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Crop Types and Cultivars (Deep-rooted, salt-tolerant tree/grass species, Flood tolerant crop species)",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Development of access to water while enhancing the efficiency of its use.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Drought monitoring system;|Multiple water technologies.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Early warning system against meteorological extreme events (such as floods, storms and droughts",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Eco-agriculture and climate friendly irrigation technology transfer to Afghanistan",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Energy efficient technologies (High efficiency lighting, Fluorescent lighting technology)|Industrial Energy Efficiency Technologies, Fuel Efficiency Technologies|Solar Photovoltaic Technology|Wind Energy (wind mills)|Biomass Energy Sources and Technologies (Improved Cook Stoves)|Bio-energy Technology for the Transport sector",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Environmental Information Management System.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Establish climate insurances",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Flood control technology;|Early warning technologies.|||",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Forecasting and Early warning system technologies, crop improvement technologies, and precision farming technologies.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Forestry and rangeland management tools and methods transferred to Afghanistan",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Full catchment planning technology and models",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Generic (not tailored to any action item): Technologies for the protection of coastal infrastructure; technologies for sustainable water management; sustainable agricultural technologies; and technologies for sustainable forest management are prioritized.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Good practices of climate-smart agriculture",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Good practices of social and health protection",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Hydroelectric micro-dams;|Solar heat and solar photovoltaic energy.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Hydrological, meteorological and data equipment and integrated systems",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Improved designs and methodologies for catchment management technology",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Inform, educate and communicate on climate risks; |Raising awareness on the impacts of climate change;|Develop the capacity of populations to anticipate cliamte change impacts and increase resilience.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Infrastructure and technology for irrigation|Knowledge, skills and technologies for improving water use efficiency in agriculture",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Integrated national data center, national data transfer/management process and the advanced research, weather research and forecasting (WRF - ARW) model, and an integrated model to address the need of agricultural sector and water resource management sector.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Integrated urban waste management",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Intensification and diversification of agricultural production;|Security for animal and fishing production, and promotion of associations.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Knowledge and skills for intensive production practices",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Knowledge of spatial and temporal changes to the environment.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Mechanization technologies for climate smart production systems|Training for farmers",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Meteorological modelling technologies as these can help reduce the impact of extreme weather events by improving weather forecasting.||",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Methanization processes for organic matter;|Improved carbonization.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","National database (hydrological, hydro geological, forest surveys)|Surveillance and monitoring units of long-term climate parameters|Effective systems of weather and hydrological forecasts |National centre specializing in research on climate change|Material resources for collection, filing, analysis and communication (GIS, Remote Sensing, etc.) at national level",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Need expressed as a bullet point under the header - Adaptation Facilitation|",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Post harvest, food processing and preservation techniques and technologies (Drying food preservation, Food preservation freezing, Vacuum packing Food preservation, Canning and bottling food preservation)",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Produce and popularise energy-efficient stoves",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Reliable climate data for a realistic analysis and interpretation of climate change",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Research into climate smart and sustainable agricultural practices",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Soil analysis;|Production, inspection and certification of high quality seeds;|Integrated management of plant diseases;|Monitoring prevention and control of animal diseases of a trans-national character impacting human health and ecosystems.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Strengthen the resilience of productive practices;|Strengthening the capacity of actors (especially young women and elderly, indigenous peoples, farmers, etc.) relates to new technical routes in the context of intensified and sustainable production methods.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Support for facilities that use renewable energy sources.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Technological capacity to undertake effective research on climate change modelling and risks, monitoring of climate change impacts and implementation of adaptation measures",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Technologies for hydrological and meteorological monitoring and forecasting, early warning of natural disasters and hazards, and climate change adaptation.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Technologies for the protection of coastal and river infrastructure.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Technology Needs Assessment (TNA)",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Technology transfer needs for mitigation are also relevant for adaptation and these can be suplemented with Technologies in the fields of water, health and risk prevention (e.g. pumping system, capture, storage, decanting, filtration, volcanic monitoring network, acquisition and processing of satellite images).",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Technology transfer of renewable energy and sustainable energy",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","To build an early warning system for drought and dzuds to prevent animal loss;|To improve livestock quality and breeds;|To improve livestock health (epidemic and infectious diseases) management.|",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","To diffuse zero-tillage technology;|To increase variety of crops and rotation;|To introduce effective drip irrigation technology reducing water use by 2.5-5.0 times.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","To implement ecosystem based technologies|To support ecosystem services through hydrological monitoring, construction of water diversion canals to lakes located in flood plains and re- forestation actions.|",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","To improve efficiency of forest cleaning technologies.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","To improve forecast quality through increasing super computer capacity;|To establish Doppler radar network covering entire territory of the country.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","To introduce new technologies for water saving, and treatment.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","To introduce technology to plant seedlings;|To use airplanes to fight against fires;|To introduce biological technologies against insects and pests.|",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Tracking needs for new equipment, techniques, services, capacities and skills necessary to build resilience to climate change.|",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Training of institutional and local experts in coastal zone management and monitoring.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Transportation technologies that are resilient to the adverse effects of climate change in particular for roads and massive transportation.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Waste Management Technologies (Landfill methane capture and Composting technologies)",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Water Resource Management, in need of networking (via pipes and canals) and management of infrastructures (including zoning), seasonal climate prediction, and sensor web using observation and/or modeling data.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","water saving, recycling, capture, irrigation and sustainable management for agriculture purposes",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Water technologies for savings, recycling, capture, irrigation and sustainable management for agriculture purposes.",2
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","""Technology to improve crop/livestock varieties and management systems""",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","""Tools for Climate Change Vulnerability Assessment in 6 sectors under NAP""",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Access to climate information systems in order to monitor hydrometeorological events in real time and establish early warning systems|Availability of methods and tools to assess climate impacts, vulnerability and adaptation in specific sectors and regions",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Access to new and environmentally sound technologies for industrial production, as well as forest fire fighting systems; |Early-warning and monitoring systems of climate extreme events, dust and sand storms and access to global satellite data.",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Crop varieties with short cycle and less water requirements",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Development of on-line monitoring network of climate observation system;|General Circulation Models (for national and regional application with monitoring and observing features for forest fires);",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Improve water efficiency.",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Modern and eco-friendly and climate smart agricultural technology and practices for scattered local communities in 2/3 of the country‘s area",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Modern environmental friendly technologies for supplying water (desalination, recycling and water treatment);",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Obtain data from satellite/remote sensing|Coordinate data pools to establish data archiving and sharing protocols",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","requires technical and financial support by developed countries for access to computer systems, monitoring technologies, remote sensing techniques, analysis methodologies and globally applied programs for drought forecasting, climate variability and storms",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Savings in water consumption, recycling and collection, irrigation and sustainable management for agricultural purposes; ",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Sustainable forest management",1
"Sectoral Information","Technology Transfer Needs for Sectoral Implementation","Technology transfer needs in  land management",1
