"global_category","indicator_name","value","count"
"Sectoral Information","Technology needs","Biomass Energy Sources and Technologies (Improved Cook Stoves)",4
"Sectoral Information","Technology needs","Renewable energy technologies",4
"Sectoral Information","Technology needs","Yes",4
"Sectoral Information","Technology needs","- agroforestry technologies based on woody legumes;|- Sustainable forest management|- Rapid growing local forest plant production technologies",2
"Sectoral Information","Technology needs","Agroforestry, tree culture, conservation agriculture or agro-ecology, product processing, conservation and restoration of forests and other protected areas",2
"Sectoral Information","Technology needs","Aquaculture, Irrigation Techniques and Technologies (Surface Irrigation Systems, Sprinkler irrigation systems, Drip Irrigation); Post harvest, food processing and preservation techniques and technologies (Drying food preservation, Food preservation freezing, Vacuum packing Food preservation, Canning and bottling food preservation)",2
"Sectoral Information","Technology needs","Bio-energy Technology",2
"Sectoral Information","Technology needs","Clean Coal Technologies (CCT): Pulverized Combustion Ultra Super Critical (PC USC), Pressurized Circulating Fluidized Bed Combustion, Super Critical, Combine Cycle (PCFBC SC CC), Integrated Gasifier Combined Cycle (IGCC), Solid Oxide Fuel Cell (SOFC), Integrated Gasifier Fuel Cell (IGFC), Underground Coal gasification (UCG)",2
"Sectoral Information","Technology needs","Clean cooking, heating and power projects",2
"Sectoral Information","Technology needs","Clean cookstoves and fuels switch and related support (tech, capacity and financing)",2
"Sectoral Information","Technology needs","Cleaner coal mining, leave-it-in-the-ground approaches, combustion, and transportation of minerals;",2
"Sectoral Information","Technology needs","Cleaner coal mining, leave-it-in-the-ground approaches, combustion, and transportation of minerals; Hydrocarbon fields management.",2
"Sectoral Information","Technology needs","Composite cylinders for on-board hydrogen storage",2
"Sectoral Information","Technology needs","Consultations on allowing 5% blending of biofuels in diesel that would be consumed by bulk users such as the railways and defence establishments.",2
"Sectoral Information","Technology needs","Decentralised wastewater treatment: wastewater recycling/composing of biodegradable waste instead of landfill",2
"Sectoral Information","Technology needs","Designing an inter-municipal integrated waste management system",2
"Sectoral Information","Technology needs","Develop emission reduction and tracking system of pollutants from vehicles",2
"Sectoral Information","Technology needs","development of managed landfill equipped with LEG (landfill gas) recovery system for flaring or utilization.",2
"Sectoral Information","Technology needs","Energy efficient technologies (High efficiency lighting, Fluorescent lighting technology, Industrial Energy Efficiency Technologies, Fuel Efficiency Technologies)",2
"Sectoral Information","Technology needs","Establishment of the International Centre for Implementation for Reducing Emissions from Deforestation and Forest Degradation",2
"Sectoral Information","Technology needs","Gasification technologies",2
