"global_category","indicator_name","value","count"
"Overview","Total estimated costs of implementation of target","n/a",252
"Overview","Total estimated costs of implementation of target","Not Specified",15
"Overview","Total estimated costs of implementation of target","$ 25.387 Billion",2
"Overview","Total estimated costs of implementation of target","$0.0055 billion",2
"Overview","Total estimated costs of implementation of target","$0.124 billion",2
"Overview","Total estimated costs of implementation of target","$0.16143 million by 2025",2
"Overview","Total estimated costs of implementation of target","$0.275 billion",2
"Overview","Total estimated costs of implementation of target","$0.42 billion",2
"Overview","Total estimated costs of implementation of target","$0.604 billion",2
"Overview","Total estimated costs of implementation of target","$0.675 billion",2
"Overview","Total estimated costs of implementation of target","$0.9 Billion",2
"Overview","Total estimated costs of implementation of target","$1.27 billion (M+A)",2
"Overview","Total estimated costs of implementation of target","$1.49 billion",2
"Overview","Total estimated costs of implementation of target","$1.688 trillion from 2020 to 2050",2
"Overview","Total estimated costs of implementation of target","$1.815 billion (M+A)",2
"Overview","Total estimated costs of implementation of target","$10.5 Billion (Adaptation only)",2
"Overview","Total estimated costs of implementation of target","$12.88 billion",2
"Overview","Total estimated costs of implementation of target","$142 billion",2
"Overview","Total estimated costs of implementation of target","$15.7 billion",2
"Overview","Total estimated costs of implementation of target","$150 billion by 2030 (mitigation only)",2
"Overview","Total estimated costs of implementation of target","$17.405 billion",2
"Overview","Total estimated costs of implementation of target","$18.7 billion",2
"Overview","Total estimated costs of implementation of target","$19.4 billion",2
"Overview","Total estimated costs of implementation of target","$19.41 billion",2
"Overview","Total estimated costs of implementation of target","$2.5 trillion (total finance support needed by 2030)",2
"Overview","Total estimated costs of implementation of target","$2.64 billion",2
"Overview","Total estimated costs of implementation of target","$21.23 billion",2
"Overview","Total estimated costs of implementation of target","$22.6 billion $6.3 billion unconditional, $16.3 billion conditional)",2
"Overview","Total estimated costs of implementation of target","$24.15 Billion (M+A, Water, Agriculture, and Energy sectors)",2
"Overview","Total estimated costs of implementation of target","$3.802 billion",2
"Overview","Total estimated costs of implementation of target","$3.8975 billion",2
"Overview","Total estimated costs of implementation of target","$3.941 billion",2
"Overview","Total estimated costs of implementation of target","$33 billion",2
"Overview","Total estimated costs of implementation of target","$4.2 - 4.5 billion Euro",2
"Overview","Total estimated costs of implementation of target","$40 billion",2
"Overview","Total estimated costs of implementation of target","$42.099 billion",2
"Overview","Total estimated costs of implementation of target","$5.5 billion",2
"Overview","Total estimated costs of implementation of target","$50 billion",2
"Overview","Total estimated costs of implementation of target","$55 billion",2
"Overview","Total estimated costs of implementation of target","$6.413 billion",2
"Overview","Total estimated costs of implementation of target","$6.9 billion",2
"Overview","Total estimated costs of implementation of target","$64.3 billion",2
"Overview","Total estimated costs of implementation of target","$7.646 billion",2
"Overview","Total estimated costs of implementation of target","$7.8 billion",2
