"global_category","indicator_name","value","count"
"Overview","Total implementation costs for unconditional part","N/A",245
"Overview","Total implementation costs for unconditional part","Not Specified",14
"Overview","Total implementation costs for unconditional part","EUR 0.1 Billion",2
"Overview","Total implementation costs for unconditional part","USD 0 billion",2
"Overview","Total implementation costs for unconditional part","USD 0.113 Billion",2
"Overview","Total implementation costs for unconditional part","USD 0.2134 Billion",2
"Overview","Total implementation costs for unconditional part","USD 0.337 Billion",2
"Overview","Total implementation costs for unconditional part","USD 0.5 Billion",2
"Overview","Total implementation costs for unconditional part","USD 0.68 Billion",2
"Overview","Total implementation costs for unconditional part","USD 0.72 Billion",2
"Overview","Total implementation costs for unconditional part","USD 2.79 Billion",2
"Overview","Total implementation costs for unconditional part","""The cost of climate change adaptation is estimated to exceed 3-5% of Viet Nam’s GDP in 2030. With 1.5% of its GDP spent on climate change adaptation in the 2021-2030 period, Viet Nam has to mobilize about USD 3.5 billion each year on average or USD 35 billion for the entire 2021-2030 period in addition to state resources.""",1
"Overview","Total implementation costs for unconditional part","""The total estimated cost of adaptation actions up to 2030 is USD 43,927 Million. Subject to national circumstances, Kenya intends to mobilize domestic resources to cater for 10% of the adaptation cost""",1
"Overview","Total implementation costs for unconditional part","$1.44115 billion",1
"Overview","Total implementation costs for unconditional part","n/a",1
"Overview","Total implementation costs for unconditional part","Not specified. <br>""The cost of achieving the adaptation component will be detailed in the upcoming National Adaptation Plan (NAP).""",1
"Overview","Total implementation costs for unconditional part","Please visit Appendix 2: Detailed Adaptation Actions for specific information",1
"Overview","Total implementation costs for unconditional part","USD 1.657 Billion",1
