"global_category","indicator_name","value","count"
"Overview","Training","training not mentioned",213
"Overview","Training","training to implement the NDC's adaptation contribution",43
"Overview","Training","training to implement the NDC's adaptation and mitigation contributions",32
"Overview","Training","#N/A",28
"Overview","Training","training to implement the NDC's mitigation contribution",25
"Overview","Training","training mentioned",9
"Overview","Training","training mentioned (context adaptation)",9
"Overview","Training","training to implement NDC, aim not clear",9
"Overview","Training","training mentioned (context: adaptation)",5
"Overview","Training","awareness raising not mentioned",1
"Overview","Training","No Document Submitted",1
"Overview","Training","training mentioned (context mitigation)",1
"Overview","Training","training mentioned (context: mitigation)",1
"Overview","Training","Training not mentioned",1
"Overview","Training","Training to implement the NDC's adaptation and mitigation contributions",1
"Overview","Training","Training to implement the NDC's adaptation contribution",1
"Overview","Training","training to implement the NDC’s adaptation contribution",1
