"global_category","indicator_name","value","count"
"Sectoral Information","Upstream policies on","Green building codes",4
"Sectoral Information","Upstream policies on","Subsidies or appropriate tax benefits",4
"Sectoral Information","Upstream policies on","Emission standards",3
"Sectoral Information","Upstream policies on","Energy Policy 2015 – 2025",3
"Sectoral Information","Upstream policies on","Low Emission Development Strategy of the Republic of Moldova until 2030",3
"Sectoral Information","Upstream policies on","National REDD+ strategy",3
"Sectoral Information","Upstream policies on","Transport Policy 2014",3
"Sectoral Information","Upstream policies on","2",2
"Sectoral Information","Upstream policies on","A comprehensive plan for emission reductions in the livestock sub-sector for implementation between 2020 and 2030",2
"Sectoral Information","Upstream policies on","Access cement sector to carbon markets",2
"Sectoral Information","Upstream policies on","Additional policy measures in place to improve energy efficiency.",2
"Sectoral Information","Upstream policies on","Additional policy measures in place to promote the deployment of renewable energy.",2
"Sectoral Information","Upstream policies on","Adoption of a national energy policy; revision of the electricity law and creation of a national rural electrification agency",2
"Sectoral Information","Upstream policies on","Alignment of planning of rural areas to develop agriculture while limiting deforestation/ degradation, intensifying sustainable (including land tenure strategies)",2
"Sectoral Information","Upstream policies on","An Energy Efficiency labelling programme to promote sales of high efficiency products in the market",2
"Sectoral Information","Upstream policies on","Ban on the import of vehicles over 3 years",2
"Sectoral Information","Upstream policies on","Ban the felling and export of timber over the next five years",2
"Sectoral Information","Upstream policies on","Bangladesh, Bhutan, India and Nepal (BBIN) Motor Vehicle Agreement to: promote safe, economical efficient and environmentally sound road transport, support regional integration",2
"Sectoral Information","Upstream policies on","Biofuel Policy and Strategy; Conservation and Sustianbale Use of the Energy from Biomass Energy Strategy",2
"Sectoral Information","Upstream policies on","Building code",2
"Sectoral Information","Upstream policies on","Building Code",2
"Sectoral Information","Upstream policies on","Building codes on thermal standards of construction and renovation and certification process",2
"Sectoral Information","Upstream policies on","Building codes, standards on appliances and equipment, market mechanisms",2
"Sectoral Information","Upstream policies on","Carbon emissions trading market; green government procurement; green credit mechanism",2
"Sectoral Information","Upstream policies on","Carbon pring (carbon market or carbon tax).",2
"Sectoral Information","Upstream policies on","Carbon tax, desired emission reduction outcomes for sectors, company-level carbon budgets",2
"Sectoral Information","Upstream policies on","CHAD REDD R-PP Project",2
"Sectoral Information","Upstream policies on","Changes in regulations relating to buildings, air conditioners and refrigerators; |Incentives to replace old refrigerators and air conditioners by more efficient (Class A) units",2
"Sectoral Information","Upstream policies on","Climate Change Bill",2
"Sectoral Information","Upstream policies on","Climate Change Strategic Plan (2014-2023)",2
"Sectoral Information","Upstream policies on","Climate Change Strategy with action plan finalized in 2017 (p. 2)",2
"Sectoral Information","Upstream policies on","Coal cess (eq. of carbon tax) to form the corpus of National Clean Environment Fund | Cut subsidies and increase taxes on fossil fuels (petrol and diesel) | -˜Direct Benefit Transfer Scheme‘ for cooking gas | Tax Free Infrastructure Bonds | Finance Commission (FC) Incentive for creation of carbon sink",2
"Sectoral Information","Upstream policies on","Codes and standards on appliances and equipment",2
"Sectoral Information","Upstream policies on","Continuation of current government waste management policies",2
"Sectoral Information","Upstream policies on","Continue to promote and implement the current Decree Law (No.30/2011) on used vehicles which are imported into Timor-Leste to be less than 5 years of factory production.",2
"Sectoral Information","Upstream policies on","Create a USD 200 million support fund for urban road transportation",2
"Sectoral Information","Upstream policies on","Create incentives for RE technologies including finanial and fiscal measures",2
"Sectoral Information","Upstream policies on","Create other financial instruments for rural lighting as the Rural Electrification Fund (FER)",2
"Sectoral Information","Upstream policies on","Creating energy rating labels for domestic appliances and air conditioning by 2030 or before",2
"Sectoral Information","Upstream policies on","Develop a NAMA for hybrid vehicles; evaluate feasibility of making government vehicles electrically powered by 2030",2
"Sectoral Information","Upstream policies on","Develop a NAMA that increases energy efficiency of the transport sector, including domestic shipping and domestic air travel",2
"Sectoral Information","Upstream policies on","Develop and establish a legal framework through a national strategy for long-term low-carbon development",2
"Sectoral Information","Upstream policies on","Develop Biomass NAMA",2
"Sectoral Information","Upstream policies on","Develop economic incentives to promote and remove barriers for investments in Renewable Energy | Establish an incentive framework for the development of RE (tender, feed-in tariffs, etc.) and remove barriers to investments (strengthening the institutional framework, etc.)",2
"Sectoral Information","Upstream policies on","Develop new legislation on climate change",2
"Sectoral Information","Upstream policies on","Develop transport policy",2
"Sectoral Information","Upstream policies on","Developing technical and safety standards and the enforcement of policies including emission control",2
"Sectoral Information","Upstream policies on","Efficiency standards for air-conditioning, refrigeration, lighting",2
"Sectoral Information","Upstream policies on","Efficiency standards for the imported vehnicles and appliances by 2020",2
"Sectoral Information","Upstream policies on","Efficiency standards in building design",2
"Sectoral Information","Upstream policies on","Efficiency standards, retrofit programs, district cooling",2
"Sectoral Information","Upstream policies on","Emission standards for vehicles",2
"Sectoral Information","Upstream policies on","Enegry efficiency policies for commercial sector; Incentivise rainwater harvesting in commercial buildings; a revised code on energy efficiency of new buildings",2
"Sectoral Information","Upstream policies on","Energy  Efficiency  Act",2
"Sectoral Information","Upstream policies on","Energy Audit program for all buildings; Tropical Energy efficiency Building Code",2
"Sectoral Information","Upstream policies on","Energy Efficiency and Conservation Masterplan; policy mechanisms to incentivise the uptake of improved (more efficient) gas cookstoves; Energy efficiencypolicies for household sector",2
"Sectoral Information","Upstream policies on","Energy Efficiency and Renewable Energy Policy for the Jordanian Water Sector (2015)",2
"Sectoral Information","Upstream policies on","Energy efficiency policy",2
"Sectoral Information","Upstream policies on","Energy efficiency standards",2
"Sectoral Information","Upstream policies on","Energy efficiency standards in the building sector",2
"Sectoral Information","Upstream policies on","Energy efficiency standards in the transport sector",2
"Sectoral Information","Upstream policies on","Energy Efficiency strategy; Enforcement of Minimum Energy Performance Standards Regulation on Cooling Equipment",2
"Sectoral Information","Upstream policies on","Energy Labeling Scheme",2
"Sectoral Information","Upstream policies on","Energy Policy and development of Energy Bill",2
"Sectoral Information","Upstream policies on","Energy Star Appliance Standard",2
"Sectoral Information","Upstream policies on","Energy Strategy",2
"Sectoral Information","Upstream policies on","Energy subsidies reform",2
"Sectoral Information","Upstream policies on","Engage the private sector and implement a voluntary incentive program to reduce GHG emissions",2
"Sectoral Information","Upstream policies on","Enhance carbon sinks",2
"Sectoral Information","Upstream policies on","Environmental tax on imported vehicles",2
"Sectoral Information","Upstream policies on","Equipment standards and labelling, regulatory reform",2
"Sectoral Information","Upstream policies on","Establish and improve standards on energy consumption of major technologies and products",2
"Sectoral Information","Upstream policies on","Establish and schedule a new forestry policy",2
"Sectoral Information","Upstream policies on","Establishment of the labeling system for electrical appliances",2
"Sectoral Information","Upstream policies on","EURO-5 standards",2
"Sectoral Information","Upstream policies on","FLEGT Programme (Forest Law Enforcement, Governance and Trade)",2
"Sectoral Information","Upstream policies on","Fly Ash Utilisation Policy - Mandatory use of fly ash/ fly ash within 100 km of thermal power plants",2
"Sectoral Information","Upstream policies on","Forest Investment Programme",2
"Sectoral Information","Upstream policies on","Forestry Strategy to the Year 2020",2
"Sectoral Information","Upstream policies on","Fostering and incentivizing financial institutions to invest in renewable energy and energy efficiency",2
"Sectoral Information","Upstream policies on","Fuel substitution and efficiency standards",2
"Sectoral Information","Upstream policies on","Gasoline and diesel taxes; fuel efficient standards for vehicles",2
"Sectoral Information","Upstream policies on","General Solid Waste Law",2
"Sectoral Information","Upstream policies on","Great Green Wall project",2
"Sectoral Information","Upstream policies on","Green building code, seeking to cover all new (public or private) buildings by 2030 or before",2
"Sectoral Information","Upstream policies on","Green India Mission (GIM)",2
"Sectoral Information","Upstream policies on","Home Energy Efficiency Program",2
"Sectoral Information","Upstream policies on","Hydrochloroflurocarbon (HCFCs) Phase Out Management Plan",2
"Sectoral Information","Upstream policies on","Implement and strengthen policy that promotes private investment in renewable energy (hydro, biomass and solar etc)",2
"Sectoral Information","Upstream policies on","Implement and strengthen policy that promotes private investment in waste management",2
"Sectoral Information","Upstream policies on","Implementation of Association Agreement  of EU and European Atomic Energy Community; EU GHG trading agreement; Implementation of EU regulation on flourinated gases",2
"Sectoral Information","Upstream policies on","Improve incentives for renewables and renewable electricity tariff",2
