"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207545,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Efficiency, Water Infrastructure"
23207735,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Efficiency, Water Infrastructure"
23207926,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208116,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208307,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208497,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208688,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208878,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209069,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209259,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209450,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209640,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209831,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210021,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210212,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210402,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210593,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210783,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210974,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211164,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211355,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211545,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211736,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211926,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212117,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212306,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212497,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agriculture: General, Fisheries and Aquaculture, Irrigation, Livestock"
23212685,"CAIT","KNA","Saint Kitts and Nevis","Adaptation","",NA,NA,"a_agriculture","Agriculture","Agriculture: General, Fisheries and Aquaculture, Irrigation, Livestock"
23212876,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213066,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213257,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213447,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213638,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Vehicle Fleet"
23213828,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_transport","Transport","Transport: General, Vehicle Fleet"
23214019,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214209,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214400,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214590,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214781,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy, Renewable Energy: Geothermal, Renewable Energy: Solar, Renewable Energy: Waste-to-Energy, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction"
23214971,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy, Renewable Energy: Geothermal, Renewable Energy: Solar, Renewable Energy: Waste-to-Energy, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction"
23215162,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215352,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215543,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215733,"CAIT","KNA","Saint Kitts and Nevis","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
