"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207554,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Efficiency, Water Infrastructure, Water Management, Water Quality, Water Supply"
23207743,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Efficiency, Water Infrastructure, Water Management, Water Quality, Water Supply"
23207935,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning, Water Conservation and Reuse"
23208124,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning, Water Conservation and Reuse"
23208316,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208505,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208697,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism"
23208886,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism"
23209078,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209267,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209459,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Forest Management, Sustainable Land Management"
23209648,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Land Degradation, Sustainable Forest Management, Sustainable Land Management"
23209840,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment, Grasslands"
23210029,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment, Grasslands"
23210221,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210410,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210602,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_energy","Energy","Renewable Energy"
23210791,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_energy","Energy","Renewable Energy"
23210983,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211172,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211364,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Relief and Recovery, Demand-Side Efficiency, Demand-Side Efficiency: Industries"
23211553,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness, Disaster Relief and Recovery, Demand-Side Efficiency, Demand-Side Efficiency: Industries"
23211745,"CAIT","LKA","Sri Lanka","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Landscape Management"
