"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207555,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207936,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208317,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208698,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209079,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209460,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Forest Management, Sustainable Land Management"
23209841,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210222,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210603,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210984,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211365,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Early Warning System"
23211746,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management, Climate Services"
23212127,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212507,"CAIT","LSO","Lesotho","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Crops, Food Security, Irrigation, Livestock"
23212886,"CAIT","LSO","Lesotho","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213267,"CAIT","LSO","Lesotho","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213648,"CAIT","LSO","Lesotho","Mitigation","",NA,NA,"m_transport","Transport","Public Transport, Transport: General, Transportation Fuels"
23214029,"CAIT","LSO","Lesotho","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Reforestation, Sustainable Forest Management"
23214410,"CAIT","LSO","Lesotho","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214791,"CAIT","LSO","Lesotho","Mitigation","",NA,NA,"m_energy","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency: Buildings, Energy Efficiency, Energy: General, Gas, Mini-Grids, Renewable Energy, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction"
23215172,"CAIT","LSO","Lesotho","Mitigation","",NA,NA,"m_waste","Waste","Waste: General, Waste-to-Energy"
23215553,"CAIT","LSO","Lesotho","Mitigation","",NA,NA,"m_industries","Industries","Industries: General"
23215933,"CAIT","LSO","Lesotho","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","</p>""This report followed a series of intensive national consultations, on the nature of our development trajectory between 2020 and 2030 and the potential greenhouse gas emissions reductions.""</p>"
23216217,"CAIT","LSO","Lesotho","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","It was developed through an inclusive and participatory process involving stakeholders who were engaged under the SNC processes, to provide inputs into the development of the GHG Inventory and Mitigation Assessment chapters and then through a validation exercise to seek national support for the proposed measures and targets. The effort received considerable technical support and guidance from UN Environment (UNEP) Technical University of Denmark (DTU) Partnership."
23216370,"CAIT","LSO","Lesotho","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","<p>""The country remains open to the possibility of using of international market-based mechanisms in line with agreed accounting rules to achieve its conditional and/or unconditional targets.""</p>"
23216590,"CAIT","LSO","Lesotho","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216706,"CAIT","LSO","Lesotho","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216926,"CAIT","LSO","Lesotho","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217041,"CAIT","LSO","Lesotho","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217261,"CAIT","LSO","Lesotho","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217567,"CAIT","LSO","Lesotho","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217885,"CAIT","LSO","Lesotho","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23218207,"CAIT","LSO","Lesotho","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218531,"CAIT","LSO","Lesotho","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218853,"CAIT","LSO","Lesotho","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23219175,"CAIT","LSO","Lesotho","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219338,"CAIT","LSO","Lesotho","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Not included in the target"
23219597,"CAIT","LSO","Lesotho","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included as part of the broader target"
23219775,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Yes / Possible"
23220060,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Not Specified"
23220233,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_actions","Assumptions and methodological approaches for NDCs that include actions","Not Specified"
23220288,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_intensity","Assumptions and methodological approaches for GHG reduction targets relative to emissions intensity","Not Specified"
23220340,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220446,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Data given above are subject to changes and update and Lesotho has the right to make necessary changes relating to the baseline an mitigation scenario in light of any up-to-date data by 2020"
23220512,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","Not Specified"
23220630,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","Not Specified"
23220699,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","Not Specified"
23220822,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","The basis for the calculation of the emission reduction is the projection of GHGs from the 2000 inventory using the GACMO model (2015). The GACMO model was also used to calculate the abatement potential and corresponding investment requirement."
23220891,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","Not Specified"
23221009,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","2000"
23221078,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","Not Specified"
23221193,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","Dynamic baseline scenario"
23221314,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","Not Specified"
23221600,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","The GWP values used are based on the IPCC according to the UNFCCC Decision 17/CP.8 for the compilation of greenhouse gas inventories."
23221778,"CAIT","LSO","Lesotho","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","<p>""GHG inventories based on IPCC guidelines and methodologies will remain the foundation of emissions accounting in the context of the UNFCCC.""</p>"
