"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207561,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse, Water Efficiency, Water Management, Water Quality, Water Supply"
23207749,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_water","Water","Wastewater Treatment, Water Conservation and Reuse, Water Efficiency, Water Management, Water Quality, Water Supply"
23207942,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208130,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208323,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208511,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_transport","Transport","Infrastructure and Roads"
23208704,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208892,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209085,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209273,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209466,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Afforestation, LULUCF/Forestry: General, Sustainable Forest Management"
23209654,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Afforestation, LULUCF/Forestry: General, Sustainable Forest Management"
23209847,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Disease Surveillance and Control, Health Services and Assessment, Health: General"
23210035,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_health","Health","Awareness Raising and Behavior Change, Disease Surveillance and Control, Health Services and Assessment, Health: General"
23210228,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210416,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210609,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy, Energy Efficiency, Energy: General, Energy: General, Power System Planning, Power System Planning: Distribution Lines, Power System Planning: Transmission Lines, Renewable Energy, Renewable Energy: Hydro"
23210797,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_energy","Energy","Biomass Energy, Energy Efficiency, Energy: General, Energy: General, Power System Planning, Power System Planning: Distribution Lines, Power System Planning: Transmission Lines, Renewable Energy, Renewable Energy: Hydro"
23210990,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211178,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211371,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
23211559,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
23211752,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management, Climate Services"
23211940,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Risk Management, Climate Services"
23212133,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212320,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212513,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Crops, Irrigation, Land and Soil Management, Livestock"
23212699,"CAIT","MDA","Moldova","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Crops, Irrigation, Land and Soil Management, Livestock"
23212892,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213080,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213273,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213461,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_buildings","Buildings","Buildings"
23213654,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213842,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23214035,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214223,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214416,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214604,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214797,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Power System Planning"
23214985,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Power System Planning"
23215178,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215366,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215559,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_industries","Industries","Industries: General"
23215747,"CAIT","MDA","Moldova","Mitigation","",NA,NA,"m_industries","Industries","Industries: General"
23215939,"CAIT","MDA","Moldova","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Relevant legislative acts for the INDC implementation are required and will be considered being approved on Parliamentary level. By mid-2016, a draft Low Emission Development Strategy (LEDS) of the Republic of Moldova for the period up to 2030 will be developed. After consultations at the national level, the Low Emission Development Strategy of the Republic of Moldova until 2030 will be subject to approval by the Government by end of 2016. The LEDS is expected to be fully in line with the provisions of the European Union and the Republic of Moldova Association Agreement signed on 27th of June 2014 and any other relevant national legislation.""</p>"
23216127,"CAIT","MDA","Moldova","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""Relevant legislative acts for the INDC implementation are required and will be considered being approved on Parliamentary level. By mid-2016, a draft Low Emission Development Strategy (LEDS) of the Republic of Moldova for the period up to 2030 will be developed. After consultations at the national level, the Low Emission Development Strategy of the Republic of Moldova until 2030 will be subject to approval by the Government by end of 2016. The LEDS is expected to be fully in line with the provisions of the European Union and the Republic of Moldova Association Agreement signed on 27th of June 2014 and any other relevant national legislation.""</p>"
23216206,"CAIT","MDA","Moldova","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>NDC2 was developed based on the analytical basis used for developing the BUR2 of the Republic of Moldova to the UNFCCC (2019) and it reflects the outcomes of mitigation measures of respective report, which were widely discussed with all national stakeholders (central and local authorities, academic institutions, NGOs, private sector, etc.) during the 2017-2018 period. In January 2020, the draft NDC2 was subjected to additional consultations and it was accepted in the version which incorporated suggestions received from the central and local governmental authorities and the civil society in a gender-responsive manner.</p>"
23216373,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","<p>""In order to avoid GHG emissions&rsquo; double counting, an appropriate robust national MRV system will be put in place in the period of 2016-2017. It will cover the GHG emissions accounting from international bunkers and CDM projects as well, delivering real and verified emission reductions.""</p>"
23216516,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","<p>""In order to avoid GHG emissions&rsquo; double counting, an appropriate robust national MRV system will be put in place in the period of 2016-2017. It will cover the GHG emissions accounting from international bunkers and CDM projects as well, delivering real and verified emission reductions.""</p>"
23216580,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","<p>In order to prevent double counting of GHG emissions, an appropriate robust national MRV system was put in place in 2019 through the GD No. 1277 as of 26.12.2018. It covers GHG emissions counting from international bunkers and CDM projects as well, while delivering real and verified emission reduction.</p>"
23216709,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216852,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216916,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217044,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217187,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217251,"CAIT","MDA","Moldova","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
