"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207570,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207758,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207951,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208139,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208332,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208520,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208713,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208901,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209094,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209282,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209475,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209663,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209856,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210044,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210237,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210425,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210618,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210806,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210999,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211187,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211380,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211568,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211761,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211949,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212142,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212329,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212522,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212708,"CAIT","MNE","Montenegro","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212901,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213089,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_agriculture","Agriculture","No specified measure"
23213282,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213470,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213663,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213851,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214044,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214232,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","No specified measure"
23214425,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214613,"CAIT","MNE","Montenegro","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
