"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207576,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_water","Water","Water Supply"
23207764,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_water","Water","Water Supply"
23207957,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208145,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208338,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208526,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208719,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208907,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209100,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209288,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209481,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209669,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209862,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210050,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210243,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210431,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210624,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210812,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211005,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211193,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211386,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
23211574,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Preparedness"
23211767,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211955,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212148,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Sea-level Rise Protection"
23212335,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Sea-level Rise Protection"
23212528,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212714,"CAIT","MYS","Malaysia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Food Security"
23212907,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213095,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213288,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213476,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213669,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213857,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214050,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214238,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","LULUCF/Forestry: General"
23214431,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214619,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214812,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Renewable Energy"
23215000,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Renewable Energy"
23215193,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215381,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_waste","Waste","Waste: General"
23215574,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215762,"CAIT","MYS","Malaysia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215954,"CAIT","MYS","Malaysia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The INDC was developed through participatory process through an inter-ministerial/agencies working group. Stakeholder consultations were conducted to obtain&nbsp;inputs on possible measures to reduce greenhouse gas emissions. The projected outcomes from the 11th Malaysian Development Plan and the following policies and plans form the basis for the development of this INDC:</p> <p>a. National Petroleum Policy (1975)<br />b. National Energy Policy (1979)<br />c. National Depletion Policy (1980)<br />d. Four-Fuel Diversification Policy (1981)<br />e. National Forestry Policy (1978, Revised 1992)<br />f. National Policy on Biological Diversity (1998)<br />g. Five-Fuel Policy (2001)<br />h. National Policy on the Environment (2002)<br />i. National Strategic Plan for Solid Waste Management&nbsp;(2005)<br />j. National Biofuel Policy (2006)<br />k. National Energy Policy (2008)<br />l. National Green Technology Policy (2009)<br />m. National Policy on Climate Change (2009)<br />n. New Economic Model, Government Transformation&nbsp;Programme and Economic Transformation&nbsp;Programme (2010)<br />o. Renewable Energy Policy and Action Plan (2010)<br />p. Second National Physical Plan (2010)<br />q. Low Carbon Cities Framework (2011)<br />r. National Agro-food Policy (2011)<br />s. National Water Resources Policy (2012)<br />t. National Automotive Policy (2014)""</p>"
23216142,"CAIT","MYS","Malaysia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The INDC was developed through participatory process through an inter-ministerial/agencies working group. Stakeholder consultations were conducted to obtain&nbsp;inputs on possible measures to reduce greenhouse gas emissions. The projected outcomes from the 11th Malaysian Development Plan and the following policies and plans form the basis for the development of this INDC:</p> <p>a. National Petroleum Policy (1975)<br />b. National Energy Policy (1979)<br />c. National Depletion Policy (1980)<br />d. Four-Fuel Diversification Policy (1981)<br />e. National Forestry Policy (1978, Revised 1992)<br />f. National Policy on Biological Diversity (1998)<br />g. Five-Fuel Policy (2001)<br />h. National Policy on the Environment (2002)<br />i. National Strategic Plan for Solid Waste Management&nbsp;(2005)<br />j. National Biofuel Policy (2006)<br />k. National Energy Policy (2008)<br />l. National Green Technology Policy (2009)<br />m. National Policy on Climate Change (2009)<br />n. New Economic Model, Government Transformation&nbsp;Programme and Economic Transformation&nbsp;Programme (2010)<br />o. Renewable Energy Policy and Action Plan (2010)<br />p. Second National Physical Plan (2010)<br />q. Low Carbon Cities Framework (2011)<br />r. National Agro-food Policy (2011)<br />s. National Water Resources Policy (2012)<br />t. National Automotive Policy (2014)""</p>"
23217385,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217518,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217708,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217835,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23218031,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218157,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218353,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218480,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218677,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218803,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218999,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","<p>""The inclusion of non-forest land (cropland, grassland, wetlands and settlement) will be determined later.""</p>"
23219125,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","<p>""The inclusion of non-forest land (cropland, grassland, wetlands and settlement) will be determined later.""</p>"
23219358,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219530,"CAIT","MYS","Malaysia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219796,"CAIT","MYS","Malaysia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","No"
23219984,"CAIT","MYS","Malaysia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","No"
23220260,"CAIT","MYS","Malaysia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_intensity","Assumptions and methodological approaches for GHG reduction targets relative to emissions intensity","<p>GDP in the base year (constant price at 2005): RM 543.578 billion</p>"
23220280,"CAIT","MYS","Malaysia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_intensity","Assumptions and methodological approaches for GHG reduction targets relative to emissions intensity","<p>GDP in the base year (constant price at 2005): RM 543.578 billion</p>"
