"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207596,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207784,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_water","Water","No specified measure"
23207977,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208165,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_urban","Urban","No specified measure"
23208358,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208546,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208739,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208927,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209120,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209308,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209501,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209689,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209882,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210070,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_health","Health","No specified measure"
23210263,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210451,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_environment","Environment","No specified measure"
23210644,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210832,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211025,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211213,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211406,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211594,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","No specified measure"
23211787,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211975,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212168,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212355,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212548,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212734,"CAIT","PRY","Paraguay","Adaptation","",NA,NA,"a_agriculture","Agriculture","No specified measure"
23212927,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213115,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_agriculture","Agriculture","Agriculture: General"
23213308,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213496,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213689,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23213877,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_transport","Transport","Transport: General"
23214070,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, LULUCF/Forestry: General, Sustainable Forest Management"
23214258,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Conservation, LULUCF/Forestry: General, Sustainable Forest Management"
23214451,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214639,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","Economy-wide: General"
23214832,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Renewable Energy"
23215020,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_energy","Energy","Energy: General, Renewable Energy"
23215213,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215401,"CAIT","PRY","Paraguay","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
